Q000001	Weinbautechniker/in (DI)
Q000002	Agrarberater/in (Ing)
Q000003	Landwirt/in
Q000004	Facharbeiter/in der ländlichen Hauswirtschaft
Q000005	Landarbeiter/in
Q000006	Facharbeiter/in Landwirtschaft
Q000007	Landwirtschaftlich(er)e Gehilf(e)in
Q000008	Landwirtschaftlich(er)e Hilfsarbeiter/in
Q000009	Stallbursch/-mädchen
Q000010	Wirtschafter/in (Landwirtschaft)
Q000011	Erntearbeiter/in
Q000012	Dorfhelfer/in
Q000013	Facharbeiter/in ländliches Betriebs- und Haushaltsmanagement
Q000014	Facharbeiter/in ländliches Betriebs- und Haushaltsmanagement
Q000015	Facharbeiter/in Landwirtschaft
Q000016	Weinbaugehilf(e)in
Q000017	Traktorführer/in
Q000018	Pferdepfleger/in
Q000019	Geflügelzuchtgehilf(e)in
Q000020	Imker/in
Q000021	Hundeabrichter/in
Q000022	Landschaftsgärtner/in
Q000023	Facharbeiter/in Gartenbau
Q000024	Facharbeiter/in Obstbau und Obstverwertung
Q000025	Facharbeiter/in Gartenbau
Q000026	Facharbeiter/in Obstbau und Obstverwertung
Q000027	Forstwirt/in (Ing)
Q000028	Förster/in
Q000029	Facharbeiter/in Forstwirtschaft
Q000030	Facharbeiter/in Forstgarten- und Forstpflegewirtschaft
Q000031	Forstgehilf(e)in
Q000032	Facharbeiter/in Forstwirtschaft
Q000033	Facharbeiter/in Forstgarten- und Forstpflegewirtschaft
Q000034	Forsttechniker/in
Q000035	Jäger/in
Q000036	Bergmann/-frau
Q000037	Sprengmeister/in
Q000038	Steinbrucharbeiter/in
Q000039	Steinmetz/in
Q000040	Steinmetz/in
Q000041	Steinschleifer/in
Q000042	Betonwerker/in
Q000043	Ziegelmacher/in
Q000044	Keramiker/in
Q000045	Töpfereigehilf(e)in
Q000046	Keramiker/in - Gebrauchskeramik
Q000047	Keramiker/in - Industriekeramik
Q000048	Keramiker/in - Gebrauchskeramik
Q000049	Keramiker/in - Industriekeramik
Q000050	Porzellanmaler/in
Q000051	Porzellanschleifer/in
Q000052	Glasmacher/in
Q000053	Glasmacher/in
Q000054	Feinoptiker/in
Q000055	Feinoptiker/in
Q000056	Glasmaler/in
Q000057	Glasgestalter/in
Q000058	Maurer/in
Q000059	Maurerpolier/in
Q000060	Maurer/in
Q000061	Stukkateur/in
Q000062	Stuckateur/in und Trockenausbauer/in
Q000063	Stuckateur/in und Trockenausbauer/in
Q000064	Zimmer(er)in
Q000065	Zimmerer-Polier/in
Q000066	Zimmer(er)in
Q000067	Betonbauer/in
Q000068	Polier/in (Betonbau)
Q000069	Betonbauer/in
Q000070	Brunnenmacher/in
Q000071	Gleisbautechniker/in
Q000072	Gleisbautechniker/in
Q000073	Straßenbaupolier/in
Q000074	Kabelleger/in
Q000075	Tiefbauer/in
Q000076	Dachdecker/in
Q000077	Dachdecker/in
Q000078	Platten- und Fliesenleger/in
Q000079	Platten- und Fliesenleger/in
Q000080	Terrazzomacher/in
Q000081	Bodenlegerhelfer/in
Q000082	Belagsverleger/in
Q000083	Bodenleger/in
Q000084	Lackierer/in und Maler/in
Q000085	Schilderhersteller/in
Q000086	Spritzlackierer/in
Q000087	Lackiertechniker/in
Q000088	Lackiertechniker/in
Q000089	Glasermeister/in
Q000090	Friedhofsarbeiter/in
Q000091	Glaserhelfer/in
Q000092	Lackiererhelfer/in
Q000093	Zeltarbeiter/in
Q000094	Hüttenarbeiter/in
Q000095	Hüttenmeister/in
Q000096	Drahtzieher/in
Q000097	Schmelzer/in
Q000098	Former/in und Gießer/in (Metall und Eisen)
Q000099	Gießer/in
Q000100	Metallgießer/in
Q000101	Gießereiarbeiter/in
Q000102	Hufschmied/in
Q000103	Fahrzeugfertiger/in
Q000104	Fahrzeugmonteur/in
Q000105	Metalltechniker/in - Fahrzeugbautechnik
Q000106	Schmied/in
Q000107	Kupferschmied/in
Q000108	Bauschlosser/in
Q000109	Bauschlosser-Werkmeister/in
Q000110	Schlossermeister/in (Bauschlosserei)
Q000111	Schlossmacher/in
Q000112	Steinmeißler/in
Q000113	Werkmeister/in-Stahlbau
Q000114	Rohrleitungsmonteur/in
Q000115	Sonnenschutztechniker/in
Q000116	Metalltechniker/in - Blechtechnik
Q000117	Sonnenschutztechniker/in
Q000118	Konstrukteur/in - Metallbautechnik
Q000119	Konstrukteur/in - Stahlbautechnik
Q000120	Kfz-Schlosser/in (Maschinenschlosserei)
Q000121	Maschinenschlosser/in
Q000122	Maschinenmonteur/in
Q000123	Monteur/in (Maschinen)
Q000124	Maschinenbautechniker/in (mit Lehrabschluss)
Q000125	Landmaschinentechniker/in
Q000126	Hausschlosser/in
Q000127	Schlossermeister/in (Schlosserei)
Q000128	Schlosser/in (Schlosserei)
Q000129	Allgemeinschlosser/in
Q000130	Hüttenwerksschlosser/in
Q000131	Gießereimechaniker/in
Q000132	Metallfacharbeiter/in
Q000133	Metallbearbeiter/in
Q000134	Metallbearbeiter/in
Q000135	Feiler/in
Q000136	Schlosserhelfer/in
Q000137	Montagehelfer/in (Schlosserei)
Q000138	Formenbauer/in
Q000139	Schnittmacher/in
Q000140	Industriegraveur/in
Q000141	Einsteller/in
Q000142	Presseneinsteller/in
Q000143	Maschineneinrichter/in
Q000144	Qualitätsprüfer/in
Q000145	Dreher/in
Q000146	CNC-Facharbeiter/in
Q000147	Zerspanungstechniker/in
Q000148	CNC-Dreher/in
Q000149	Bohrist/in
Q000150	Hilfsbohrist/in
Q000151	Fräser/in (Metallbearbeitung)
Q000152	CNC-Fräser/in
Q000153	Flachschleifer/in
Q000154	Rundschleifer/in
Q000155	Werkzeugschleifer/in
Q000156	Entgrater/in
Q000157	Metallpolierer/in
Q000158	Polierer/in
Q000159	Presser/in (Metallbearbeitung)
Q000160	Stanzer/in (maschinelle Metallbearbeitung)
Q000161	Schichtleiter/in (maschinelle Metallverarbeitung)
Q000162	Kfz-Spengler/in
Q000163	Karosseriebautechniker/in
Q000164	Karosseur/in
Q000165	Karosseriebautechniker/in
Q000166	Spengler/in
Q000167	Spenglermeister/in
Q000168	Spengler/in
Q000169	Spenglerhelfer/in
Q000170	Installateur/in
Q000171	Installateur-Werkmeister/in
Q000172	Installateurmeister/in
Q000173	Wasserleitungsinstallateur/in
Q000174	Hausinstallateur/in
Q000175	Vorarbeiter/in Rohrleitungsbau
Q000176	Gasinstallateur/in
Q000177	Elektroschweißmeister/in
Q000178	Hartlöter/in
Q000179	Punktschweißer/in
Q000180	Schweißer/in
Q000181	Universalschweißer/in
Q000182	Löter/in
Q000183	Kraftfahrzeugmechaniker/in
Q000184	Kfz-Mechaniker-Werkmeister/in
Q000185	Kfz-Mechanikermeister/in
Q000186	Werkstättenleiter/in (Kfz-Werkstatt)
Q000187	Kraftfahrzeugtechniker/in
Q000188	Kraftfahrzeugtechniker/in - Personenkraftwagentechnik
Q000189	Kraftfahrzeugtechniker/in - Personenkraftwagentechnik
Q000190	Waffenmechaniker/in
Q000191	Waffenmechaniker/in
Q000192	Maschinenmechaniker/in
Q000193	Allgemeinmechaniker/in
Q000194	Metalltechniker/in - Maschinenbautechnik
Q000195	Prozesstechniker/in
Q000196	Luftfahrzeugtechniker/in
Q000197	Prozesstechniker/in
Q000198	Luftfahrzeugtechniker/in
Q000199	Büromaschinenmechaniker/in
Q000200	Feinmechaniker/in
Q000201	Automatenmechaniker/in
Q000202	EDV-Systemtechniker/in
Q000203	Bandagist/in
Q000204	Orthopädiemechaniker/in
Q000205	Orthopädietechniker/in - Rehabilitationstechnik
Q000206	Orthopädietechniker/in - Rehabilitationstechnik
Q000207	Zahntechniker/in
Q000208	Zahntechnisch(er)e Fachassistent/in
Q000209	Zahntechniker/in
Q000210	Augenoptiker/in
Q000211	Hörgeräteakustiker/in
Q000212	Augenoptiker/in
Q000213	Hörgeräteakustiker/in
Q000214	Uhrmacher/in
Q000215	Goldschmied/in
Q000216	Silberschmied/in
Q000217	Gold- und Silberschmied/in und Juwelier/in
Q000218	Edelsteinschleifer/in
Q000219	Bijouteriewarenmacher/in (Modeschmuckerzeuger/in)
Q000220	Zier- und Schmuckgraveur/in
Q000221	Federmacher/in
Q000222	Monteur/in (Metallwaren)
Q000223	Metalldesigner/in - Gravur
Q000224	Metalldesigner/in - Gürtlerei
Q000225	Metalldesigner/in - Metalldrückerei
Q000226	Metalldesigner/in - Gravur
Q000227	Metalldesigner/in - Gürtlerei
Q000228	Metalldesigner/in - Metalldrückerei
Q000229	Metallhilfsarbeiter/in
Q000230	Maschinenarbeiter/in (Metall)
Q000231	Mikroelektroniker/in
Q000232	EDV-Techniker/in
Q000233	Mechatroniker/in (mit Lehrabschluss)
Q000234	Elektromaschinentechniker/in
Q000235	Flugsicherungsmechaniker/in
Q000236	Montagetechniker/in - Elektromechanik/Elektronik
Q000237	Servicetechniker/in für Büromaschinen
Q000238	Servicetechniker/in für EDV
Q000239	Servicetechniker/in für Haushaltsgeräte
Q000240	Servicetechniker/in für Haustechnik/Gebäudetechnik
Q000241	Servicetechniker/in für Kühlanlagen
Q000242	Servicetechniker/in für Maschinen und Anlagen
Q000243	Aufzugmonteur/in
Q000244	Betriebselektriker/in
Q000245	Elektromonteur/in
Q000246	Kraftfahrzeugelektriker/in
Q000247	Elektroenergietechniker/in
Q000248	Elektroinstallationstechniker/in
Q000249	Filmvorführer/in
Q000250	Kabelmontierer/in
Q000251	Elektroarbeiter/in
Q000252	Elektrogerätemonteur/in
Q000253	Elektroniker/in - Angewandte Elektronik
Q000254	Holz- und Sägetechniker/in
Q000255	Holztechniker/in - Fertigteilproduktion
Q000256	Holztechniker/in - Fertigteilproduktion
Q000257	Holzschneider/in (Sägerei)
Q000258	Bodenleger/in (Bautischlerei)
Q000259	Fußbodenleger/in
Q000260	Parkettleger/in
Q000261	Tischler/in
Q000262	Tischler/in
Q000263	Kunsttischler/in
Q000264	Möbelmonteur/in
Q000265	Modellbauer/in
Q000266	Modellbauer/in
Q000267	Bootbauer/in
