Q000001	Vyšší důstojníci v ozbrojených silách
Q000002	Nižší důstojníci v ozbrojených silách
Q000003	Praporčíci v ozbrojených silách
Q000004	Čekatelé v ozbrojených silách
Q000005	Ostatní zaměstnanci v ozbrojených silách (kromě generálů, důstojníků a poddůstojníků)
Q000006	Nejvyšší státní úředníci v právní oblasti
Q000007	Poradci prezidenta republiky, předsedy vlády a vedoucích ústředních orgánů
Q000008	Vedoucí kanceláře, sekretariátu ústředních orgánů
Q000009	Ostatní nejvyšší státní úředníci
Q000010	Nejvyšší představitelé politických, zájmových a příbuzných organizací
Q000011	Nejvyšší představitelé velkých společností a institucí
Q000012	Nejvyšší představitelé středních společností a institucí
Q000013	Nejvyšší představitelé malých společností a institucí
Q000014	Členové statutárních orgánů
Q000015	Ekonomičtí a finanční náměstci (ředitelé)
Q000016	Řídící pracovníci v oblasti ekonomiky a financí (kromě finančních a pojišťovacích služeb)
Q000017	Řídící pracovníci v oblasti účetnictví a kontrolingu
Q000018	Ostatní řídící pracovníci v oblasti financí (kromě finančních a pojišťovacích služeb)
Q000019	Personální náměstci (ředitelé)
Q000020	Řídící pracovníci v oblasti personální
Q000021	Řídící pracovníci v oblasti zaměstnanosti
Q000022	Ostatní řídící pracovníci v oblasti lidských zdrojů
Q000023	Řídící pracovníci v oblasti úklidu
Q000024	Řídící pracovníci v oblasti racionalizace výroby a investic
Q000025	Řídící pracovníci v oblasti ochrany údajů
Q000026	Řídící pracovníci v oblasti správy podniku, administrativních a podpůrných činností jinde neuvedení
Q000027	Obchodní náměstci (ředitelé)
Q000028	Řídící pracovníci servisních služeb a reklamací
Q000029	Řídící pracovníci v oblasti půjčování a pronájmu movitých věcí
Q000030	Ostatní řídící pracovníci v oblastech příbuzných obchodu a marketingu
Q000031	Řídící pracovníci v oblasti reklamy
Q000032	Řídící pracovníci v oblasti styku s veřejností
Q000033	Náměstci (ředitelé) pro technický rozvoj, výzkum a vývoj
Q000034	Řídící pracovníci v oblasti technického rozvoje
Q000035	Řídící pracovníci v oblasti projektování (kromě ve stavebnictví)
Q000036	Ostatní řídící pracovníci v oblasti výzkumu a vývoje
Q000037	Výrobní náměstci (ředitelé) v zemědělství, lesnictví, myslivosti a vodním hospodářství
Q000038	Řídící pracovníci v zemědělství a zahradnictví
Q000039	Řídící pracovníci ve vodním hospodářství (kromě úpravy a rozvodu vody)
Q000040	Výrobní náměstci (ředitelé) v rybářství a akvakultuře
Q000041	Řídící pracovníci v oblasti úpravy a rozvodu vody
Q000042	Řídící pracovníci v oblasti odpadů a sanací
Q000043	Řídící pracovníci v geologii
Q000044	Výrobní a investiční náměstci (ředitelé) ve stavebnictví
Q000045	Hlavní stavbyvedoucí
Q000046	Řídící pracovníci stavebního provozu
Q000047	Řídící pracovníci v zeměměřictví a kartografii
Q000048	Řídící pracovníci v oblasti projektování ve stavebnictví
Q000049	Ostatní řídící pracovníci ve stavebnictví
Q000050	Řídící pracovníci v oblasti zásobování a nákupu
Q000051	Řídící pracovníci v oblasti skladování
Q000052	Řídící pracovníci v oblasti poštovních a doručovatelských služeb
Q000053	Řídící pracovníci v oblasti logistiky
Q000054	Ostatní řídící pracovníci v oborech příbuzných dopravě a logistice
