C000001_de_000	Angehörige der regulären Streitkräfte
C000002_de_000	Offiziere in regulären Streitkräften
C000003_de_000	Offiziere in regulären Streitkräften
C000004_de_000	Offiziere in regulären Streitkräften
C000005_de_000	Unteroffiziere in regulären Streitkräften
C000006_de_000	Unteroffiziere in regulären Streitkräften
C000007_de_000	Unteroffiziere in regulären Streitkräften
C000008_de_000	Angehörige der regulären Streitkräfte in sonstigen Rängen
C000009_de_000	Angehörige der regulären Streitkräfte in sonstigen Rängen
C000010_de_000	Angehörige der regulären Streitkräfte in sonstigen Rängen.
C000011_de_000	Führungskräfte
C000012_de_000	Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften
C000013_de_000	Angehörige gesetzgebender Körperschaften und leitende Verwaltungsbedienstete
C000014_de_000	Angehörige gesetzgebender Körperschaften
C000015_de_000	Leitende Verwaltungsbedienstete
C000016_de_000	Traditionelle Dorf- und Stammeshäuptlinge
C000017_de_000	Leitende Bedienstete von Interessenorganisationen
C000018_de_000	Geschäftsführer und Vorstände
C000019_de_000	Geschäftsführer und Vorstände
C000020_de_000	Führungskräfte im kaufmännischen Bereich
C000021_de_000	Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen
C000022_de_000	Führungskräfte im Bereich Finanzen
C000023_de_000	Führungskräfte im Personalwesen
C000024_de_000	Führungskräfte in Unternehmenspolitik und -planung
C000025_de_000	Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt
C000026_de_000	Führungskräfte in Vertrieb, Marketing und Entwicklung
C000027_de_000	Führungskräfte in Vertrieb und Marketing
C000028_de_000	Führungskräfte in Werbung und Öffentlichkeitsarbeit
C000029_de_000	Führungskräfte in Forschung und Entwicklung
C000030_de_000	Führungskräfte in der Produktion und bei speziellen Dienstleistungen
C000031_de_000	Führungskräfte in der Produktion in Land- und Forstwirtschaft und Fischerei
C000032_de_000	Führungskräfte in der Produktion in Land- und Forstwirtschaft
C000033_de_000	Führungskräfte in der Produktion in Aquakultur und Fischerei
C000034_de_000	Führungskräfte in der Produktion bei der Herstellung von Waren, im Bergbau und im Bau sowie in der Logistik
C000035_de_000	Führungskräfte in der Produktion bei der Herstellung von Waren
C000036_de_000	Führungskräfte in der Produktion im Bergbau
C000037_de_000	Führungskräfte in der Produktion im Bau
C000038_de_000	Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen
C000039_de_000	Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie
C000040_de_000	Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie
C000041_de_000	Führungskräfte in der Erbringung von speziellen Dienstleistungen
C000042_de_000	Führungskräfte in der Erbringung von Dienstleistungen der Kinderbetreuung
C000043_de_000	Führungskräfte in der Erbringung von Dienstleistungen im Gesundheitswesen
C000044_de_000	Führungskräfte in der Erbringung von Dienstleistungen der Altenbetreuung
C000045_de_000	Führungskräfte in der Erbringung von Dienstleistungen der Sozialfürsorge
C000046_de_000	Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens
C000047_de_000	Führungskräfte auf Filialebene in der Erbringung von Finanz- und Versicherungsdienstleistungen
C000048_de_000	Führungskräfte in der Erbringung von speziellen Dienstleistungen, anderweitig nicht genannt
