Q000001	Offizier im militärfachlichen Dienst
Q000002	Offizier im Truppendienst
Q000003	Offizier im Sanitätsdienst
Q000004	Offizier im Geoinformationsdienst
Q000005	Offizier im Militärmusikdienst
Q000006	Feldwebel im Truppendienst
Q000007	Feldwebel im allgemeinen Fachdienst
Q000008	Feldwebel im Sanitätsdienst
Q000009	Feldwebel im Militärmusikdienst
Q000010	Feldwebel im Geoinformationsdienst
Q000011	Fachunteroffizier im allgemeinen Fachdienst
Q000012	Fachunteroffizier im Sanitätsdienst
Q000013	Fachunteroffizier im Geoinformationsdienst
Q000014	Fachunteroffizier im Militärmusikdienst
Q000015	Freiwillig Wehrdienstleistender/Freiwillig Wehrdienstleistende - Laufbahngruppe Mannschaften
Q000016	Landwirt/Landwirtin
Q000017	Fachkraft Agrarservice
Q000018	Landwirtschaftsberater/Landwirtschaftsberaterin
Q000019	Pflanzenschützer/Pflanzenschützerin
Q000020	Staatlich geprüfte Fachkraft für EDV-gestützte Unternehmensführung
Q000021	Geprüfter Fachagrarwirt/Geprüfte Fachagrarwirtin - Landwirtschaftliche Direktvermarktung
Q000022	Geprüfter Fachagrarwirt/Geprüfte Fachagrarwirtin - Erneuerbare Energien/Biomasse
Q000023	Entwicklungshelfer/Entwicklungshelferin
Q000024	Betriebsleiter/Betriebsleiterin - landwirtschaftlich
Q000025	Tierwirt/Tierwirtin Fachrichtung Schäferei
Q000026	Tierwirt/Tierwirtin Fachrichtung Schweinehaltung
Q000027	Fachagrarwirt/Fachagrarwirtin - Leistungs- und Qualitätsprüfungen in der Tierproduktion
Q000028	Geprüfter Klauenpfleger/Geprüfte Klauenpflegerin
Q000029	Tierwirt/Tierwirtin Fachrichtung Geflügelhaltung
Q000030	Tierwirt/Tierwirtin Fachrichtung Imkerei
Q000031	Imker/Imkerin
Q000032	Tierwirt/Tierwirtin Schwerpunkt Pelztierhaltung
Q000033	Pelztierzüchter/Pelztierzüchterin
Q000034	Vogelzüchter/Vogelzüchterin
Q000035	Hundezüchter/Hundezüchterin
Q000036	Stallmeister/Stallmeisterin
Q000037	Tierwirtschaftsmeister/Tierwirtschaftsmeisterin Fachrichtung Rinderhaltung
Q000038	Tierwirtschaftsmeister/Tierwirtschaftsmeisterin Fachrichtung Schäferei
Q000039	Tierwirtschaftsmeister/Tierwirtschaftsmeisterin Fachrichtung Geflügelhaltung
Q000040	Tierwirtschaftsmeister/Tierwirtschaftsmeisterin Teilbereich Pelztierhaltung
Q000041	Tierwirtschaftsmeister/Tierwirtschaftsmeisterin Fachrichtung Schweinehaltung
Q000042	Pferdewirt/Pferdewirtin Fachrichtung Pferdezucht
Q000043	Pferdewirt/Pferdewirtin Schwerpunkt Reiten
Q000044	Pferdewirt/Pferdewirtin Schwerpunkt Rennreiten
Q000045	Pferdewirt/Pferdewirtin Fachrichtung Spezialreitweisen
Q000046	Pferdewirt/Pferdewirtin Fachrichtung Klassische Reitausbildung
Q000047	Hufbeschlagschmied/Hufbeschlagschmiedin
Q000048	Kutscher/Kutscherin
Q000049	Pferdewirtschaftsmeister/Pferdewirtschaftsmeisterin Teilbereich Pferdezucht und -haltung
Q000050	Pferdewirtschafter/Pferdewirtschafterin (Hochschule)
Q000051	Pferdewirtschaftsmeister/Pferdewirtschaftsmeisterin Fachrichtung Pferdehaltung und Service
Q000052	Pferdewirtschaftsmeister/Pferdewirtschaftsmeisterin Fachrichtung Pferdezucht
Q000053	Gestütsverwalter/Gestütsverwalterin
Q000054	Gestütsleiter/Gestütsleiterin
Q000055	Fischwirt/Fischwirtin Fachrichtung Küstenfischerei und Kleine Hochseefischerei
Q000056	Tierpfleger/Tierpflegerin Fachrichtung Zoo
Q000057	Tierpfleger/Tierpflegerin Fachrichtung Forschung und Klinik
Q000058	Tierlehrer/Tierlehrerin
Q000059	Winzer/Winzerin
Q000060	Weinbauberater/Weinbauberaterin
Q000061	Önologe/Önologin
Q000062	Helfer/Helferin in der Forstwirtschaft
Q000063	Forstwirt/Forstwirtin
Q000064	Beamter/Beamtin im Forstdienst (gehobener Dienst)
Q000065	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Forsttechnik
Q000066	Förster/Försterin (Hochschule)
Q000067	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Umwelt/Landschaft
Q000068	Geprüfter Natur- und Landschaftspfleger/Geprüfte Natur- und Landschaftspflegerin
Q000069	Ranger/Rangerin
Q000070	Revierjäger/Revierjägerin
Q000071	Wildheger/Wildhegerin
Q000072	Berufsjäger/Berufsjägerin
Q000073	Jäger (Berufsjäger)/Jägerin (Berufsjägerin)
Q000074	Staatlich geprüfter Wirtschafter/Staatlich geprüfte Wirtschafterin Fachrichtung Forstwirtschaft
Q000075	Forstwirtschaftsmeister/Forstwirtschaftsmeisterin
Q000076	Revierförster/Revierförsterin
Q000077	Forstverwalter/Betriebsleiter / Forstverwalterin/Betriebsleiterin - Forst
Q000078	Friedhofsarbeiter/Friedhofsarbeiterin
Q000079	Gärtner/Gärtnerin Fachrichtung Garten- und Landschaftsbau
Q000080	Baumpfleger/Baumpflegerin
Q000081	Gartengestalter/Landschaftsgestalter / Gartengestalterin/Landschaftsgestalterin
Q000082	Ingenieur/Ingenieurin für Landschaftsarchitektur
Q000083	Landschaftsarchitekt/Landschaftsarchitektin
Q000084	Gartenbauverwalter/Gartenbauverwalterin
Q000085	Florist/Floristin
Q000086	Staatlich geprüfter Gestalter/Staatlich geprüfte Gestalterin für Blumenkunst
Q000087	Helfer/Helferin im Bergbau, Tagebau
Q000088	Bergmechaniker/Bergmechanikerin
Q000089	Berg- und Maschinenmann/Berg- und Maschinenfrau Fachrichtung Transport und Instandhaltung
Q000090	Tiefbohrfacharbeiter/Tiefbohrfacharbeiterin (Erdöl-, Erdgasgewinnung)
Q000091	Bergbautechnologe/Bergbautechnologin Fachrichtung Tiefbohrtechnik
Q000092	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Bohrtechnik
Q000093	Sprengberechtigter/Sprengberechtigte
Q000094	Kampfmittelbeseitiger/Kampfmittelbeseitigerin
Q000095	Aufbereitungsmechaniker/Aufbereitungsmechanikerin Fachrichtung Steinkohle
Q000096	Aufbereitungsmechaniker/Aufbereitungsmechanikerin Fachrichtung feuerfeste und keramische Rohstoffe
Q000097	Aufbereitungsmechaniker/Aufbereitungsmechanikerin Fachrichtung Sand und Kies
Q000098	Naturwerksteinmechaniker/Naturwerksteinmechanikerin Fachrichtung Maschinenbearbeitungstechnik
Q000099	Naturwerksteinmechaniker/Naturwerksteinmechanikerin Fachrichtung Schleiftechnik
Q000100	Natursteinschleifer/Natursteinschleiferin
Q000101	Aufbereitungsmechaniker/Aufbereitungsmechanikerin Fachrichtung Braunkohle
Q000102	Aufbereiter/Aufbereiterin im Bergbau
Q000103	Verfahrensmechaniker/Verfahrensmechanikerin in der Steine- und Erdenindustrie Fachrichtung Transportbeton
Q000104	Verfahrensmechaniker/Verfahrensmechanikerin in der Steine- und Erdenindustrie Fachrichtung Asphalttechnik
Q000105	Grabsteinmetz/Grabsteinmetzin
Q000106	Steinmetz und Steinbildhauer/Steinmetzin und Steinbildhauerin Fachrichtung Steinmetzarbeiten
Q000107	Steinmetz/Steinmetzin (Industrie)
Q000108	Naturwerksteinmechaniker/Naturwerksteinmechanikerin Fachrichtung Steinmetztechnik
Q000109	Werkstein- und Terrazzoherstellermeister/Werkstein- und Terrazzoherstellermeisterin
Q000110	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Glastechnik Schwerpunkt Glasbautechnik
Q000111	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Glastechnik (ohne Schwerpunkt)
Q000112	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Glastechnik Schwerpunkt Optik
Q000113	Flachglasmechaniker/Flachglasmechanikerin
Q000114	Glasveredler/Glasveredlerin Fachrichtung Flächenveredlung
Q000115	Glasveredler/Glasveredlerin Fachrichtung Gravur
Q000116	Glasveredler/Glasveredlerin Fachrichtung Glasmalerei und Kunstverglasung
Q000117	Glasveredler/Glasveredlerin Fachrichtung Schliff und Gravur
Q000118	Flachglasveredler/Flachglasveredlerin
Q000119	Glasgraveur/Glasgraveurin
Q000120	Flachglastechnologe/Flachglastechnologin
Q000121	Feinoptiker/Feinoptikerin
Q000122	Feinoptikermeister/Feinoptikermeisterin
Q000123	Industriemeister/Industriemeisterin Fachrichtung Optik
Q000124	Gummiverarbeiter/Gummiverarbeiterin
Q000125	Verfahrensmechaniker/Verfahrensmechanikerin für Kunststoff- und Kautschuktechnik Fachrichtung Halbzeuge
Q000126	Kunststoffpresser/Kunststoffpresserin
Q000127	Kunststoffspritzer/Kunststoffspritzerin
Q000128	Kunststofftiefzieher/Kunststofftiefzieherin
Q000129	Laminierer/Laminiererin (Kunststoffverarbeitung)
Q000130	Extruderführer/Extruderführerin
Q000131	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Kunststoff- und Kautschuktechnik
Q000132	Ingenieur/Ingenieurin für Kunststofftechnik
Q000133	Reifenmonteur/Reifenmonteurin
Q000134	Vulkaniseur/Vulkaniseurin
Q000135	Industriemeister/Industriemeisterin Fachrichtung Kunststoff und Kautschuk
Q000136	Meister/Meisterin für Kunststofftechnik
Q000137	Lackierer/Lackiererin in der Spritzlackierung
Q000138	Lackierer/Lackiererin in der Tauchlackierung
Q000139	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Farb- und Lacktechnik (ohne Schwerpunkt)
Q000140	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Farb- und Lacktechnik Schwerpunkt Anwendungs- und Betriebstechnik
Q000141	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Farb- und Lacktechnik Schwerpunkt industrielle Beschichtungstechnik
Q000142	Maler und Lackierer Schwerpunkt Fahrzeuglackierer/Malerin und Lackiererin Schwerpunkt Fahrzeuglackiererin
Q000143	Fahrzeuglackierer/Fahrzeuglackiererin
Q000144	Staatlich geprüfter Betriebsmanager/Staatlich geprüfte Betriebsmanagerin Fachrichtung Farbtechnik
Q000145	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Holztechnik Schwerpunkt Betriebstechnik
Q000146	Ingenieur/Ingenieurin für Holztechnik
Q000147	Holzbearbeitungsmechaniker/Holzbearbeitungsmechanikerin Fachrichtung Sägeindustrie
Q000148	Holzbearbeitungsmechaniker/Holzbearbeitungsmechanikerin Fachrichtung Hobelindustrie
Q000149	Holzbearbeitungsmechaniker/Holzbearbeitungsmechanikerin Fachrichtung Holzleimbauindustrie
Q000150	Holzmechaniker/Holzmechanikerin Fachrichtung Parkettindustrie
Q000151	Sägewerker/Sägewerkerin
Q000152	Kunsttischler/Kunsttischlerin
Q000153	Oberflächenbearbeiter/Oberflächenbearbeiterin (Tischlerei)
Q000154	Furnierer/Furniererin
Q000155	Geprüfter Bildeinrahmer/Geprüfte Bildeinrahmerin
Q000156	Geprüfter Restaurator im Tischlerhandwerk/Geprüfte Restauratorin im Tischlerhandwerk - Master Professional für Restaurierung im Handwerk
Q000157	Tischler/Tischlerin für Restaurierungsarbeiten
Q000158	Staatlich geprüfter Restaurator/Staatlich geprüfte Restauratorin für Möbel und Holzobjekte - Bachelor Professional Technik
Q000159	Bürsten- und Pinselmacher/Bürsten- und Pinselmacherin Fachrichtung Bürstenherstellung
Q000160	Korbmacher/Korbmacherin Fachrichtung Korbmöbelbau
Q000161	Flechtwerkgestalter/Flechtwerkgestalterin
Q000162	Flechtwerkgestalter/Flechtwerkgestalterin Schwerpunkt Flechtmöbel
Q000163	Bürsten- und Pinselmacher/Bürsten- und Pinselmacherin
Q000164	Bürsten- und Pinselmacher/Bürsten- und Pinselmacherin Schwerpunkt Herstellen von Bürsten
Q000165	Böttcher/Böttcherin
Q000166	Bürsten- und Pinselmachermeister/Bürsten- und Pinselmachermeisterin
Q000167	Industriemeister/Industriemeisterin Fachrichtung Sägeindustrie
Q000168	Fachwirt/Fachwirtin für Holzindustrie und Holzhandel
Q000169	Betriebswirt/Betriebswirtin (Fachschule) für Holz
Q000170	Staatlich geprüfter Betriebsmanager/Staatlich geprüfte Betriebsmanagerin Fachrichtung Bau- und Holztechnik
Q000171	Geprüfter Fertigungsplaner/Geprüfte Fertigungsplanerin im Tischlerhandwerk
Q000172	Holzwirt/Holzwirtin
Q000173	Papiermacher/Papiermacherin Fachrichtung Zellstoff
Q000174	Papiertechnologe/Papiertechnologin Fachrichtung Zellstoff
Q000175	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Papiertechnik
Q000176	Ingenieur/Ingenieurin für Papiertechnik
Q000177	Kartonagenmacher/Kartonagenmacherin
Q000178	Ingenieur/Ingenieurin für Verpackungstechnik
Q000179	Industriemeister/Industriemeisterin Fachrichtung Papiererzeugung
Q000180	Mediengestalter/Mediengestalterin für Digital- und Printmedien Fachrichtung Mediendesign
Q000181	Schriftsetzer/Schriftsetzerin
Q000182	Druckvorlagenhersteller/Druckvorlagenherstellerin
Q000183	Scanner-Operator/Scanner-Operatorin
Q000184	Mediengestalter/Mediengestalterin für Digital- und Printmedien Fachrichtung Medienoperating
Q000185	Mediengestalter/Mediengestalterin für Digital- und Printmedien Fachrichtung Medientechnik
Q000186	Staatlich geprüfter Gestaltungstechnischer Assistent/Staatlich geprüfte Gestaltungstechnische Assistentin
Q000187	Mediengestalter/Mediengestalterin Digital und Print Fachrichtung Gestaltung und Technik
Q000188	Mediengestalter/Mediengestalterin Digital und Print Fachrichtung Konzeption und Visualisierung
Q000189	Staatlich geprüfter Grafikdesigner/Staatlich geprüfte Grafikdesignerin
Q000190	Gamedesigner/Gamedesignerin
Q000191	Webdesigner/Webdesignerin
Q000192	Staatlich geprüfter Gestalter/Staatlich geprüfte Gestalterin Fachrichtung Grafikdesign
Q000193	Computer-Animator/Computer-Animatorin
Q000194	Kommunikationsdesigner/Kommunikationsdesignerin
Q000195	Flexografenmeister/Flexografenmeisterin
Q000196	Industriemeister/Industriemeisterin Fachrichtung Digital- und Printmedien
Q000197	Industriemeister/Industriemeisterin Fachrichtung Printmedien - Bachelor Professional in Print
Q000198	Art-Director
Q000199	Fotomedienlaborant/Fotomedienlaborantin
Q000200	Fotolaborant/Fotolaborantin
Q000201	Film- und Videolaborant/Film- und Videolaborantin
Q000202	Filmkopienfertiger/Filmkopenfertigerin
Q000203	Fotograf/Fotografin
Q000204	Pressefotograf/Pressefotografin
Q000205	Bildjournalist/Bildjournalistin
