C000001_da_000	Militært arbejde
C000002_da_000	Militært arbejde på officersniveau
C000003_da_000	Militært arbejde på officersniveau
C000004_da_000	Militært arbejde på officersniveau
C000005_da_000	Militært arbejde på befalingsmandsniveau (underofficersarbejde)
C000006_da_000	Militært arbejde på befalingsmandsniveau (underofficersarbejde)
C000007_da_000	Militært arbejde på befalingsmandsniveau (underofficersarbejde)
C000008_da_000	Militært arbejde, øvrige rangordener
C000009_da_000	Militært arbejde, øvrige rangordener
C000010_da_000	Militært arbejde, øvrige rangordener
C000011_da_000	Ledelsesarbejde
C000012_da_000	Øverste ledelse i lovgivende myndigheder, virksomheder og organisationer
C000013_da_000	Øverste ledelse i lovgivende myndigheder, offentlige virksomheder og organisationer
C000014_da_000	Øverste ledelse i lovgivende myndigheder
C000015_da_000	Øverste ledelse i offentlige virksomheder
C000016_da_000	Ledelse af stamme- og landbysamfund
C000017_da_000	Øverste ledelse i interesseorganisationer
C000018_da_000	Øverste virksomhedsledelse
C000019_da_000	Øverste virksomhedsledelse
C000020_da_000	Ledelse inden for administration og erhvervsorienterede funktioner
C000021_da_000	Ledelse inden for forretningsservice og administrative funktioner
C000022_da_000	Ledelse inden for økonomifunktioner
C000023_da_000	Ledelse inden for HR-funktioner
C000024_da_000	Ledelse inden for virksomhedsstrategi/policy området
C000025_da_000	Ledelse inden for anden forretningsservice og andre administrative funktioner
C000026_da_000	Ledelse af forretnings- og udviklingsorienterede funktioner
C000027_da_000	Ledelse af salg og marketing
C000028_da_000	Ledelse af reklame og PR
C000029_da_000	Ledelse af kommerciel forskning og udvikling
C000030_da_000	Ledelse af hovedaktiviteten inden for produktions- og servicevirksomhed
C000031_da_000	Ledelse af produktion i landbrug, skovbrug og fiskeri
C000032_da_000	Ledelse af produktion i landbrug og skovbrug
C000033_da_000	Ledelse af produktion inden for akvakultur og fiskeri
C000034_da_000	Ledelse af hovedaktiviteten inden fremstillingsvirksomhed, råstofudvinding, byggeri, forsyning, distribution mv.
C000035_da_000	Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed (undtagen landbrug, skovbrug og fiskeri)
C000036_da_000	Ledelse af hovedaktiviteten inden for råstofudvinding
C000037_da_000	Ledelse af hovedaktiviteten inden for bygge- og anlægsvirksomhed
C000038_da_000	Ledelse af hovedaktiviteten inden for forsyning, distribution o.l.
C000039_da_000	Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi
C000040_da_000	Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi
C000041_da_000	Ledelse af hovedaktiviteten inden for servicefag
C000042_da_000	Ledelse af hovedaktiviteten inden for pædagogisk arbejde med og omsorg for børn
C000043_da_000	Ledelse af hovedaktiviteten inden for sundhedsområdet
C000044_da_000	Ledelse af hovedaktiviteten inden for ældreplejen
C000045_da_000	Ledelse af hovedaktiviteten inden for det sociale område
C000046_da_000	Ledelse af hovedaktiviteten inden for undervisningsområdet
C000047_da_000	Ledelse af hovedaktiviteten inden for finans- og forsikringsområdet
C000048_da_000	Anden ledelse af hovedaktiviteten inden for servicefag
C000049_da_000	Ledelse af hovedaktiviteten inden for hotel og restauration, detail- og engroshandel og andre serviceområder
C000050_da_000	Ledelse af hovedaktiviteten inden for hotel- og restauration
C000051_da_000	Ledelse af hovedaktiviteten af hoteller
C000052_da_000	Ledelse af hovedaktiviteten af restauranter
C000053_da_000	Ledelse af hovedaktiviteten inden for detail- og engroshandel
C000054_da_000	Ledelse af hovedaktiviteten inden for detail- og engroshandel
C000055_da_000	Ledelse af hovedaktiviteten inden for andre områder
C000056_da_000	Ledelse af hovedaktiviteten inden for sport, forlystelse og kultur
C000057_da_000	Ledelse af hovedaktiviteten inden for andre serviceområder
C000058_da_000	Arbejde, der forudsætter viden på højeste niveau inden for pågældende område
