C000001_es_000	Ocupaciones militares
C000002_es_000	Oficiales de las fuerzas armadas
C000003_es_000	Oficiales de las fuerzas armadas
C000004_es_000	Oficiales de las fuerzas armadas
C000005_es_000	Suboficiales de las fuerzas armadas
C000006_es_000	Suboficiales de las fuerzas armadas
C000007_es_000	Suboficiales de las fuerzas armadas
C000008_es_000	Otros miembros de las fuerzas armadas
C000009_es_000	Otros miembros de las fuerzas armadas
C000010_es_000	Otros miembros de las fuerzas armadas
C000011_es_000	Directores y gerentes
C000012_es_000	Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos
C000013_es_000	Miembros del poder ejecutivo y de los cuerpos legislativos
C000014_es_000	Miembros del poder legislativo
C000015_es_000	Personal directivo de la administración pública
C000016_es_000	Jefes de pequeñas poblaciones
C000017_es_000	Dirigentes de organizaciones que presentan un interés especial
C000018_es_000	Directores generales y gerentes generales
C000019_es_000	Directores generales y gerentes generales
C000020_es_000	Directores administradores y comerciales
C000021_es_000	Directores de administración y servicios
C000022_es_000	Directores financieros
C000023_es_000	Directores de recursos humanos
C000024_es_000	Directores de políticas y planificación
C000025_es_000	Directores de administración y servicios no clasificados bajo otros epígrafes
C000026_es_000	Directores de ventas, comercialización y desarrollo
C000027_es_000	Directores de ventas y comercialización
C000028_es_000	Directores de publicidad y relaciones públicas
C000029_es_000	Directores de investigación y desarrollo
C000030_es_000	Directores y gerentes de producción y operaciones
C000031_es_000	Directores de producción agropecuaria, silvicultura y pesca
C000032_es_000	Directores de producción agropecuaria y silvicultura
C000033_es_000	Directores de producción de piscicultura y pesca
C000034_es_000	Directores de industrias manufactureras, de minería, construcción y distribución
C000035_es_000	Directores de industrias manufactureras
C000036_es_000	Directores de explotaciones de minería
C000037_es_000	Directores de empresas de construcción
C000038_es_000	Directores de empresas de abastecimiento, distribución y afines
C000039_es_000	Directores de servicios de tecnología de la información y las comunicaciones
C000040_es_000	Directores de servicios de tecnología de la información y las comunicaciones
C000041_es_000	Directores y gerentes de servicios profesionales
C000042_es_000	Directores de servicios de cuidados infantiles
C000043_es_000	Directores de servicios de salud
C000044_es_000	Directores de servicios de cuidado de las personas de edad
C000045_es_000	Directores de servicios de bienestar social
C000046_es_000	Directores de servicios de educación
C000047_es_000	Gerentes de sucursales de bancos, de servicios financieros y de seguros
C000048_es_000	Directores y gerentes de servicios profesionales no clasificados bajo otros epígrafes
C000049_es_000	Gerentes de hoteles, restaurantes, comercios y otros servicios
C000050_es_000	Gerentes de hoteles y restaurantes
C000051_es_000	Gerentes de hoteles
C000052_es_000	Gerentes de restaurantes
C000053_es_000	Gerentes de comercios al por mayor y al por menor
C000054_es_000	Gerentes de comercios al por mayor y al por menor
C000055_es_000	Otros gerentes de servicios
C000056_es_000	Gerentes de centros deportivos, de esparcimiento y culturales
C000057_es_000	Gerentes de servicios no clasificados bajo otros epígrafes
C000058_es_000	Profesionales científicos e intelectuales
C000059_es_000	Profesionales de las ciencias y de la ingeniería
C000060_es_000	Físicos, químicos y afines
C000061_es_000	Físicos y astrónomos
C000062_es_000	Meteorólogos
C000063_es_000	Químicos
C000064_es_000	Geólogos y geofísicos
C000065_es_000	Matemáticos, actuarios y estadísticos
C000066_es_000	Matemáticos, actuarios y estadísticos
C000067_es_000	Profesionales en ciencias biológicas
C000068_es_000	Biólogos, botánicos, zoólogos y afines
C000069_es_000	Agrónomos y afines
C000070_es_000	Profesionales de la protección medioambiental
C000071_es_000	Ingenieros (excluyendo electrotecnólogos)
C000072_es_000	Ingenieros industriales y de producción
C000073_es_000	Ingenieros civiles
C000074_es_000	Ingenieros medioambientales
C000075_es_000	Ingenieros mecánicos
C000076_es_000	Ingenieros químicos
C000077_es_000	Ingenieros de minas, metalúrgicos y afines
C000078_es_000	Ingenieros no clasificados bajo otros epígrafes
C000079_es_000	Ingenieros no clasificados bajo otros epígrafes
C000080_es_000	Ingenieros electricistas
C000081_es_000	Ingenieros electrónicos
C000082_es_000	Ingenieros en telecomunicaciones
C000083_es_000	Arquitectos, urbanistas, agrimensores y diseñadores
C000084_es_000	Arquitectos
C000085_es_000	Arquitectos paisajistas
C000086_es_000	Diseñadores de productos y de prendas
C000087_es_000	Urbanistas e ingenieros de tránsito
C000088_es_000	Cartógrafos y agrimensores
C000089_es_000	Diseñadores gráficos y multimedia
C000090_es_000	Profesionales de la salud
C000091_es_000	Médicos
C000092_es_000	Médicos generales
C000093_es_000	Médicos especialistas
C000094_es_000	Profesionales de enfermería y partería
C000095_es_000	Profesionales de enfermería
C000096_es_000	Profesionales de partería
C000097_es_000	Profesionales de medicina tradicional y alternativa
C000098_es_000	Profesionales de medicina tradicional y alternativa
C000099_es_000	Practicantes paramédicos
C000100_es_000	Practicantes paramédicos
C000101_es_000	Veterinarios
C000102_es_000	Veterinarios
C000103_es_000	Otros profesionales de la salud
C000104_es_000	Dentistas
C000105_es_000	Farmacéuticos
C000106_es_000	Profesionales de la salud y la higiene laboral y ambiental
C000107_es_000	Fisioterapeutas
C000108_es_000	Dietistas y nutricionistas
C000109_es_000	Audiólogos y logopedas
C000110_es_000	Optometristas
C000111_es_000	Profesionales de la salud no clasificados bajo otros epígrafes
C000112_es_000	Profesionales de la enseñanza
C000113_es_000	Profesores de universidades y de la enseñanza superior
C000114_es_000	Profesores de universidades y de la enseñanza superior
C000115_es_000	Profesores de formación profesional
C000116_es_000	Profesores de formación profesional
C000117_es_000	Profesores de enseñanza secundaria
C000118_es_000	Profesores de enseñanza secundaria
C000119_es_000	Maestros de enseñanza primaria y maestros preescolares
C000120_es_000	Maestros de enseñanza primaria
C000121_es_000	Maestros preescolares
C000122_es_000	Otros profesionales de la enseñanza
C000123_es_000	Especialistas en métodos pedagógicos
C000124_es_000	Educadores para necesidades especiales
C000125_es_000	Otros profesores de idiomas
C000126_es_000	Otros profesores de música
C000127_es_000	Otros profesores de artes
C000128_es_000	Instructores en tecnología de la información
C000129_es_000	Profesionales de la enseñanza no clasificados bajo otros epígrafes
C000130_es_000	Especialistas en organización de la administración pública y de empresas
C000131_es_000	Especialistas en finanzas
C000132_es_000	Contables
C000133_es_000	Asesores financieros y en inversiones
C000134_es_000	Analistas financieros
C000135_es_000	Especialistas en organización de administración
C000136_es_000	Analistas de gestión y organización
C000137_es_000	Especialistas en políticas de administración
C000138_es_000	Especialistas en políticas y servicios de personal y afines
C000139_es_000	Especialistas en formación del personal
C000140_es_000	Profesionales de las ventas, la comercialización y las relaciones públicas
C000141_es_000	Profesionales de la publicidad y la comercialización
