Q000001	riigikogu liige
Q000002	linnaosa vanem
Q000003	saadik, diplomaatiline esindaja
Q000004	vallasekretär, linnasekretär
Q000005	politseiülem, politsei prefekt
Q000006	külavanem
Q000007	ametiühingu, tööandjate liidu juht
Q000008	erakonna esimees, erakonna peasekretär
Q000009	juhatuse liige, prokurist
Q000010	tervishoiuasutuse tegevdirektor või tippjuht, haiglajuht
Q000011	finantsjuht
Q000012	purser
Q000013	personalijuht
Q000014	värbamisjuht
Q000015	strateegiajuht
Q000016	poliitikajuht, poliitika planeerimisjuht
Q000017	haldusjuht, haldusteenistuse juht, haldusdirektor
Q000018	äriteeninduse juht
Q000019	turvajuht
Q000020	üldosakonna juhataja
Q000021	reklaamijuht
Q000022	suhtekorraldusjuht
Q000023	tootearendusjuht
Q000024	teadus- ja arendusosakonna juhataja, teadusasutuse juht
Q000025	arendusosakonna juhataja, arendusdirektor
Q000026	jahindusjuht
Q000027	põllumajandusettevõtte juht
Q000028	tootmisjuht vesiviljeluses
Q000029	traaleriteenistuse juht
Q000030	kalandustööde juht
Q000031	energeetikaettevõtte juht, elektrijaama juht
Q000032	elektroonikatööstuse tootmisjuht
Q000033	mööblitööstuse tootmisjuht
Q000034	puidu-, paberitööstuse tootmisjuht
Q000035	soojusenergia tootmisjuht, katlamaja juht
Q000036	toiduainetetööstuse tootmisjuht
Q000037	tööstuse tehnikajuht
Q000038	tööstuse, tootmise projektijuht
Q000039	energeetikaosakonna juhataja, elektrienergia tootmisjuht
Q000040	tehase juht, töötleva tööstuse ettevõtte juht
Q000041	mäetööstuse, kaevanduse juht
Q000042	ehituse projektijuht
Q000043	ehitusettevõtte juht
Q000044	ehitusosakonna juhataja
Q000045	laojuht, laojuhataja
Q000046	transpordiettevõtte juht
Q000047	varustusjuht, ostujuht
Q000048	tarne- ja turustusjuht, tarneahela juht
Q000049	IT juht, info- ja kommunikatsioonitehnoloogia osakonna juhataja
Q000050	tarkvara arendusjuht
Q000051	info- ja kommunikatsioonitehnoloogia arendusjuht
Q000052	lasteaia juhataja, lapsehoiuteenuste juht
Q000053	arst-juht (kliinikujuht, osakonnajuhataja, peaarst)
Q000054	muu tervishoiuteenuseid osutava struktuuriüksuse juht
Q000055	õendusjuht
Q000056	hooldekodu juht
Q000057	asenduskodu, lastekodu juhataja
Q000058	hoolekandekeskuse, päevakeskuse juhataja
Q000059	koolidirektor
Q000060	osakonnajuhataja (haridus- ja koolitusvaldkond)
Q000061	investeeringute juht, fondijuht
