C000001_et_000	Sõjaväelased
C000002_et_000	Kaitseväe ohvitserid
C000003_et_000	Kaitseväe ohvitserid
C000004_et_000	Kaitseväe ohvitserid
C000005_et_000	Kaitseväe allohvitserid
C000006_et_000	Kaitseväe allohvitserid
C000007_et_000	Kaitseväe allohvitserid
C000008_et_000	Kaitseväe reakoosseis
C000009_et_000	Kaitseväe reakoosseis
C000010_et_000	Kaitseväe reakoosseis
C000011_et_000	Juhid
C000012_et_000	Tippjuhid, kõrgemad ametnikud ja seadusandjad
C000013_et_000	Seadusandjad ja kõrgemad ametnikud
C000014_et_000	Seadusandjad
C000015_et_000	Kõrgemad valitsusametnikud
C000016_et_000	Aleviku- ja külavanemad
C000017_et_000	Kõrgemad ametnikud ühiskondlikes huviorganisatsioonides
C000018_et_000	Tegevdirektorid ja tippjuhid
C000019_et_000	Tegevdirektorid ja tippjuhid
C000020_et_000	Haldus- ja ärijuhid
C000021_et_000	Põhitegevuse juhid ja haldusdirektorid
C000022_et_000	Finantsjuhid
C000023_et_000	Personalijuhid
C000024_et_000	Strateegiajuhid
C000025_et_000	Põhitegevuse juhid ja haldusdirektorid, mujal liigitamata
C000026_et_000	Müügi- ja turundusjuhid ning arendusjuhid
C000027_et_000	Müügi- ja turundusjuhid
C000028_et_000	Reklaami- ja suhtekorraldusjuhid
C000029_et_000	Uurimis- ja arendusjuhid
C000030_et_000	Tootmisjuhid ja põhitegevuse juhid (tegevusalade kaupa)
C000031_et_000	Tootmisjuhid põllumajanduses, metsanduses ja kalanduses
C000032_et_000	Tootmisjuhid põllumajanduses ja metsanduses
C000033_et_000	Tootmisjuhid kalanduses ja vesiviljeluses
C000034_et_000	Põhitegevuse juhid tööstuses, kaevanduses, ehituses ja turustamises
C000035_et_000	Põhitegevuse juhid tööstuses
C000036_et_000	Põhitegevuse juhid kaevanduses
C000037_et_000	Põhitegevuse juhid ehituses
C000038_et_000	Põhitegevuse juhid tarne ja turustamise alal
C000039_et_000	Info- ja kommunikatsioonitehnoloogia juhid
C000040_et_000	Info- ja kommunikatsioonitehnoloogia juhid
C000041_et_000	Professionaalseid teenuseid osutavate asutuste juhid
C000042_et_000	Lastehoiuteenuseid osutavate asutuste juhid
C000043_et_000	Tervishoiuteenuseid osutavate asutuste juhid
C000044_et_000	Vanurite hooldamise teenuseid osutavate asutuste juhid
C000045_et_000	Sotsiaalhoolekande teenuseid osutavate asutuste juhid
C000046_et_000	Haridus- ja koolitusasutuste juhid
C000047_et_000	Finantsvahendus- ja kindlustusteenuseid osutavate asutuste juhid
C000048_et_000	Professionaalseid teenuseid osutavate asutuste juhid, mujal liigitamata
C000049_et_000	Haiglate juhid, jaekaubanduse juhid ja muid teenuseid osutavate asutuste juhid
C000050_et_000	Hotelli- ja restoraniteenuseid osutavate asutuste juhid
C000051_et_000	Hotellide juhid
C000052_et_000	Restoranide juhid
C000053_et_000	Ärijuhid hulgi- ja jaekaubanduses
C000054_et_000	Ärijuhid hulgi- ja jaekaubanduses
C000055_et_000	Muid teenuseid osutavate asutuste juhid
C000056_et_000	Spordi-, rekreatsiooni- ja kultuuriasutuste juhid
C000057_et_000	Teenuseid osutavate asutuste juhid, mujal liigitamata
C000058_et_000	Tippspetsialistid
C000059_et_000	Loodus- ja tehnikateaduste tippspetsialistid
C000060_et_000	Füüsika- ja muude loodusteaduste tippspetsialistid
C000061_et_000	Füüsikud ja astronoomid
C000062_et_000	Meteoroloogid
C000063_et_000	Keemikud
C000064_et_000	Geoloogid ja geofüüsikud
C000065_et_000	Matemaatikud, aktuaarid ja statistikud
C000066_et_000	Matemaatikud, aktuaarid ja statistikud
C000067_et_000	Bioteaduste tippspetsialistid
C000068_et_000	Bioloogid, botaanikud, zooloogid jms alade tippspetsialistid
C000069_et_000	Taime- ja loomakasvatuse, metsanduse ja kalanduse nõuandjad
C000070_et_000	Keskkonnakaitse tippspetsialistid
C000071_et_000	Tehnikateaduste tippspetsialistid (v.a elektrotehnika tippspetsialistid)
C000072_et_000	Tööstus- ja tootmisinsenerid
C000073_et_000	Ehitusinsenerid
