Q000001	Vojni namještenik/vojna namještenica
Q000002	Predsjednik/predsjednica Republike
Q000003	Predsjednik/predsjednica Hrvatskoga državnog sabora
Q000004	Predsjednik/predsjednica radnog tijela doma Hrvatskoga državnog sabora
Q000005	Zastupnik/zastupnica Hrvatskoga državnog sabora
Q000006	Predsjednik/predsjednica Vlade
Q000007	Ministar/ministrica
Q000008	Župan/županica
Q000009	Gradonačelnik/gradonačelnica
Q000010	Predsjednik/predsjednica Vrhovnog suda
Q000011	Predsjednik/predsjednica Upravnog suda
Q000012	Predsjednik/predsjednica Visokoga trgovačkog suda
Q000013	Predsjednik/predsjednica Visokoga prekršajnog suda
Q000014	Državni odvjetnik/državna odvjetnica Republike Hrvatske
Q000015	Državni pravobranitelj/državna pravobraniteljica Republike Hrvatske
Q000016	Guverner/guvernerka Hrvatske narodne banke
Q000017	Čuvar/čuvarica državnog pečata
Q000018	Pučki pravobranitelj/pučka pravobraniteljica
Q000019	Predsjednik/predsjednica izbornog povjerenstva
Q000020	Tajnik/tajnica Hrvatskoga državnog sabora
Q000021	Tajnik/tajnica radnog tijela Hrvatskoga državnog sabora
Q000022	Tajnik/tajnica radnog tijela Vlade
Q000023	Predstojnik/predstojnica Vladina ureda
Q000024	Pomoćnik/pomoćnica ravnatelja upravne organizacije
Q000025	Veleposlanik/veleposlanica
Q000026	Konzul/konzulica
Q000027	Čelnik/čelnica političke stranke
Q000028	Dužnosnik/dužnosnica političke stranke
Q000029	Čelnik/čelnica sindikata
Q000030	Dužnosnik/dužnosnica sindikata
Q000031	Čelnik/čelnica udruge poslodavaca
Q000032	Dužnosnik/dužnosnica udruge poslodavaca
Q000033	Čelnik/čelnica strukovne komore
Q000034	Dužnosnik/dužnosnica strukovne komore
Q000035	Čelnik/čelnica interesne udruge
Q000036	Dužnosnik/dužnosnica interesne udruge
Q000037	Čelnik/čelnica humanitarne organizacije
Q000038	Generalni direktor/generalna direktorica
Q000039	Član/članica uprave trgovačkog društva
Q000040	Rektor/rektorica sveučilišta
Q000041	Direktor/direktorica proizvodnje poljoprivrednog društva
Q000042	Direktor/direktorica proizvodnje i poslovanja lovno-uzgojnog društva
Q000043	Direktor/direktorica proizvodnje i poslovanja šumarskog društva
Q000044	Direktor/direktorica proizvodnje ribarskog društva
Q000045	Tehnički direktor/tehnička direktorica rudnika
Q000046	Tehnički direktor/tehnička direktorica društva za industrijsku proizvodnju
Q000047	Direktor/direktorica operative građevinskog društva
Q000048	Direktor/direktorica poslovne jedinice trgovine
Q000049	Direktor/direktorica hotelskog poslovanja
Q000050	Direktor/direktorica poslovanja društva za smještaj gostiju
Q000051	Direktor/direktorica restoranskog poslovanja
Q000052	Šef/šefica željezničkog prometa
Q000053	Direktor/direktorica poslovanja špediterskog društva
Q000054	Direktor/direktorica međunarodnoga putničkog prometa u društvu
Q000055	Direktor/direktorica prijevoza opasnih tvari u društvu
Q000056	Direktor/direktorica prijevoza u brodarskom društvu
Q000057	Direktor/direktorica telekomunikacija
Q000058	Direktor/direktorica poslovanja putničke i turističke agencije
Q000059	Direktor/direktorica poslovanja društva za ostale usluge u prometu
Q000060	Direktor/direktorica poslovanja društva za promet nekretninama
Q000061	Direktor/direktorica poslovanja društva za urbanizam
Q000062	Direktor/direktorica za organizaciju rada
Q000063	Prokurist/prokuristica
Q000064	Direktor/direktorica poslovanja društva za uklanjanje otpadnih voda
Q000065	Ravnatelj/ravnateljica škole
Q000066	Ravnatelj/ravnateljica predškolske ustanove
Q000067	Ravnatelj/ravnateljica poslovanja ustanove za kulturu
Q000068	Producent/producentica
Q000069	Direktor/direktorica poslovanja nakladničkog društva
Q000070	Ravnatelj/ravnateljica poslovanja zdravstvene ustanove
Q000071	Ravnatelj/ravnateljica ustanove socijalnog rada
Q000072	Voditelj/voditeljica područne službe
Q000073	Sportski direktor/sportska direktorica
Q000074	Direktor/direktorica sportskog objekta
Q000075	Direktor/direktorica zoološkog vrta
Q000076	Direktor/direktorica nacionalnog parka
Q000077	Direktor/direktorica izvanteritorijalne organizacije
Q000078	Direktor/direktorica financija i računovodstva
Q000079	Direktor/direktorica službe osiguravateljskog društva
Q000080	Direktor/direktorica pravne, kadrovske i opće službe
Q000081	Direktor/direktorica prodaje
Q000082	Direktor/direktorica komercijalne službe
Q000083	Direktor/direktorica službe za oglašavanje
Q000084	Direktor/direktorica poslova za odnose s javnošću
Q000085	Direktor/direktorica nabave
Q000086	Direktor/direktorica distribucije
Q000087	Direktor/direktorica razvojno-istraživačke službe
Q000088	Direktor/direktorica internoga glasila
Q000089	Direktor/direktorica zaštite okoliša i sigurnosti na radu
Q000090	Direktor/direktorica malog poljoprivrednoga gospodarstva
Q000091	Direktor/direktorica maloga vrtlarskog društva
Q000092	Direktor/direktorica maloga lovno-uzgojnog društva
Q000093	Direktor/direktorica malog lovišta
Q000094	Direktor/direktorica maloga šumarskog društva
