Q000001	0	C000335_hr_000	1
Q000002	0	C000015_hr_000	1
Q000003	0	C001724_hr_000	1
Q000003	0	C001724_hr_001	1
Q000003	0	C001724_hr_002	1
Q000003	0	C001724_hr_003	1
Q000003	0	C001724_hr_004	1
Q000004	0	C001724_hr_000	1
Q000004	0	C001724_hr_001	1
Q000004	0	C001724_hr_002	1
Q000004	0	C001724_hr_003	1
Q000004	0	C001724_hr_004	1
Q000005	0	C001724_hr_000	1
Q000005	0	C001724_hr_001	1
Q000005	0	C001724_hr_002	1
Q000005	0	C001724_hr_003	1
Q000005	0	C001724_hr_004	1
Q000006	0	C001395_hr_000	1
Q000006	0	C001395_hr_001	1
Q000006	0	C001395_hr_002	1
Q000006	0	C001395_hr_003	1
Q000006	0	C001395_hr_004	1
Q000006	0	C001395_hr_005	1
Q000006	0	C001395_hr_006	1
Q000007	0	C001395_hr_000	1
Q000007	0	C001395_hr_001	1
Q000007	0	C001395_hr_002	1
Q000007	0	C001395_hr_003	1
Q000007	0	C001395_hr_004	1
Q000007	0	C001395_hr_005	1
Q000007	0	C001395_hr_006	1
Q000008	0	C003135_hr_000	1
Q000008	0	C003135_hr_001	1
Q000008	0	C003135_hr_002	1
Q000008	0	C003135_hr_003	1
Q000008	0	C003135_hr_004	1
Q000008	0	C003135_hr_005	1
Q000008	0	C003135_hr_006	1
Q000009	0	C001916_hr_000	1
Q000009	0	C001916_hr_001	1
Q000009	0	C001916_hr_002	1
Q000010	0	C001261_hr_000	1
Q000010	0	C001261_hr_001	1
Q000010	0	C001261_hr_002	1
Q000011	0	C000723_hr_000	1
Q000011	0	C000723_hr_001	1
Q000011	0	C000723_hr_002	1
Q000012	0	C000723_hr_000	1
Q000012	0	C000723_hr_001	1
Q000012	0	C000723_hr_002	1
Q000013	0	C000723_hr_000	1
Q000013	0	C000723_hr_001	1
Q000013	0	C000723_hr_002	1
Q000014	0	C002665_hr_000	1
Q000014	0	C002665_hr_001	1
Q000014	0	C002665_hr_002	1
Q000015	0	C001853_hr_000	1
Q000015	0	C001853_hr_001	1
Q000015	0	C001853_hr_002	1
Q000015	0	C001853_hr_003	1
Q000016	0	C002502_hr_000	1
Q000016	0	C002502_hr_001	1
Q000016	0	C002502_hr_002	1
Q000017	0	C000015_hr_000	1
Q000018	0	C001853_hr_000	1
Q000018	0	C001853_hr_001	1
Q000018	0	C001853_hr_002	1
Q000018	0	C001853_hr_003	1
Q000019	0	C000015_hr_000	1
Q000020	0	C001724_hr_000	1
Q000020	0	C001724_hr_001	1
Q000020	0	C001724_hr_002	1
Q000020	0	C001724_hr_003	1
Q000020	0	C001724_hr_004	1
Q000021	0	C003164_hr_000	1
Q000021	0	C003164_hr_001	1
Q000021	0	C003164_hr_002	1
Q000021	0	C003164_hr_003	1
Q000021	0	C003164_hr_004	1
Q000022	0	C003164_hr_000	1
Q000022	0	C003164_hr_001	1
Q000022	0	C003164_hr_002	1
Q000022	0	C003164_hr_003	1
