C000001_hr_000	Vojna zanimanja
C000002_hr_000	Časnici/časnice
C000003_hr_000	Časnici/časnice
C000004_hr_000	Časnici/časnice
C000005_hr_000	Dočasnici/dočasnice
C000006_hr_000	Dočasnici/dočasnice
C000007_hr_000	Dočasnici/dočasnice
C000008_hr_000	Vojna zanimanja, ostali činovi
C000009_hr_000	Vojna zanimanja, ostali činovi
C000010_hr_000	Vojna zanimanja, ostali činovi
C000011_hr_000	Zakonodavci/zakonodavke, dužnosnici/dužnosnice i direktori/direktorice
C000012_hr_000	Zakonodavci/zakonodavke, dužnosnici/dužnosnice i direktori/direktorice
C000013_hr_000	Zakonodavci/zakonodavke i dužnosnici/dužnosnice
C000014_hr_000	Zakonodavci/zakonodavke
C000015_hr_000	Dužnosnici/dužnosnice tijela državne vlasti
C000016_hr_000	Plemenski i seoski poglavari/plemenske i seoske poglavarke
C000017_hr_000	Čelnici i dužnosnici interesnih organizacija/čelnice i dužnosnice interesnih organizacija
C000018_hr_000	Glavni i izvršni direktori/glavne i izvršne direktorice
C000019_hr_000	Glavni i izvršni direktori/glavne i izvršne direktorice
C000020_hr_000	Administrativni i komercijalni direktori/administrativne i komercijalne direktorice
C000021_hr_000	Direktori/direktorice poslovnih i administrativnih jedinica
C000022_hr_000	Financijski direktori/financijske direktorice
C000023_hr_000	Direktori/direktorice ljudskih potencijala
C000024_hr_000	Direktori/direktorice programske politike i planiranja
C000025_hr_000	Poslovni i administrativni direktori/direktorice d. n.
C000026_hr_000	Direktori/direktorice prodaje, marketinga i razvoja
C000027_hr_000	Direktori/direktorice prodaje i marketinga
C000028_hr_000	Direktori/direktorice promidžbe i odnosa s javnošću
C000029_hr_000	Direktori/direktorice istraživanja i razvoja
C000030_hr_000	Direktori/direktorice proizvodnje i specijaliziranih usluga
C000031_hr_000	Direktori/direktorice proizvodnje u poljoprivredi, šumarstvu i ribarstvu
C000032_hr_000	Direktori/direktorice proizvodnje u poljoprivredi i šumarstvu
C000033_hr_000	Direktori/direktorice proizvodnje u ribarstvu i ribogojstvu
C000034_hr_000	Direktori/direktorice proizvodnje u prerađivačkoj industriji, rudarstvu, građevinarstvu i distribuciji
C000035_hr_000	Direktori/direktorice proizvodnje u prerađivačkoj industriji
C000036_hr_000	Direktori/direktorice proizvodnje u rudarstvu
C000037_hr_000	Direktori/direktorice proizvodnje u građevinarstvu
C000038_hr_000	Direktori/direktorice za nabavu i distribuciju
C000039_hr_000	Direktori/direktorice u području informacijsko komunikacijskih tehnologija
C000040_hr_000	Direktori/direktorice u području informacijsko komunikacijskih tehnologija
C000041_hr_000	Ravnatelji/ravnateljice; direktori/direktorice za pružanje stručnih usluga u zdravstvu, obrazovanju, socijalnoj skrbi i financijama
C000042_hr_000	Ravnatelji/ravnateljice u području predškolskog odgoja
C000043_hr_000	Ravnatelji/ravnateljice zdravstvenih ustanova
C000044_hr_000	Ravnatelji/ravnateljice ustanova za pružanje usluga njege starijim osobama
C000045_hr_000	Ravnatelji/ravnateljice ustanova za socijalnu skrb
C000046_hr_000	Ravnatelji/ravnateljice osnovnih škola i srednjoškolskih ustanova te dekani/dekanice i rektori/rektorice visokih učilišta
C000047_hr_000	Direktori/direktorice financijskih institucija i osiguravajućih društava
C000048_hr_000	Ravnatelji/ravnateljice ustanova za pružanje stručnih usluga d. n.
C000049_hr_000	Direktori/direktorice u turizmu, ugostiteljstvu, trgovini na malo i drugim uslužnim djelatnostima
C000050_hr_000	Direktori/direktorice hotela, kampova i restorana
C000051_hr_000	Direktori/direktorice hotela i kampova
C000052_hr_000	Direktori/direktorice restorana i srodnih ugostiteljskih objekata
C000053_hr_000	Direktori/direktorice u trgovini na malo i veliko
C000054_hr_000	Direktori/direktorice u trgovini na malo i veliko
C000055_hr_000	Direktori/direktorice u području ostalih uslužnih djelatnosti
C000056_hr_000	Direktori/direktorice športskih, rekreacijskih i kulturnih centara
C000057_hr_000	Direktori/direktorice uslužnih djelatnosti d. n.
C000058_hr_000	Znanstvenici/znanstvenice, inženjeri/inženjerke i stručnjaci/stručnjakinje
C000059_hr_000	Znanstvenici/znanstvenice,, inženjeri/inženjerke i stručnjaci/stručnjakinje
C000060_hr_000	Stručnjaci/stručnjakinje fizikalnih znanosti i geoznanosti
C000061_hr_000	Fizičari/fizičarke i astronomi/astronomke
C000062_hr_000	Meteorolozi/meteorologinje
C000063_hr_000	Kemičari/kemičarke
C000064_hr_000	Geolozi/geologinje i geofizičari/geofizičarke
C000065_hr_000	Matematičari/matematičarke, aktuari/aktuarke i statističari/statističarke
C000066_hr_000	Matematičari/matematičarke, aktuari/aktuarke i statističari/statističarke
C000067_hr_000	Stručnjaci/stručnjakinje bioloških i srodnih znanosti
C000068_hr_000	Biolozi/biologinje, botaničari/botaničarke, zoolozi/zoologinje i srodni stručnjaci/stručnjakinje
C000069_hr_000	Savjetnici/savjetnice u poljoprivredi, šumarstvu i ribarstvu
C000070_hr_000	Stručnjaci/stručnjakinje za zaštitu okoliša
C000071_hr_000	Stručnjaci/stručnjakinje tehničko-tehnoloških znanosti (osim elektrotehnike)
C000072_hr_000	Inženjeri/inženjerke industrijskog inženjerstva i proizvodnje
C000073_hr_000	Inženjeri/inženjerke građevinarstva
C000074_hr_000	Inženjeri/inženjerke za okoliš
C000075_hr_000	Inženjeri/inženjerke strojarstva
C000076_hr_000	Inženjeri/inženjerke kemijske tehnologije
C000077_hr_000	Inženjeri/inženjerke rudarstva, metalurgije i srodni stručnjaci/stručnjakinje
C000078_hr_000	Stručnjaci/stručnjakinje tehničko-tehnoloških znanosti (osim elektrotehnike) d. n.
C000079_hr_000	Inženjeri/inženjerke elektrotehnike
C000080_hr_000	Inženjeri/inženjerke elektroenergetike
C000081_hr_000	Inženjeri/inženjerke elektronike
C000082_hr_000	Inženjeri/inženjerke telekomunikacija
C000083_hr_000	Arhitekti/arhitektice, urbanisti/urbanistice, geodeti/geodetkinje i projektanti/projektantice
C000084_hr_000	Arhitekti/arhitektice
C000085_hr_000	Krajobrazni arhitekti/krajobrazne arhitektice
C000086_hr_000	Industrijski i modni dizajneri/industrijske i modne dizajnerice
C000087_hr_000	Inženjeri/inženjerke urbanizma i prometa
C000088_hr_000	Kartografi/kartografkinje i geodeti/geodetkinje
C000089_hr_000	Grafički dizajneri/grafičke dizajnerice i dizajneri/dizajnerice multimedijskih sadržaja
C000090_hr_000	Zdravstveni stručnjaci/zdravstvene stručnjakinje
C000091_hr_000	Doktori/doktorice medicine
C000092_hr_000	Liječnici/liječnice opće prakse
C000093_hr_000	Liječnici specijalisti/liječnice specijalistice
C000094_hr_000	Stručnjaci/stručnjakinje za zdravstvenu njegu i primaljstvo
C000095_hr_000	Glavni medicinski tehničari/glavne medicinske sestre opće njege
C000096_hr_000	Glavne primalje
C000097_hr_000	Stručnjaci/stručnjakinje za tradicionalnu i komplementarnu medicinu
C000098_hr_000	Stručnjaci/stručnjakinje za tradicionalnu i komplementarnu medicinu
C000099_hr_000	Paramedicinsko osoblje
C000100_hr_000	Paramedicinsko osoblje
C000101_hr_000	Veterinari/veterinarke
C000102_hr_000	Veterinari/veterinarke
C000103_hr_000	Ostali zdravstveni radnici/ostale zdravstvene radnice
C000104_hr_000	Doktori/doktorice dentalne medicine
C000105_hr_000	Farmaceuti/farmaceutkinje
C000106_hr_000	Stručnjaci/stručnjakinje zaštite okoliša i zdravlja na radu
C000107_hr_000	Fizioterapeuti/fizioterapeutkinje
C000108_hr_000	Dijetetičari/dijetetičarke i nutricionisti/nutricionistice
C000109_hr_000	Audiolozi/audiologinje i logopedi/logopedinje
