Q000001	Helyi önkormányzat kinevezett vezetője
Q000002	Társadalmi (érdek-képviseleti) és egyéb szervezet vezetője
Q000003	Egyházi vezető
Q000004	Mezőgazdasági, erdészeti, halászati és vadászati tevékenységet folytató egység vezetője
Q000005	Ipari tevékenységet folytató egység vezetője
Q000006	Építőipari tevékenységet folytató egység vezetője
Q000007	Szállítási, logisztikai és raktározási tevékenységet folytató egység vezetője
Q000008	Informatikai és telekommunikációs tevékenységet folytató egység vezetője
Q000009	Pénzintézeti tevékenységet folytató egység vezetője
Q000010	Szociális tevékenységet folytató egység vezetője
Q000011	Idősgondozási tevékenységet folytató egység vezetője
Q000012	Egészségügyi tevékenységet folytató egység vezetője
Q000013	Oktatási-nevelési tevékenységet folytató egység vezetője
Q000014	Szálláshely-szolgáltatási tevékenységet folytató egység vezetője
Q000015	Vendéglátó tevékenységet folytató egység vezetője
Q000016	Kereskedelmi tevékenységet folytató egység vezetője
Q000017	Sport- és rekreációs tevékenységet folytató egység vezetője
Q000018	Személyzeti vezető, humánpolitikai egység vezetője
Q000019	Kutatási és fejlesztési tevékenységet folytató egység vezetője
Q000020	Értékesítési és marketingtevékenységet folytató egység vezetője
Q000021	Reklám-, PR- és egyéb kommunikációs tevékenységet folytató egység vezetője
Q000022	Egyéb gazdasági tevékenységet segítő egység vezetője
Q000023	Bányamérnök
Q000024	Építészmérnök
Q000025	Építőmérnök
Q000026	Vegyészmérnök
Q000027	Gépészmérnök
Q000028	Villamosmérnök (energetikai mérnök)
Q000029	Villamosmérnök (elektronikai mérnök)
Q000030	Telekommunikációs mérnök
Q000031	Mezőgazdasági mérnök
Q000032	Erdő- és természetvédelmi mérnök
Q000033	Táj- és kertépítészmérnök
Q000034	Földmérő és térinformatikus
Q000035	Grafikus és multimédia-tervező
Q000036	Minőségbiztosítási mérnök
Q000037	Szoftverfejlesztő
Q000038	Hálózat- és multimédia-fejlesztő
Q000039	Alkalmazásprogramozó
Q000040	Egyéb szoftver- és alkalmazásfejlesztő, -elemző
Q000041	Adatbázis-tervező és -üzemeltető
Q000042	Rendszergazda
Q000043	Számítógép-hálózati elemző, üzemeltető
Q000044	Egyéb adatbázis- és hálózati elemző, üzemeltető
Q000045	Fizikus
Q000046	Csillagász
Q000047	Kémikus
Q000048	Geológus
Q000049	Matematikus
Q000050	Környezetfelmérő, -tanácsadó
Q000051	Általános orvos
Q000052	Szakorvos
Q000053	Gyógyszerész, szakgyógyszerész
Q000054	Környezet- és foglalkozás-egészségügyi foglalkozású
Q000055	Optometrista
Q000056	Dietetikus és táplálkozási tanácsadó
Q000057	Gyógytornász
Q000058	Védőnő
Q000059	Mentőtiszt
Q000060	Hallás- és beszédterapeuta
Q000061	Alternatív gyógymódot alkalmazó
Q000062	Egyéb humán-egészségügyi (társ)foglalkozású
Q000063	Ápoló (felsőfokú képzettséghez kapcsolódó)
Q000064	Szülész(nő) (felsőfokú képzettséghez kapcsolódó)
Q000065	Állatorvos
Q000066	Növényorvos (növényvédelmi szakértő)
Q000067	Egyetemi, főiskolai oktató, tanár
Q000068	Középiskolai tanár
Q000069	Középfokú nevelési-oktatási intézményi szakoktató, gyakorlati oktató
Q000070	Általános iskolai tanár, tanító
Q000071	Csecsemő- és kisgyermeknevelő, óvodapedagógus
Q000072	Gyógypedagógus
Q000073	Konduktor
Q000074	Pedagógiai szakértő, szaktanácsadó
Q000075	Nyelvtanár (iskolarendszeren kívül)
Q000076	Zenetanár (iskolarendszeren kívül)
Q000077	Egyéb művészetek tanára (iskolarendszeren kívül)
Q000078	Informatikatanár (iskolarendszeren kívül)
Q000079	Egyéb szakképzett oktató, nevelő
Q000080	Pénzügyi elemző és befektetési tanácsadó
Q000081	Adótanácsadó, adószakértő
Q000082	Könyvvizsgáló, könyvelő, könyvszakértő
Q000083	Szervezetirányítási elemző, szervező
Q000084	Üzletpolitikai elemző, szervező
Q000085	Személyzeti és pályaválasztási szakértő
Q000086	Képzési és személyzetfejlesztési szakértő
Q000087	PR-tevékenységet tervező, szervező
Q000088	Kereskedelmi tervező, szervező
Q000089	Informatikai és telekommunikációs technológiai termékek értékesítését tervező, szervező
Q000090	Jogász, jogtanácsos
Q000091	Ügyész
Q000092	Bíró
Q000093	Közjegyző
Q000094	Ügyvéd
Q000095	Egyéb jogi foglalkozású
Q000096	Történész, régész
Q000097	Néprajzkutató
Q000098	Elemző közgazdász
Q000099	Statisztikus
Q000100	Szociológus, demográfus
Q000101	Nyelvész, fordító, tolmács
Q000102	Pszichológus
Q000103	Könyvtáros, informatikus könyvtáros
Q000104	Levéltáros
Q000105	Muzeológus, múzeumi gyűjteménygondnok
Q000106	Könyv- és lapkiadó szerkesztője
Q000107	Újságíró, rádióműsor-, televízióműsor-szerkesztő
Q000108	Író (újságíró nélkül)
Q000109	Képzőművész
Q000110	Iparművész, gyártmány- és ruhatervező
Q000111	Zeneszerző, zenész, énekes
Q000112	Rendező, operatőr
Q000113	Színész, bábművész
Q000114	Táncművész, koreográfus
Q000115	Cirkuszi- és hasonló előadóművész
Q000116	Pap (lelkész), egyházi foglalkozású
Q000117	Egyéb magasan képzett ügyintéző
Q000118	Kohó- és anyagtechnikus
Q000119	Fa- és könnyűipari technikus
Q000120	Vegyésztechnikus
Q000121	Villamosipari technikus (energetikai technikus)
Q000122	Mezőgazdasági technikus
Q000123	Erdő- és természetvédelmi technikus
Q000124	Földmérő és térinformatikai technikus
Q000125	Műszaki rajzoló, szerkesztő
Q000126	Egyéb, máshova nem sorolható technikus
Q000127	Informatikai és kommunikációs rendszereket kezelő technikus
Q000128	Informatikai és kommunikációs rendszerek felhasználóit támogató technikus
Q000129	Számítógéphálózat- és rendszertechnikus
Q000130	Webrendszer- (hálózati) technikus
Q000131	Műsorszóró és audiovizuális technikus
Q000132	Telekommunikációs technikus
Q000133	Energetikai (erőművi) berendezés vezérlője
Q000134	Égető-, víz- és csatornaművi berendezés vezérlője
Q000135	Vegyipari alapanyag-feldolgozó berendezés vezérlője
Q000136	Kőolaj- és földgázfinomító berendezés vezérlője
Q000137	Fémgyártási berendezés vezérlője
Q000138	Egyéb folyamatirányító berendezés vezérlője
Q000139	Energetikus
Q000140	Tengeri és belvízi hajóparancsnok, fedélzeti tiszt
Q000141	Légijármű-vezető, hajózómérnök
Q000142	Légiforgalmi irányító
Q000143	Légiforgalmi irányítástechnikai berendezések üzemeltetője
Q000144	Egyéb műszaki foglalkozású
Q000145	Bányászati szakmai irányító, felügyelő
