C000001_it_000	Forze armate
C000002_it_000	Ufficiali delle forze armate
C000003_it_000	Ufficiali delle forze armate
C000004_it_000	Ufficiali delle forze armate
C000005_it_000	Sottufficiali delle forze armate
C000006_it_000	Sottufficiali delle forze armate
C000007_it_000	Sottufficiali delle forze armate
C000008_it_000	Professioni relative alle forze armate, altri gradi
C000009_it_000	Professioni relative alle forze armate, altri gradi
C000010_it_000	Professioni relative alle forze armate, altri gradi
C000011_it_000	Dirigenti
C000012_it_000	Direttori, dirigenti superiori della pubblica amministrazione, membri dell’esecutivo e dei corpi legislativi
C000013_it_000	Membri dell’esecutivo e dei corpi legislativi, dirigenti superiori della pubblica amministrazione
C000014_it_000	Membri dell’esecutivo e dei corpi legislativi
C000015_it_000	Dirigenti superiori della pubblica amministrazione
C000016_it_000	Capi tradizionali e capi villaggio
C000017_it_000	Dirigenti superiori di organizzazioni specializzate
C000018_it_000	Direttori
C000019_it_000	Direttori
C000020_it_000	Dirigenti amministrativi e commerciali
C000021_it_000	Dirigenti nei servizi alle imprese e dell’amministrazione
C000022_it_000	Dirigenti nei servizi finanziari
C000023_it_000	Dirigenti delle risorse umane
C000024_it_000	Dirigenti strategie e pianificazione
C000025_it_000	Dirigenti nei servizi alle imprese e dell’amministrazione non classificati altrove
C000026_it_000	Dirigenti nei servizi di vendita, commercializzazione e sviluppo
C000027_it_000	Dirigenti nei servizi di vendita e commercializzazione
C000028_it_000	Dirigenti nei servizi di pubblicità e pubbliche relazioni
C000029_it_000	Dirigenti nel settore ricerca e sviluppo
C000030_it_000	Dirigenti nei servizi di produzione e specializzati
C000031_it_000	Dirigenti nella produzione agricola, forestale e della pesca
C000032_it_000	Dirigenti nella produzione agricola e forestale
C000033_it_000	Dirigenti nella produzione della pesca e dell’acquacoltura
C000034_it_000	Dirigenti dell’industria manifatturiera, dell’estrazione, dell’edilizia e della distribuzione
C000035_it_000	Dirigenti dell’industria manifatturiera
C000036_it_000	Dirigenti dell’industria dell’estrazione
C000037_it_000	Dirigenti dell’edilizia
C000038_it_000	Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati
C000039_it_000	Dirigenti nei servizi delle tecnologie dell’informazione e della comunicazione
C000040_it_000	Dirigenti nei servizi delle tecnologie dell’informazione e della comunicazione
C000041_it_000	Dirigenti nei servizi professionali
C000042_it_000	Dirigenti nei servizi di sorveglianza dei bambini
C000043_it_000	Dirigenti nei servizi sanitari
C000044_it_000	Dirigenti nei servizi di assistenza agli anziani
C000045_it_000	Dirigenti nei servizi sociali
C000046_it_000	Dirigenti nel settore dell’educazione
C000047_it_000	Dirigenti di filiale nei servizi finanziari e assicurativi
C000048_it_000	Dirigenti in servizi professionali non classificati altrove
C000049_it_000	Dirigenti nei servizi alberghieri, nel commercio ed assimilati
C000050_it_000	Dirigenti nei servizi alberghieri e nella ristorazione
C000051_it_000	Dirigenti nei servizi alberghieri
C000052_it_000	Dirigenti nella ristorazione
C000053_it_000	Dirigenti nel commercio all’ingrosso e al dettaglio
C000054_it_000	Dirigenti nel commercio all’ingrosso e al dettaglio
C000055_it_000	Dirigenti in altri servizi
C000056_it_000	Dirigenti di centri per le attività sportive, ricreative e culturali
C000057_it_000	Dirigenti di servizi non classificati altrove
C000058_it_000	Professioni intellettuali e scientifiche
C000059_it_000	Specialisti in scienze e ingegneria
C000060_it_000	Specialisti in scienze fisiche e della terra
C000061_it_000	Fisici e astronomi
C000062_it_000	Meteorologi
C000063_it_000	Chimici
C000064_it_000	Geologi e geofisici
C000065_it_000	Matematici, attuari e statistici
C000066_it_000	Matematici, attuari e statistici
C000067_it_000	Specialisti nelle scienze della vita
C000068_it_000	Biologi, botanici, zoologi ed assimilati
C000069_it_000	Agronomi, forestali e ittiologi
C000070_it_000	Specialisti in protezione ambientale
C000071_it_000	Specialisti in ingegneria (ad eccezione degli elettrotecnici)
C000072_it_000	Ingegneri industriali e gestionali
C000073_it_000	Ingegneri civili
C000074_it_000	Ingegneri ambientali
C000075_it_000	Ingegneri meccanici
C000076_it_000	Ingegneri chimici
C000077_it_000	Ingegneri minerari, metallurgici ed assimilati
C000078_it_000	Specialisti in ingegneria non classificati altrove
C000079_it_000	Ingegneri elettrotecnici
C000080_it_000	Ingegneri elettrici
C000081_it_000	Ingegneri elettronici
C000082_it_000	Ingegneri in telecomunicazioni
C000083_it_000	Architetti, pianificatori territoriali, agrimensori, disegnatori e progettisti
C000084_it_000	Architetti
C000085_it_000	Paesaggisti
C000086_it_000	Progettisti di prodotti e disegnatori di moda
C000087_it_000	Urbanisti e pianificatori del traffico
C000088_it_000	Cartografi e agrimensori
C000089_it_000	Grafici e progettisti multimediali
C000090_it_000	Specialisti della salute
C000091_it_000	Medici
C000092_it_000	Medici generici
C000093_it_000	Medici specialisti
C000094_it_000	Infermieri e ostetrici professionisti
C000095_it_000	Specialisti in scienze sanitarie infermieristiche
C000096_it_000	Specialisti in scienze sanitarie ostetriche
C000097_it_000	Specialisti della medicina tradizionale e complementare
