Q000001	Generolas leitenantas {karinės sausumos pajėgos}
Q000002	Generolas majoras {karinės sausumos pajėgos}
Q000003	Brigados generolas {karinės sausumos pajėgos}
Q000004	Pulkininkas {karinės sausumos pajėgos}
Q000005	Pulkininkas leitenantas {karinės sausumos pajėgos}
Q000006	Majoras {karinės sausumos pajėgos}
Q000007	Kapitonas {karinės sausumos pajėgos}
Q000008	Vyresnysis leitenantas {karinės sausumos pajėgos}
Q000009	Leitenantas {karinės sausumos pajėgos}
Q000010	Generolas leitenantas {karinės oro pajėgos}
Q000011	Generolas majoras {karinės oro pajėgos}
Q000012	Brigados generolas {karinės oro pajėgos}
Q000013	Pulkininkas {karinės oro pajėgos}
Q000014	Pulkininkas leitenantas {karinės oro pajėgos}
Q000015	Majoras {karinės oro pajėgos}
Q000016	Kapitonas {karinės oro pajėgos}
Q000017	Vyresnysis leitenantas {karinės oro pajėgos}
Q000018	Leitenantas {karinės oro pajėgos}
Q000019	Viceadmirolas {karinės jūrų pajėgos}
Q000020	Kontradmirolas {karinės jūrų pajėgos}
Q000021	Flotilės admirolas {karinės jūrų pajėgos}
Q000022	Jūrų kapitonas {karinės jūrų pajėgos}
Q000023	Komandoras {karinės jūrų pajėgos}
Q000024	Komandoras leitenantas {karinės jūrų pajėgos}
Q000025	Kapitonas leitenantas {karinės jūrų pajėgos}
Q000026	Vyresnysis leitenantas {karinės jūrų pajėgos}
Q000027	Leitenantas {karinės jūrų pajėgos}
Q000028	Vyresnysis puskarininkis {karinės sausumos pajėgos}
Q000029	Puskarininkis {karinės sausumos pajėgos}
Q000030	Jaunesnysis puskarininkis {karinės sausumos pajėgos}
Q000031	Viršila {karinės sausumos pajėgos}
Q000032	Vyresnysis seržantas {karinės sausumos pajėgos}
Q000033	Seržantas {karinės sausumos pajėgos}
Q000034	Jaunesnysis seržantas {karinės sausumos pajėgos}
Q000035	Vyresnysis puskarininkis {karinės oro pajėgos}
Q000036	Puskarininkis {karinės oro pajėgos}
Q000037	Jaunesnysis puskarininkis {karinės oro pajėgos}
Q000038	Viršila {karinės oro pajėgos}
Q000039	Vyresnysis seržantas {karinės oro pajėgos}
Q000040	Seržantas {karinės oro pajėgos}
Q000041	Jaunesnysis seržantas {karinės oro pajėgos}
Q000042	Vyresnysis puskarininkis {karinės jūrų pajėgos}
Q000043	Puskarininkis {karinės jūrų pajėgos}
Q000044	Jaunesnysis puskarininkis {karinės jūrų pajėgos}
Q000045	Laivūnas {karinės jūrų pajėgos}
Q000046	Vyresnysis seržantas {karinės jūrų pajėgos}
Q000047	Seržantas {karinės jūrų pajėgos}
Q000048	Jaunesnysis seržantas {karinės jūrų pajėgos}
Q000049	Grandinis {karinės sausumos pajėgos}
Q000050	Eilinis {karinės sausumos pajėgos}
Q000051	Grandinis {karinės oro pajėgos}
Q000052	Eilinis {karinės oro pajėgos}
Q000053	Grandinis {karinės jūrų pajėgos}
Q000054	Jūreivis {karinės jūrų pajėgos}
Q000055	Respublikos Prezidentas
Q000056	Seimo narys
Q000057	Ministras Pirmininkas
Q000058	Ministras
Q000059	Savivaldybės tarybos narys
Q000060	Meras
Q000061	Seimo kancleris
Q000062	Respublikos Prezidento kanceliarijos kancleris
Q000063	Teismo (išskyrus apygardos teismą) kancleris
Q000064	Generalinės prokuratūros kancleris
Q000065	Seimo Pirmininko sekretoriato vadovas
Q000066	Seimo Pirmininko patarėjas
Q000067	Institucijos ar įstaigos padalinio vadovas (Seimui ir (ar) Respublikos Prezidentui atskaitingos institucijos"," vyriausybei atskaitingos įstaigos"," ministerijos struktūrinio padalinio vadovas)
Q000068	Respublikos Prezidento patarėjas
Q000069	Respublikos Prezidento atstovas ypatingiems pavedimams
Q000070	Gynybos patarėjas
Q000071	Ministro Pirmininko sekretoriato vadovas
Q000072	Ministro Pirmininko patarėjas
Q000073	Viceministras
Q000074	Ministro patarėjas
Q000075	Ministro Pirmininko kancleris
Q000076	Vyriausiasis prokuroras (išskyrus apygardos ir apylinkės vyriausiąjį prokurorą)
Q000077	Mero patarėjas
Q000078	Ambasadorius
Q000079	Vyriausybės įgaliotinis
Q000080	Administracijos direktorius
Q000081	Ministerijos kancleris
Q000082	Vyriausybės atstovas Europos žmogaus teisių teisme
Q000083	Komisijos ar tarybos sekretoriato vadovas
Q000084	Teismo  (išskyrus apygardos ir apylinkės teismą) pirmininko patarėjas
Q000085	Teismo (išskyrus apygardos ir apylinkės teismą) pirmininkas
Q000086	Generalinis prokuroras
Q000087	Generalinės prokuratūros padalinio vadovas
Q000088	Teismo  (išskyrus apygardos ir apylinkės teismą) padalinio vadovas
Q000089	Seniūnijos seniūnas
Q000090	Viešojo administravimo įstaigos vadovas (įstaigos prie ministerijos ar pan. vadovas)
Q000091	Įstaigos vadovas {neišvardytų sričių įstaigos}
Q000092	Žemės ūkio bendrovės vadovas
Q000093	Miškų urėdas
Q000094	Žuvininkystės įmonės vadovas
Q000095	Miškų ūkio įmonės vadovas
Q000096	Medžioklės ūkio [įmonės] vadovas
Q000097	Gamybos įmonės vadovas
Q000098	Elektrinės vadovas
Q000099	Energetikos įmonės vadovas
Q000100	Dujų tiekimo įmonės vadovas
Q000101	Vandens tiekimo įmonės vadovas
Q000102	Spaustuvės vadovas
Q000103	Leidybos įmonės vadovas
Q000104	Statybos įmonės vadovas
Q000105	Prekybos įmonės vadovas
Q000106	Mažmeninės prekybos įmonės vadovas
Q000107	Didmeninės prekybos įmonės vadovas
Q000108	Vaistinės vadovas
Q000109	Turgaus vadovas
Q000110	Viešbučio vadovas
Q000111	Restorano vadovas
Q000112	Maitinimo įmonės vadovas
Q000113	Transporto įmonės vadovas
Q000114	Ryšių įmonės vadovas
Q000115	Oro [jūrų"," upių] uosto vadovas
Q000116	Civilinės aviacijos bendrovės [įmonės] vadovas
