C000001_lt_000	Ginkluotųjų pajėgų profesijos
C000002_lt_000	Ginkluotųjų pajėgų karininkai
C000003_lt_000	Ginkluotųjų pajėgų karininkai
C000004_lt_000	Ginkluotųjų pajėgų karininkai
C000005_lt_000	Ginkluotųjų pajėgų puskarininkiai
C000006_lt_000	Ginkluotųjų pajėgų puskarininkiai
C000007_lt_000	Ginkluotųjų pajėgų puskarininkiai
C000008_lt_000	Ginkluotųjų pajėgų profesijos, kiti laipsniai
C000009_lt_000	Ginkluotųjų pajėgų profesijos, kiti laipsniai
C000010_lt_000	Ginkluotųjų pajėgų profesijos, kiti laipsniai
C000011_lt_000	Vadovai
C000012_lt_000	Generaliniai direktoriai, vyresnieji pareigūnai ir teisės aktų leidėjai
C000013_lt_000	Teisės aktų leidėjai ir vyresnieji pareigūnai
C000014_lt_000	Teisės aktų leidėjai
C000015_lt_000	Vyresnieji valstybės pareigūnai
C000016_lt_000	Seniūnai
C000017_lt_000	Specialios paskirties organizacijų vadovai
C000018_lt_000	Generaliniai ir vykdomieji direktoriai
C000019_lt_000	Generaliniai ir vykdomieji direktoriai
C000020_lt_000	Administravimo ir komercijos vadovai
C000021_lt_000	Verslo paslaugų srities ir administracijos vadovai
C000022_lt_000	Finansų srities vadovai
C000023_lt_000	Žmogiškųjų išteklių srities vadovai
C000024_lt_000	Politikos ir planavimo vadovai
C000025_lt_000	Kitur nepriskirti verslo paslaugų srities ir administracijos vadovai
C000026_lt_000	Pardavimo, rinkodaros ir plėtros vadovai
C000027_lt_000	Pardavimo ir rinkodaros vadovai
C000028_lt_000	Reklamos ir ryšių su visuomene srities vadovai
C000029_lt_000	Mokslinių tyrimų ir plėtros vadovai
C000030_lt_000	Gamybos ir specializuotų paslaugų srities vadovai
C000031_lt_000	Žemės ūkio, miškininkystės ir žuvininkystės gamybos vadovai
C000032_lt_000	Žemės ūkio ir miškininkystės gamybos vadovai
C000033_lt_000	Akvakultūros ir žuvininkystės gamybos vadovai
C000034_lt_000	Gamybos, gavybos, statybos ir platinimo vadovai
C000035_lt_000	Gamybos vadovai
C000036_lt_000	Gavybos vadovai
C000037_lt_000	Statybos vadovai
C000038_lt_000	Tiekimo, platinimo ir susijusių paslaugų vadovai
C000039_lt_000	Informacinių ir ryšių technologijų paslaugų srities vadovai
C000040_lt_000	Informacinių ir ryšių technologijų paslaugų srities vadovai
C000041_lt_000	Profesinių paslaugų srities vadovai
C000042_lt_000	Vaikų priežiūros paslaugų srities vadovai
C000043_lt_000	Sveikatos priežiūros paslaugų srities vadovai
C000044_lt_000	Pagyvenusių žmonių slaugos ir socialinių paslaugų srities vadovai
C000045_lt_000	Socialinės paramos vadovai
C000046_lt_000	Švietimo vadovai
C000047_lt_000	Finansinių ir draudimo paslaugų skyrių vadovai
C000048_lt_000	Kitur nepriskirti profesinių paslaugų srities vadovai
C000049_lt_000	Viešbučių ir restoranų, mažmeninės prekybos ir kitų paslaugų srities vadovai
