C000001_lv_000	Armijas profesijas
C000002_lv_000	Virsnieka pakāpes armijas profesijas
C000003_lv_000	Virsnieka pakāpes armijas profesijas
C000004_lv_000	Virsnieka pakāpes armijas profesijas
C000005_lv_000	Apakšvirsnieka pakāpes armijas profesijas
C000006_lv_000	Apakšvirsnieka pakāpes armijas profesijas
C000007_lv_000	Apakšvirsnieka pakāpes armijas profesijas
C000008_lv_000	Armijas profesijas, citas pakāpes
C000009_lv_000	Armijas profesijas, citas pakāpes
C000010_lv_000	Armijas profesijas, citas pakāpes
C000011_lv_000	Vadītāji
C000012_lv_000	Vadītāji, valsts augstākās amatpersonas un likumdevēji
C000013_lv_000	Likumdevēji, valsts augstākās amatpersonas un vadītāji, ierēdņi vadītāja amatā
C000014_lv_000	Likumdevēji
C000015_lv_000	Valsts augstākās amatpersonas un ierēdņi vadītāja amatā
C000016_lv_000	Vietējo pašvaldību vadītāji
C000017_lv_000	Politisko un sabiedrisko organizāciju amatpersonas
C000018_lv_000	Rīkotājdirektori un uzņēmumu vadītāji
C000019_lv_000	Rīkotājdirektori un uzņēmumu vadītāji
C000020_lv_000	Administratīvie vadītāji un komercdirektori
C000021_lv_000	Vadītāji komercpakalpojumu un administrācijas jomā
C000022_lv_000	Finanšu vadītāji
C000023_lv_000	Personāla vadītāji
C000024_lv_000	Politikas un plānošanas vadītāji
C000025_lv_000	Citur neklasificēti komercpakalpojumu un administrācijas jomas vadītāji
C000026_lv_000	Tirdzniecības, tirgzinības un attīstības jomas vadītāji
C000027_lv_000	Tirdzniecības un tirgzinības jomas vadītāji
C000028_lv_000	Reklāmas un sabiedrisko attiecību jomas vadītāji
C000029_lv_000	Pētniecības un attīstības jomas vadītāji
C000030_lv_000	Ražošanas un specializēto pakalpojumu jomas vadītāji
C000031_lv_000	Ražošanas struktūrvienību vadītāji lauksaimniecības, mežsaimniecības un zivsaimniecības nozarē
C000032_lv_000	Lauksaimniecības, mežsaimniecības un zivsaimniecības ražošanas vadītāji
C000033_lv_000	Akvakultūras un zivsaimniecības ražošanas vadītāji
C000034_lv_000	Apstrādes un ieguves rūpniecības, būvniecības un loģistikas jomas vadītāji
C000035_lv_000	Vadītāji apstrādes rūpniecībā
C000036_lv_000	Vadītāji ieguves rūpniecībā
C000037_lv_000	Vadītāji būvniecībā
C000038_lv_000	Transporta, sakaru, noliktavu, sagādes, loģistikas un tām radniecīgu jomu vadītāji
C000039_lv_000	Vadītāji informācijas un komunikāciju tehnoloģiju pakalpojumu jomā
C000040_lv_000	Vadītāji informācijas un komunikāciju tehnoloģiju pakalpojumu jomā
C000041_lv_000	Vadītāji specializēto pakalpojumu jomā
C000042_lv_000	Vadītāji bērnu aprūpes pakalpojumu jomā
C000043_lv_000	Vadītāji veselības pakalpojumu jomā
C000044_lv_000	Vadītāji veco ļaužu aprūpes pakalpojumu jomā
C000045_lv_000	Vadītāji sociālās labklājības jomā
C000046_lv_000	Vadītāji izglītības jomā
C000047_lv_000	Vadītāji finanšu un apdrošināšanas pakalpojumu jomā
C000048_lv_000	Citur neklasificēti vadītāji specializēto pakalpojumu jomā
C000049_lv_000	Vadītāji viesmīlības, ēdināšanas, tirdzniecības un citu pakalpojumu jomā
C000050_lv_000	Vadītāji viesmīlības un ēdināšanas pakalpojumu jomā
C000051_lv_000	Vadītāji viesmīlības pakalpojumu jomā
C000052_lv_000	Vadītāji ēdināšanas pakalpojumu jomā
C000053_lv_000	Vadītāji mazumtirdzniecības un vairumtirdzniecības jomā
C000054_lv_000	Vadītāji mazumtirdzniecības un vairumtirdzniecības jomā
C000055_lv_000	Vadītāji citu pakalpojumu jomā
C000056_lv_000	Sporta, atpūtas un kultūras centru vadītāji
C000057_lv_000	Citur neklasificēti vadītāji pakalpojumu jomā
C000058_lv_000	Vecākie speciālisti
C000059_lv_000	Zinātnes un inženierzinātņu jomas vecākie speciālisti
C000060_lv_000	Fizikas un zemes zinātņu vecākie speciālisti
C000061_lv_000	Fiziķi un astronomi
C000062_lv_000	Meteorologi
C000063_lv_000	Ķīmiķi
C000064_lv_000	Ģeologi un ģeofiziķi
C000065_lv_000	Matemātiķi, aktuāri un statistiķi
C000066_lv_000	Matemātiķi, aktuāri un statistiķi
C000067_lv_000	Dzīvas dabas zinātņu vecākie speciālisti
C000068_lv_000	Biologi, botāniķi, zoologi un tiem radniecīgu profesiju vecākie speciālisti
C000069_lv_000	Lauksaimniecības, mežsaimniecības un zivsaimniecības vecākie speciālisti
C000070_lv_000	Vides aizsardzības vecākie speciālisti
C000071_lv_000	Inženieri (izņemot elektrotehnoloģiju inženierus)
C000072_lv_000	Rūpniecības un ražošanas inženieri
C000073_lv_000	Būvinženieri
C000074_lv_000	Vides jomas inženieri
C000075_lv_000	Mehānikas inženieri
C000076_lv_000	Ķīmijas inženieri
C000077_lv_000	Ieguves rūpniecības inženieri, metalurgi un tiem radniecīgu profesiju vecākie speciālisti
C000078_lv_000	Citur neklasificēti inženieri
C000079_lv_000	Elektrotehnoloģiju inženieri
C000080_lv_000	Elektroinženieri
C000081_lv_000	Elektronikas inženieri
C000082_lv_000	Telekomunikāciju inženieri
C000083_lv_000	Arhitekti, plānotāji, ģeodēzijas un kartogrāfijas inženieri un dizaineri
C000084_lv_000	Būvniecības arhitekti
C000085_lv_000	Ainavu arhitekti
C000086_lv_000	Izstrādājumu un apģērbu dizaineri
C000087_lv_000	Pilsētplānotāji un satiksmes plānotāji
C000088_lv_000	Ģeodēzijas un kartogrāfijas inženieri
C000089_lv_000	Grafikas un multimediju dizaineri
C000090_lv_000	Veselības aprūpes vecākie speciālisti
C000091_lv_000	Ārsti
C000092_lv_000	Vispārējās prakses ārsti
