Q000001	Brigādes ĢENERĀLIS/ Flotiles ADMIRĀLIS (Jūras spēkos)
Q000002	PULKVEŽLEITNANTS/ KOMANDKAPTEINIS (Jūras spēkos)
Q000003	VIRSLEITNANTS
Q000004	LEITNANTS
Q000005	Augstākais VIRSSERŽANTS/ Augstākais BOCMANIS (Jūras spēkos)
Q000006	Galvenais VIRSSERŽANTS/ Galvenais BOCMANIS (Jūras spēkos)
Q000007	Štāba VIRSSERŽANTS/ Štāba BOCMANIS (Jūras spēkos)
Q000008	VIRSSERŽANTS/ BOCMANIS (Jūras spēkos)
Q000009	SERŽANTS
Q000010	DIŽKAREIVIS/ DIŽMATROZIS (Jūras spēkos)
Q000011	Vecākais ZEMESSARGS
Q000012	KAREIVIS/ MATROZIS (Jūras spēkos)
Q000013	ZEMESSARGS
Q000014	Valsts PREZIDENTS
Q000015	Saeimas PRIEKŠSĒDĒTĀJS
Q000016	Saeimas PRIEKŠSĒDĒTĀJA BIEDRS
Q000017	Saeimas SEKRETĀRS
Q000018	Saeimas SEKRETĀRA BIEDRS
Q000019	Saeimas komisijas PRIEKŠSĒDĒTĀJS
Q000020	Saeimas komisijas PRIEKŠSĒDĒTĀJA BIEDRS
Q000021	Saeimas komisijas SEKRETĀRS
Q000022	Saeimas frakcijas PRIEKŠSĒDĒTĀJS
Q000023	Saeimas DEPUTĀTS
Q000024	Parlamentārais SEKRETĀRS
Q000025	Ministru PREZIDENTS
Q000026	Ministru PREZIDENTA BIEDRS
Q000027	MINISTRS
Q000028	Īpašu uzdevumu MINISTRS
Q000029	Pašvaldības domes PRIEKŠSĒDĒTĀJS
Q000030	Pašvaldības domes PRIEKŠSĒDĒTĀJA VIETNIEKS
Q000031	Saeimas Prezidija locekļa biroja VADĪTĀJS
Q000032	Saeimas Prezidija locekļa PADOMNIEKS
Q000033	Pašvaldības domes DEPUTĀTS
Q000034	Starpvalstu institūcijas VADĪTĀJS
Q000035	Starpvalstu institūcijas struktūrvienības VADĪTĀJS
Q000036	ĢENERĀLPROKURORS
Q000037	Valsts KONTROLIERIS
Q000038	Valsts PREZIDENTA PADOMNIEKS
Q000039	Valsts PREZIDENTA PALĪGS
Q000040	Ministru PREZIDENTA biroja VADĪTĀJS
Q000041	Ministru PREZIDENTA BIEDRA sekretariāta VADĪTĀJS
Q000042	Ministru PREZIDENTA PADOMNIEKS
Q000043	Ministru PREZIDENTA PALĪGS
Q000044	Ministru PREZIDENTA BIEDRA PADOMNIEKS
Q000045	Ministru PREZIDENTA BIEDRA PALĪGS
Q000046	MINISTRA PADOMNIEKS
Q000047	Īpašu uzdevumu MINISTRA sekretariāta VADĪTĀJS
Q000048	Īpašu uzdevumu MINISTRA sekretariāta VADĪTĀJA VIETNIEKS
Q000049	Latvijas PĀRSTĀVIS starptautiskajās cilvēktiesību institūcijās
Q000050	Ministra biroja VADĪTĀJS
Q000051	Aizsardzības PADOMNIEKS starptautiskajās organizācijās
Q000052	PĀRSTĀVIS starptautiskajā organizācijā
Q000053	Aizsardzības PADOMNIEKS
Q000054	Valsts SEKRETĀRS
Q000055	Valsts SEKRETĀRA VIETNIEKS
Q000056	Valsts protokola VADĪTĀJS
Q000057	Valsts protokola VADĪTĀJA VIETNIEKS
Q000058	Galvenais valsts NOTĀRS
Q000059	Galvenā valsts NOTĀRA VIETNIEKS
Q000060	Pārvaldes VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS
Q000061	Valsts robežas PILNVAROTAIS
Q000062	Pašvaldības iestādes VADĪTĀJS/ PRIEKŠNIEKS
Q000063	Pašvaldības iestādes VADĪTĀJA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS
Q000064	Pašvaldības IZPILDDIREKTORS
Q000065	Pašvaldības IZPILDDIREKTORA VIETNIEKS
Q000066	Komisijas PRIEKŠSĒDĒTĀJS (valsts pārvaldes jomā un pašvaldībās)
Q000067	Komisijas PRIEKŠSĒDĒTĀJA VIETNIEKS (valsts pārvaldes jomā un pašvaldībās)
Q000068	Komisijas LOCEKLIS (valsts pārvaldes jomā un pašvaldībās)
Q000069	Komisijas SEKRETĀRS (valsts pārvaldes jomā un pašvaldībās)
