Q000001	Personalsjefer
Q000002	Ledere i skogbruk, gartnerier mv.
Q000003	Ledere av eldreomsorg
Q000004	Restaurantsjefer
Q000005	Befal med sersjant grad
Q000006	Allmennpraktiserende leger
Q000007	Legespesialister
Q000008	Spesialsykepleiere
Q000009	Jordmødre
Q000010	Sykepleiere
Q000011	Ernæringsfysiologer
Q000012	Førskolelærere
Q000013	Andre språklærere
Q000014	Andre musikklærere
Q000015	Skuespillere
Q000016	Kontrolloperatører innen metallproduksjon
Q000017	Skogteknikere
Q000018	Teknikere innen luftfartssikkerhet
Q000019	Optikere
Q000020	Ambulansepersonell
Q000021	Arbeidsformidlere
Q000022	Idrettsutøvere
Q000023	Driftsteknikere, IKT
Q000024	Internett-teknikere
Q000025	Teknikere innen telekom
Q000026	Stenografer mv.
Q000027	Dataregistrere
Q000028	Pantelånere mv.
Q000029	Inkassomedarbeidere mv.
Q000030	Sentralbordoperatører
Q000031	Andre opplysningsmedarbeidere
Q000032	Lønningsmedarbeidere
Q000033	Logistikkmedarbeidere
Q000034	Bibliotekassistenter
Q000035	Postbud og postsorterere
Q000036	Kodere mv.
Q000037	Arkivassistenter
Q000038	Personalkontormedarbeidere
Q000039	Konduktører
Q000040	Kokker
Q000041	Servitører
Q000042	Bartendere
Q000043	Frisører
Q000044	Renholdsledere i virksomheter
Q000045	Kjøreskolelærere
Q000046	Gateselgere, mat
Q000047	Innehavere av kiosk/liten butikk
Q000048	Butikkavdelingssjefer
Q000049	Butikkmedarbeidere
Q000050	Demonstrasjonsselgere
Q000051	Dørselgere
Q000052	Telefon- og nettselgere
Q000053	Servicemedarbeidere (bensinstasjon)
Q000054	Helsefagarbeidere
Q000055	Hjemmehjelper
Q000056	Fengselsbetjenter
Q000057	Kombinasjonsbrukere, nyttevekster
Q000058	Birøktere mv.
Q000059	Andre dyreoppdrettere og røktere
Q000060	Skogbrukere
Q000061	Fangstfolk
Q000062	Murere
Q000063	Steinhoggere mv.
Q000064	Betongarbeidere
Q000065	Taktekkere
Q000066	Isolatører mv.
Q000067	Kuldemontører mv.
Q000068	Metallslipere
Q000069	Keramikere mv.
Q000070	Glasshåndverkere
Q000071	Ystere mv. (gårdsproduksjon)
Q000072	Skytebaser og sprengningsarbeidere
Q000073	Andre stasjonære maskinoperatører
Q000074	Lokomotiv og T-baneførere
Q000075	Truckførere
Q000076	Renholdere i private hjem
Q000077	Bilvaskere
Q000078	Vinduspussere
Q000079	Hjelpearbeidere i skogbruk
Q000080	Hjelpearbeidere i bergverk
Q000081	Hjelpearbeidere i bygg
Q000082	Håndpakkere mv.
Q000083	Varepåfyllere
Q000084	Renovasjonsarbeidere
Q000085	Gatefeiere mv.
Q000086	Altmuligmann
Q000087	Miljøvernrådgivere
Q000088	Legespesialister
Q000089	Spesialsykepleiere
Q000090	Kjemiingeniører
Q000091	Kontrolloperatører ved forbrennings- kjøle- og vannrenseanlegg mv.
Q000092	Teknikere innen radio og tv
Q000093	Dataregistrere
Q000094	Konduktører
Q000095	Melke- og husdyrprodusenter
Q000096	Andre kunsthåndverkere
