Q000001	Żołnierz szeregowy
Q000002	Parlamentarzysta
Q000003	Pozostali przedstawiciele władz publicznych
Q000004	Wyższy urzędnik państwowy
Q000005	Wyższy urzędnik placówki dyplomatycznej
Q000006	Wyższy urzędnik samorządowy
Q000007	Zawodowy działacz organizacji komercyjnej / pracodawców
Q000008	Zawodowy działacz organizacji politycznej
Q000009	Zawodowy działacz organizacji pozarządowej
Q000010	Zawodowy działacz organizacji zawodowej
Q000011	Zawodowy działacz organizacji związkowej
Q000012	Pozostali zawodowi działacze organizacji członkowskich
Q000013	Dyrektor do spraw administracyjnych
Q000014	Dyrektor finansowy
Q000015	Dyrektor generalny
Q000016	Dyrektor handlowy
Q000017	Dyrektor marketingu
Q000018	Dyrektor operacyjny
Q000019	Dyrektor produkcji
Q000020	Dyrektor rozwoju biznesu
Q000021	Dyrektor wykonawczy
Q000022	Prezes
Q000023	Rektor
Q000024	Syndyk
Q000025	Główny księgowy
Q000026	Kierownik działu finansowego
Q000027	Pozostali kierownicy do spraw finansowych
Q000028	Kierownik działu kadr i płac
Q000029	Kierownik działu szkoleń
Q000030	Kierownik działu zarządzania zasobami ludzkimi
Q000031	Naczelnik / kierownik wydziału
Q000032	Pozostali kierownicy do spraw strategii i planowania
Q000033	Kierownik działu administracyjno-gospodarczego
Q000034	Kierownik przedsiębiorstwa świadczącego usługi z zakresu obsługi biznesu
Q000035	Kierownik projektu
Q000036	Pozostali kierownicy do spraw obsługi biznesu i zarządzania gdzie indziej niesklasyfikowani
Q000037	Kierownik do spraw marketingu
Q000038	Kierownik do spraw sprzedaży
Q000039	Kierownik do spraw marketingu internetowego
Q000040	Kierownik do spraw marketingu sieciowego (wielopoziomowego)
Q000041	Regionalny kierownik sprzedaży
Q000042	Kierownik działu reklamy / promocji / public relations
Q000043	Pozostali kierownicy do spraw reklamy i public relations
Q000044	Kierownik do spraw rozwoju produktu
Q000045	Kierownik działu badawczo-rozwojowego
Q000046	Pozostali kierownicy do spraw badań i rozwoju
Q000047	Kierownik w gospodarce leśnej
Q000048	Kierownik produkcji w  przedsiębiorstwie ogrodniczym
Q000049	Kierownik produkcji w  przedsiębiorstwie hodowlanym
Q000050	Pozostali kierownicy produkcji w rolnictwie i leśnictwie
Q000051	Kierownik produkcji w zakładzie akwakultury
Q000052	Kierownik przedsiębiorstwa w rybołówstwie
Q000053	Pozostali kierownicy produkcji w zakładach akwakultury i rybołówstwie
Q000054	Kierownik małego przedsiębiorstwa w przemyśle przetwórczym
Q000055	Kierownik utrzymania ruchu
Q000056	Pozostali kierownicy do spraw produkcji przemysłowej
Q000057	Kierownik działu ruchu zakładu górniczego lub zakładu
Q000058	Kierownik małego przedsiębiorstwa w przemyśle wydobywczym
Q000059	Kierownik ruchu zakładu górniczego lub zakładu
Q000060	Pozostali kierownicy w górnictwie
Q000061	Kierownik budowy
Q000062	Kierownik działu logistyki
Q000063	Kierownik działu transportu
Q000064	Kierownik działu zakupów
Q000065	Kierownik magazynu
Q000066	Kierownik przedsiębiorstwa spedycyjnego
Q000067	Kierownik przedsiębiorstwa transportowego
Q000068	Zawiadowca stacji
Q000069	Kierownik punktu skupu
Q000070	Kierownik działu w przedsiębiorstwie telekomunikacyjnym
Q000071	Kierownik przedsiębiorstwa telekomunikacyjnego
Q000072	Kierownik rozwoju technologii informatycznych
Q000073	Kierownik sieci informatycznych
Q000074	Kierownik przedszkola
Q000075	Kierownik placówki wsparcia dziennego
Q000076	Pozostali kierownicy / dyrektorzy w instytucjach opieki nad dziećmi
Q000077	Kierownik hospicjum
Q000078	Kierownik podmiotu leczniczego
Q000079	Położna oddziałowa
Q000080	Lekarz ordynator oddziału
Q000081	Pozostali kierownicy w instytucjach opieki zdrowotnej
Q000082	Kierownik domu spokojnej starości
Q000083	Kierownik domu pomocy społecznej
Q000084	Kierownik działu w instytucjach pomocy społecznej
Q000085	Kierownik ośrodka pomocy rodzinie
Q000086	Dyrektor szkoły
Q000087	Dziekan
Q000088	Kierownik warsztatów szkolnych
Q000089	Kierownik agencji doradztwa finansowego
Q000090	Kierownik agencji ubezpieczeniowej
Q000091	Kierownik działu operacji finansowych
Q000092	Kierownik placówki bankowej
Q000093	Pozostali kierownicy instytucji finansowych i ubezpieczeniowych
Q000094	Dyrektor aresztu śledczego / zakładu karnego
Q000095	Dyrektor zakładu dla nieletnich
Q000096	Kierownik firmy audytorskiej
Q000097	Kierownik kancelarii prawnej
Q000098	Kierownik archiwum
Q000099	Kierownik biblioteki
Q000100	Kierownik galerii sztuki
Q000101	Kierownik muzeum
Q000102	Komendant policji (powiatowej,miejskiej, rejonowej, komisariatu)
Q000103	Kierownik działu w hotelu
Q000104	Kierownik hostelu / motelu
Q000105	Kierownik hotelu
Q000106	Kierownik pensjonatu
