C000001_en_000	Armed forces occupations
C000002_en_000	Commissioned armed forces officers
C000003_en_000	Commissioned armed forces officers
C000004_en_000	Commissioned armed forces officers
C000005_en_000	Non-commissioned armed forces officers
C000006_en_000	Non-commissioned armed forces officers
C000007_en_000	Non-commissioned armed forces officers
C000008_en_000	Armed forces occupations, other ranks
C000009_en_000	Armed forces occupations, other ranks
C000010_en_000	Armed forces occupations, other ranks
C000011_en_000	Managers
C000012_en_000	Chief executives, senior officials and legislators
C000013_en_000	Legislators and senior officials
C000014_en_000	Legislators
C000015_en_000	Senior government officials
C000016_en_000	Traditional chiefs and heads of village
C000017_en_000	Senior officials of special-interest organisations
C000018_en_000	Managing directors and chief executives
C000019_en_000	Managing directors and chief executives
C000020_en_000	Administrative and commercial managers
C000021_en_000	Business services and administration managers
C000022_en_000	Finance managers
C000023_en_000	Human resource managers
C000024_en_000	Policy and planning managers
C000025_en_000	Business services and administration managers not elsewhere classified
C000026_en_000	Sales, marketing and development managers
C000027_en_000	Sales and marketing managers
C000028_en_000	Advertising and public relations managers
C000029_en_000	Research and development managers
C000030_en_000	Production and specialised services managers
C000031_en_000	Production managers in agriculture, forestry and fisheries
C000032_en_000	Agricultural and forestry production managers
C000033_en_000	Aquaculture and fisheries production managers
C000034_en_000	Manufacturing, mining, construction, and distribution managers
C000035_en_000	Manufacturing managers
C000036_en_000	Mining managers
C000037_en_000	Construction managers
C000038_en_000	Supply, distribution and related managers
C000039_en_000	Information and communications technology service managers
C000040_en_000	Information and communications technology service managers
C000041_en_000	Professional services managers
C000042_en_000	Child care services managers
C000043_en_000	Health services managers
C000044_en_000	Aged care services managers
C000045_en_000	Social welfare managers
C000046_en_000	Education managers
C000047_en_000	Financial and insurance services branch managers
C000048_en_000	Professional services managers not elsewhere classified
C000049_en_000	Hospitality, retail and other services managers
C000050_en_000	Hotel and restaurant managers
C000051_en_000	Hotel managers
C000052_en_000	Restaurant managers
C000053_en_000	Retail and wholesale trade managers
C000054_en_000	Retail and wholesale trade managers
C000055_en_000	Other services managers
C000056_en_000	Sports, recreation and cultural centre managers
C000057_en_000	Services managers not elsewhere classified
C000058_en_000	Professionals
C000059_en_000	Science and engineering professionals
C000060_en_000	Physical and earth science professionals
C000061_en_000	Physicists and astronomers
C000062_en_000	Meteorologists
C000063_en_000	Chemists
C000064_en_000	Geologists and geophysicists
C000065_en_000	Mathematicians, actuaries and statisticians
C000066_en_000	Mathematicians, actuaries and statisticians
C000067_en_000	Life science professionals
C000068_en_000	Biologists, botanists, zoologists and related professionals
C000069_en_000	Farming, forestry and fisheries advisers
C000070_en_000	Environmental protection professionals
C000071_en_000	Engineering professionals (excluding electrotechnology)
C000072_en_000	Industrial and production engineers
C000073_en_000	Civil engineers
C000074_en_000	Environmental engineers
C000075_en_000	Mechanical engineers
C000076_en_000	Chemical engineers
C000077_en_000	Mining engineers, metallurgists and related professionals
C000078_en_000	Engineering professionals not elsewhere classified
C000079_en_000	Electrotechnology engineers
C000080_en_000	Electrical engineers
C000081_en_000	Electronics engineers
C000082_en_000	Telecommunications engineers
C000083_en_000	Architects, planners, surveyors and designers
C000084_en_000	Building architects
C000085_en_000	Landscape architects
C000086_en_000	Product and garment designers
C000087_en_000	Town and traffic planners
C000088_en_000	Cartographers and surveyors
C000089_en_000	Graphic and multimedia designers
C000090_en_000	Health professionals
C000091_en_000	Medical doctors
C000092_en_000	Generalist medical practitioners
C000093_en_000	Specialist medical practitioners
C000094_en_000	Nursing and midwifery professionals
C000095_en_000	Nursing professionals
C000096_en_000	Midwifery professionals
C000097_en_000	Traditional and complementary medicine professionals
C000098_en_000	Traditional and complementary medicine professionals
C000099_en_000	Paramedical practitioners
C000100_en_000	Paramedical practitioners
C000101_en_000	Veterinarians
C000102_en_000	Veterinarians
C000103_en_000	Other health professionals
C000104_en_000	Dentists
C000105_en_000	Pharmacists
C000106_en_000	Environmental and occupational health and hygiene professionals
C000107_en_000	Physiotherapists
C000108_en_000	Dieticians and nutritionists
C000109_en_000	Audiologists and speech therapists
C000110_en_000	Optometrists and ophthalmic opticians
C000111_en_000	Health professionals not elsewhere classified
C000112_en_000	Teaching professionals
C000113_en_000	University and higher education teachers
C000114_en_000	University and higher education teachers
C000115_en_000	Vocational education teachers
C000116_en_000	Vocational education teachers
C000117_en_000	Secondary education teachers
C000118_en_000	Secondary education teachers
C000119_en_000	Primary school and early childhood teachers
C000120_en_000	Primary school teachers
C000121_en_000	Early childhood educators
C000122_en_000	Other teaching professionals
C000123_en_000	Education methods specialists
C000124_en_000	Special needs teachers
C000125_en_000	Other language teachers
C000126_en_000	Other music teachers
C000127_en_000	Other arts teachers
C000128_en_000	Information technology trainers
C000129_en_000	Teaching professionals not elsewhere classified
C000130_en_000	Business and administration professionals
C000131_en_000	Finance professionals
C000132_en_000	Accountants
C000133_en_000	Financial and investment advisers
C000134_en_000	Financial analysts
C000135_en_000	Administration professionals
C000136_en_000	Management and organisation analysts
C000137_en_000	Policy administration professionals
C000138_en_000	Personnel and careers professionals
C000139_en_000	Training and staff development professionals
C000140_en_000	Sales, marketing and public relations professionals
C000141_en_000	Advertising and marketing professionals
C000142_en_000	Public relations professionals
C000143_en_000	Technical and medical sales professionals (excluding ICT)
C000144_en_000	Information and communications technology sales professionals
C000145_en_000	Information and communications technology professionals
C000146_en_000	Software and applications developers and analysts
C000147_en_000	Systems analysts
C000148_en_000	Software developers
C000149_en_000	Web and multimedia developers
C000150_en_000	Applications programmers
C000151_en_000	Software and applications developers and analysts not elsewhere classified
C000152_en_000	Database and network professionals
C000153_en_000	Database designers and administrators
C000154_en_000	Systems administrators
C000155_en_000	Computer network professionals
C000156_en_000	Database and network professionals not elsewhere classified
C000157_en_000	Legal, social and cultural professionals
C000158_en_000	Legal professionals
C000159_en_000	Lawyers
C000160_en_000	Judges
C000161_en_000	Legal professionals not elsewhere classified
C000162_en_000	Librarians, archivists and curators
C000163_en_000	Archivists and curators
C000164_en_000	Librarians and related information professionals
C000165_en_000	Social and religious professionals
C000166_en_000	Economists
C000167_en_000	Sociologists, anthropologists and related professionals
C000168_en_000	Philosophers, historians and political scientists
C000169_en_000	Psychologists
