Q000001	Oficial de Marinha
Q000002	Oficial de administração naval
Q000003	Oficial engenheiro naval
Q000004	Oficial fuzileiro
Q000005	Outros oficiais da Marinha e equiparados
Q000006	Oficial de infantaria
Q000007	Oficial de artilharia
Q000008	Oficial de transmissões (Exército)
Q000009	Oficial de engenharia militar
Q000010	Oficial de material militar (Exército)
Q000011	Oficial de administração militar (Exército)
Q000012	Outros oficiais do Exército
Q000013	Oficial piloto aviador
Q000014	Oficial da área de operações aéreas
Q000015	Oficial da Força Aérea da área de manutenção de sistemas de armas
Q000016	Oficial da Polícia Aérea
Q000017	Outros oficiais da Força Aérea
Q000018	Sargento fuzileiro
Q000019	Sargento mergulhador
Q000020	Sargento de operações (Marinha)
Q000021	Sargento de manobra e serviços (Marinha)
Q000022	Sargento técnico de armamento (Marinha)
Q000023	Outros sargentos de Marinha e equiparados
Q000024	Sargento de infantaria
Q000025	Sargento de artilharia
Q000026	Sargento de cavalaria
Q000027	Sargento de engenharia militar
Q000028	Sargento de material militar (Exército)
Q000029	Sargento de administração militar (Exército)
Q000030	Outros sargentos do Exército
Q000031	Sargento da área de operações aéreas
Q000032	Sargento da Força Aérea da área de manutenção de sistemas de armas
Q000033	Sargento de Polícia Aérea
Q000034	Outros sargentos da Força Aérea
Q000035	Praça de comunicações (Marinha)
Q000036	Praça técnico de armamento (Marinha)
Q000037	Praça de infantaria
Q000038	Praça de artilharia
Q000039	Praça de cavalaria
Q000040	Praça de transmissões (Exército)
Q000041	Praça de engenharia militar
Q000042	Praça de material militar (Exército)
Q000043	Praça da Força Aérea da área de manutenção de sistemas de armas
Q000044	Director geral e gestor executivo, de empresas
Q000045	Director financeiro
Q000046	Director de recursos humanos
Q000047	Directores de estratégia e planeamento
Q000048	Director de vendas
Q000049	Director de marketing
Q000050	Director de publicidade
Q000051	Director de relações públicas
Q000052	Directores de investigação e desenvolvimento
Q000053	Director de produção florestal
Q000054	Director de produção na aquicultura
Q000055	Directores de armazenagem, distribuição e relacionados
Q000056	Físico
Q000057	Astrónomo
