C000001_pt_000	Profissões militares
C000002_pt_000	Oficiais das forças armadas
C000003_pt_000	Oficiais das forças armadas
C000004_pt_000	Oficiais das forças armadas
C000005_pt_000	Graduados não oficiais das forças armadas
C000006_pt_000	Graduados não oficiais das forças armadas
C000007_pt_000	Graduados não oficiais das forças armadas
C000008_pt_000	Outros membros das forças armadas
C000009_pt_000	Outros membros das forças armadas
C000010_pt_000	Outros membros das forças armadas
C000011_pt_000	Pessoal de chefia e direcção
C000012_pt_000	Directores executivos, dirigentes superiores e membros dos corpos legislativos
C000013_pt_000	Membros dos corpos legislativos e dirigentes superiores
C000014_pt_000	Membros dos corpos legislativos
C000015_pt_000	Dirigentes superiores da administração pública
C000016_pt_000	Chefes tradicionais e chefes de aldeia
C000017_pt_000	Dirigentes de organizações especializadas
C000018_pt_000	Directores-gerais
C000019_pt_000	Directores-gerais
C000020_pt_000	Directores administrativos e comerciais
C000021_pt_000	Directores de serviços às empresas e directores administrativos
C000022_pt_000	Directores financeiros
C000023_pt_000	Directores de recursos humanos
C000024_pt_000	Directores de estratégia e planeamento
C000025_pt_000	Directores administrativos e de serviços às empresas não classificados em outra parte
C000026_pt_000	Directores de vendas, marketing e desenvolvimento de negócios
C000027_pt_000	Directores de vendas e marketing
C000028_pt_000	Directores de publicidade e relações públicas
C000029_pt_000	Directores de investigação e desenvolvimento
C000030_pt_000	Directores de produção de serviços especializados
C000031_pt_000	Directores de produção na agricultura, produção animal, floresta e pesca
C000032_pt_000	Directores de produção na agricultura, produção animal e floresta
C000033_pt_000	Directores de produção na aquicultura e pesca
C000034_pt_000	Directores das indústrias transformadoras, extractivas, da construção, transportes e distribuição
C000035_pt_000	Directores das indústrias transformadoras
C000036_pt_000	Directores das indústrias extractivas
C000037_pt_000	Directores da construção e de engenharia civil
C000038_pt_000	Directores de compras, transportes e distribuição
C000039_pt_000	Directores dos serviços das tecnologias da informação e comunicação
C000040_pt_000	Directores dos serviços das tecnologias da informação e comunicação
C000041_pt_000	Directores de serviços especializados
C000042_pt_000	Directores dos serviços de cuidados de crianças
C000043_pt_000	Directores dos serviços de saúde
C000044_pt_000	Directores dos serviços de cuidados a pessoas idosas
C000045_pt_000	Directores dos serviços de apoio social
C000046_pt_000	Directores dos serviços de educação
C000047_pt_000	Directores de sucursais de bancos, serviços financeiros e de seguros
C000048_pt_000	Directores de outros serviços especializados
C000049_pt_000	Directores e gerentes de hotelaria, de restauração, do comércio e de outros serviços
C000050_pt_000	Directores e gerentes, de hotelaria e restauração
C000051_pt_000	Directores e gerentes de hotelaria
C000052_pt_000	Directores e gerentes de restauração
C000053_pt_000	Directores e gerentes de comércio retalhista e grossista
C000054_pt_000	Directores e gerentes de comércio retalhista e grossista
C000055_pt_000	Directores e gerentes, de outros serviços
C000056_pt_000	Directores e gerentes de centros desportivos, recreativos e culturais
C000057_pt_000	Directores de outros serviços, n.e.
C000058_pt_000	Especialistas das actividades intelectuais e científicas
C000059_pt_000	Especialistas das ciências e engenharia
C000060_pt_000	Especialistas das ciências físicas e ciências da Terra
C000061_pt_000	Físicos e astrónomos
C000062_pt_000	Meteorologistas
C000063_pt_000	Químicos
C000064_pt_000	Geólogos e geofísicos
C000065_pt_000	Matemáticos, actuários e estaticistas
C000066_pt_000	Matemáticos, actuários e estaticistas
C000067_pt_000	Especialistas das ciências da vida
C000068_pt_000	Biólogos, botânicos, zoólogos e especialistas similares
C000069_pt_000	Engenheiros agrónomos, consultores da pesca e similares
C000070_pt_000	Especialistas de protecção ambiental
C000071_pt_000	Engenheiros (excluindo de electrotecnologia)
C000072_pt_000	Engenheiros industriais e de produção
C000073_pt_000	Engenheiros civis
C000074_pt_000	Engenheiros do ambiente
C000075_pt_000	Engenheiros mecânicos
C000076_pt_000	Engenheiros químicos
C000077_pt_000	Engenheiros de minas, metalúrgicos e especialistas similares
C000078_pt_000	Outros engenheiros (excluindo de electrotecnologia)
C000079_pt_000	Engenheiros de electrotecnologia
C000080_pt_000	Engenheiros electrotécnicos
C000081_pt_000	Engenheiros de electrónica
C000082_pt_000	Engenheiros de telecomunicações
C000083_pt_000	Arquitectos, urbanistas, agrimensores e designers
C000084_pt_000	Arquitectos de edifícios
C000085_pt_000	Arquitectos paisagistas
C000086_pt_000	Designers de produto e vestuário
C000087_pt_000	Urbanistas, de cidade e tráfego
C000088_pt_000	Cartógrafos e agrimensores
C000089_pt_000	Designers gráficos e de multimédia
C000090_pt_000	Profissionais de saúde
C000091_pt_000	Médicos
C000092_pt_000	Médicos de clínica geral
C000093_pt_000	Médicos especialistas
C000094_pt_000	Enfermeiros
C000095_pt_000	Enfermeiros generalistas e especialistas
C000096_pt_000	Enfermeiros especialistas em saúde materna e obstetrícia
C000097_pt_000	Especialistas das medicinas tradicionais e alternativas
C000098_pt_000	Especialistas das medicinas tradicionais e alternativas
C000099_pt_000	Profissionais paramédicos
C000100_pt_000	Profissionais paramédicos
C000101_pt_000	Veterinários
C000102_pt_000	Veterinários
C000103_pt_000	Outros profissionais de saúde
C000104_pt_000	Médicos dentistas
C000105_pt_000	Farmacêuticos
C000106_pt_000	Especialistas em higiene e saúde, ambiental e laboral
C000107_pt_000	Fisioterapeutas
C000108_pt_000	Dietistas e nutricionistas
C000109_pt_000	Audiologistas e terapeutas da fala
C000110_pt_000	Optometristas e ópticos oftálmicos
C000111_pt_000	Outros profissionais de saúde, n.e.
C000112_pt_000	Professores
C000113_pt_000	Professores dos ensinos universitário e superior
C000114_pt_000	Professores dos ensinos universitário e superior
C000115_pt_000	Professores dos ensinos tecnológico, artístico e profissional
C000116_pt_000	Professores dos ensinos tecnológico, artístico e profissional
C000117_pt_000	Professores dos ensinos básico (2.o e 3.o ciclos) e secundário
C000118_pt_000	Professores dos ensinos básico (2.o e 3.o ciclos) e secundário
C000119_pt_000	Professores do ensino básico (1.o ciclo) e educadores de infância
C000120_pt_000	Professores do ensino básico (1.o ciclo)
C000121_pt_000	Educadores de infância
C000122_pt_000	Outros especialistas do ensino
C000123_pt_000	Especialistas em métodos de ensino
C000124_pt_000	Professores do ensino especial
C000125_pt_000	Outros professores de línguas
C000126_pt_000	Outros professores de música
C000127_pt_000	Outros professores de artes
C000128_pt_000	Formadores de tecnologias da informação
C000129_pt_000	Outros especialistas de ensino, n.e.
C000130_pt_000	Especialistas em administração e negócios
C000131_pt_000	Especialistas em finanças e contabilidade
C000132_pt_000	Contabilistas
C000133_pt_000	Consultores financeiros e de investimentos
C000134_pt_000	Analistas financeiros
C000135_pt_000	Especialistas em organização administrativa
C000136_pt_000	Analistas em gestão e organização
C000137_pt_000	Especialistas em políticas da administração
C000138_pt_000	Especialistas em recursos humanos
C000139_pt_000	Especialistas em formação e desenvolvimento de recursos humanos
C000140_pt_000	Especialistas de vendas, marketing e relações públicas
C000141_pt_000	Especialistas em publicidade e marketing
C000142_pt_000	Especialistas em relações públicas
C000143_pt_000	Especialistas em vendas, de material técnico e médico (excluindo TIC)
C000144_pt_000	Especialistas em vendas, de tecnologias da informação e comunicação
