C000001_ro_000	Forțele armate
C000002_ro_000	Ofițeri de armată
C000003_ro_000	Ofițeri de armată
C000004_ro_000	Ofițeri de armată
C000005_ro_000	Subofițeri de armată
C000006_ro_000	Subofițeri de armată
C000007_ro_000	Subofițeri de armată
C000008_ro_000	Forțele armate, alte grade
C000009_ro_000	Forțele armate, alte grade
C000010_ro_000	Forțele armate, alte grade
C000011_ro_000	Membri ai corpului legislativ, ai executivului, înalți conducători ai administrației publice, conducători și funcționari superiori
C000012_ro_000	Legislatori, membri ai executivului și înalți conducători ai administrației publice
C000013_ro_000	Legislatori, membri ai executivului și înalți conducători ai administrației publice
C000014_ro_000	Legislatori, membri ai executivului
C000015_ro_000	Înalți conducători ai administrației publice
C000016_ro_000	Conducători și membri ai consiliilor locale
C000017_ro_000	Conducători și alți funcționari superiori din organizațiile specializate
C000018_ro_000	Directori generali, directori executivi și asimilați
C000019_ro_000	Directori generali, directori executivi și asimilați
C000020_ro_000	Conducători în domeniul administrativ și comercial
C000021_ro_000	Directori de întreprinderi și conducători din domeniul administrativ
C000022_ro_000	Conducători în domeniul financiar
C000023_ro_000	Conducători în domeniul resurselor umane
C000024_ro_000	Conducători în domeniul politicilor economice și al planificării
C000025_ro_000	Directori de întreprinderi și conducători din domeniul administrativ neclasificați în grupele de bază anterioare
C000026_ro_000	Conducători în domeniul vânzări, marketing și dezvoltare
C000027_ro_000	Conducători în domeniul vânzări și marketing
C000028_ro_000	Conducători în domeniul publicității și relațiilor publice
C000029_ro_000	Conducători în domeniul cercetării și dezvoltării
C000030_ro_000	Conducători de unități din industrie și servicii
C000031_ro_000	Conducători de unități din industrie, agricultură, silvicultură și piscicultură
C000032_ro_000	Conducători de unități din agricultură și silvicultură
C000033_ro_000	Conducători de unități din domeniul acvaculturii și pescuitului
C000034_ro_000	Conducători de unități din industria prelucrătoare, extractivă, construcții și în domeniul aprovizionării și desfacerii de mărfuri
C000035_ro_000	Conducători de unități din industria prelucrătoare
C000036_ro_000	Conducători de unități din industria extractivă
