C000001_sk_000	Príslušníci ozbrojených síl
C000002_sk_000	Dôstojníci ozbrojených síl
C000003_sk_000	Dôstojníci ozbrojených síl
C000004_sk_000	Dôstojníci ozbrojených síl
C000005_sk_000	Poddôstojníci ozbrojených síl
C000006_sk_000	Poddôstojníci ozbrojených síl
C000007_sk_000	Poddôstojníci ozbrojených síl
C000008_sk_000	Ostatné ozbrojené sily
C000009_sk_000	Ostatné ozbrojené sily
C000010_sk_000	Ostatné ozbrojené sily
C000011_sk_000	Zákonodarcovia, riadiaci pracovníci:
C000012_sk_000	Zákonodarcovia, ústavní činitelia, vysokí štátni úradníci a najvyšší predstavitelia podnikov a organizácií
C000013_sk_000	Zákonodarcovia, ústavní činitelia a vysokí štátni úradníci
C000014_sk_000	Zákonodarcovia a ústavní činitelia
C000015_sk_000	Vysokí štátni úradníci
C000016_sk_000	Predstavitelia obcí a vyšších územných samosprávnych celkov
C000017_sk_000	Vedúci predstavitelia politických, odborových, záujmových a príbuzných organizácií
C000018_sk_000	Prezidenti a generálni riaditelia podnikov a organizácií
C000019_sk_000	Prezidenti a generálni riaditelia podnikov a organizácií
C000020_sk_000	Riadiaci pracovníci (manažéri) administratívnych, podporných a obchodných činností
C000021_sk_000	Riadiaci pracovníci (manažéri) administratívnych a podporných činností
C000022_sk_000	Riadiaci pracovníci (manažéri) v oblasti financií
C000023_sk_000	Riadiaci pracovníci (manažéri) v oblasti ľudských zdrojov
C000024_sk_000	Riadiaci pracovníci (manažéri) v oblasti firemnej politiky a strategického plánovania
C000025_sk_000	Riadiaci pracovníci (manažéri) administratívnych a podporných činností inde neuvedení
C000026_sk_000	Riadiaci pracovníci (manažéri) odbytu, marketingu, výskumu a vývoja
C000027_sk_000	Riadiaci pracovníci (manažéri) v oblasti odbytu a marketingu
C000028_sk_000	Riadiaci pracovníci (manažéri) v oblasti reklamy a styku s verejnosťou
C000029_sk_000	Riadiaci pracovníci (manažéri) v oblasti výskumu a vývoja
C000030_sk_000	Riadiaci pracovníci (manažéri) vo výrobe a v špecializovaných službách
