Q000001	Generál – náčelník generálneho štábu
Q000002	Generálporučík - prvý zástupca náčelníka generálneho štábu
Q000003	Generálmajor - druhý zástupca náčelníka generálneho štábu, veliteľ síl a jemu na roveň postavený
Q000004	Brigádny generál – náčelník štábu na generálnom štábe, zástupca veliteľa síl a jemu na roveň postavený
Q000005	Plukovník - veliteľ brigády, veliteľ pluku, riaditeľ úradu, náčelník odboru na generálnom štábe a jemu na roveň postavený
Q000006	Podplukovník - veliteľ práporu, náčelník oddelenia na generálnom štábe a jemu na roveň postavený
Q000007	Major – náčelník oddelenia veliteľstva síl, dôstojník špecialista generálneho štábu a jemu na roveň postavený
Q000008	Kapitán - veliteľ roty, dôstojník štábu velenia brigády až generálneho štábu a jemu na roveň postavený
Q000009	Nadporučík - odborný náčelník vojenských systémov, dôstojník štábu práporu a jemu na roveň postavený
Q000010	Poručík - veliteľ čaty a jemu na roveň postavený
Q000011	Dôstojník ozbrojených síl inde neuvedený
Q000012	Štábny nadrotmajster – hlavný poddôstojník, veliaci poddôstojník
Q000013	Nadrotmajster - veliteľ (náčelník) zbraňového systému bojového použitia, starší inštruktor výcviku a jemu na roveň postavený
Q000014	Rotmajster – veliaci poddôstojník čaty, inštruktor výcviku, špecialista vojenskej odbornosti a jemu na roveň postavený
Q000015	Rotný - veliteľ družstva a jemu na roveň postavený
Q000016	Čatár - zástupca veliteľa družstva, veliteľ malej bojovej skupiny (tímu), náčelník pracoviska a jemu na roveň postavený
Q000017	Poddôstojník ozbrojených síl inde neuvedený
Q000018	Desiatnik- starší operátor zbraňového systému, vodič špeciálnej vojenskej techniky a jemu na roveň postavený
Q000019	Slobodník - operátor zbraňového systému, vodič ťažkej vojenskej techniky a jemu na roveň postavený
Q000020	Vojak 2. stupňa - strelec, vodič ľahkej vojenskej techniky, obsluha zbraňového systému a jemu na roveň postavený
Q000021	Vojak 1. stupňa - kadet vojenskej vysokej školy, vojak prípravnej služby
Q000022	Vojak 1. stupňa – čakateľ, vojak prípravnej služby
Q000023	Mužstvo ozbrojených síl inde neuvedené
Q000024	Prezident
Q000025	Predseda a poslanec parlamentu
Q000026	Najvyšší predstaviteľ orgánu štátnej správy (okrem ministra)
Q000027	Najvyšší predstaviteľ v súdnictve
Q000028	Najvyšší predstaviteľ v prokuratúre
Q000029	Štátny tajomník
Q000030	Generálny tajomník služobného úradu
Q000031	Verejný ochranca práv
Q000032	Splnomocnenec vlády
Q000033	Riadiaci pracovník orgánu štátnej správy (úroveň sekcie)
Q000034	Poradca prezidenta, predsedu vlády, ministra, najvyššieho predstaviteľa ústredného štátneho orgánu
Q000035	Veľvyslanec, generálny konzul
Q000036	Vedúci kancelárie, sekretariátu ústredného štátneho orgánu
Q000037	Najvyšší predstaviteľ verejnoprávnej inštitúcie
Q000038	Vysoký štátny úradník inde neuvedený
Q000039	Primátor, námestník primátora
Q000040	Starosta, zástupca starostu
Q000041	Predseda, podpredseda samosprávneho kraja
Q000042	Riaditeľ úradu samosprávneho kraja
Q000043	Prednosta obecného úradu, mestského úradu, miestneho úradu a spoločného obecného úradu
Q000044	Predseda a podpredseda politickej strany a hnutia
Q000045	Riadiaci pracovník odborovej organizácie
Q000046	Vedúci predstaviteľ združenia
Q000047	Riadiaci pracovník neziskovej organizácie, nadácie a neinvestičného fondu
Q000048	Vedúci predstaviteľ zamestnávateľskej asociácie a zväzu
Q000049	Vedúci predstaviteľ profesijnej komory
Q000050	Vedúci predstaviteľ politickej, odborovej, záujmovej a príbuznej organizácie inde neuvedený
Q000051	Generálny riaditeľ (prezident spoločnosti)
Q000052	Výkonný riaditeľ
Q000053	Člen predstavenstva a iného riadiaceho orgánu spoločnosti
Q000054	Rektor vysokej školy
Q000055	Predseda družstva
Q000056	Prezident a generálny riaditeľ podniku a organizácie inde neuvedený
Q000057	Finančný riaditeľ (ekonomický riaditeľ)
Q000058	Riadiaci pracovník (manažér) v oblasti daní
Q000059	Riadiaci pracovník (manažér) v oblasti cenotvorby
Q000060	Kvestor
Q000061	Riadiaci pracovník (manažér) v oblasti financií inde neuvedený
Q000062	Riadiaci pracovník (manažér) ľudských zdrojov (personálny riaditeľ)
Q000063	Riadiaci pracovník (manažér) pre oblasť náboru a výberu pracovníkov
Q000064	Riadiaci pracovník (manažér) pre oblasť odmeňovania a benefitov
Q000065	Riadiaci pracovník (manažér) pre oblasť vzdelávania a rozvoja pracovníkov
Q000066	Riadiaci pracovník (manažér) personálnej administratívy a zamestnaneckých vzťahov
Q000067	Riadiaci pracovník (manažér) v oblasti ľudských zdrojov inde neuvedený
Q000068	Riadiaci pracovník (manažér) pre stratégiu
Q000069	Riadiaci pracovník zmien (krízový manažér)
Q000070	Riadiaci pracovník (manažér) v oblasti investícií
Q000071	Hlavný projektový manažér
Q000072	Riadiaci pracovník (manažér) v oblasti medzinárodných vzťahov
Q000073	Riadiaci pracovník (manažér) parlamentnej a vládnej agendy
Q000074	Riadiaci pracovník (manažér) v oblasti fondov EÚ
Q000075	Riadiaci pracovník (manažér) v oblasti stratégie a plánovania inde neuvedený
Q000076	Riadiaci pracovník (manažér) právneho útvaru
Q000077	Riadiaci pracovník (manažér) obstarávania
Q000078	Riadiaci pracovník (manažér) v oblasti hospodárskej správy a údržby majetku (facility manažér)
Q000079	Riadiaci pracovník (manažér) v oblasti interného auditu
Q000080	Riadiaci pracovník (manažér) v oblasti kontroly
Q000081	Riadiaci pracovník (manažér) prevádzkového úseku
Q000082	Riadiaci pracovník (manažér) v oblasti ochrany osobných údajov
Q000083	Riadiaci pracovník (manažér) v oblasti ochrany utajovaných skutočností
Q000084	Riadiaci pracovník (manažér) kvality
Q000085	Iný riadiaci pracovník (manažér) administratívnych a podporných činností inde neuvedený
Q000086	Riadiaci pracovník (manažér) v oblasti obchodu (obchodný riaditeľ)
Q000087	Riadiaci pracovník (manažér) v oblasti marketingu
Q000088	Riadiaci pracovník (manažér) v oblasti prieskumu trhu
Q000089	Riadiaci pracovník (manažér) v oblasti obchodu a marketingu inde neuvedený
Q000090	Riadiaci pracovník (manažér) v oblasti reklamy
Q000091	Riadiaci pracovník (manažér) pre styk s verejnosťou
Q000092	Riadiaci pracovník výskumnej inštitúcie
Q000093	Riadiaci pracovník (manažér) výskumu, vývoja a technického rozvoja vo výrobe
Q000094	Riadiaci pracovník (manažér) v oblasti výskumu a vývoja inde neuvedený
Q000095	Riadiaci pracovník (manažér) živočíšnej výroby
Q000096	Riadiaci pracovník (manažér) rastlinnej výroby
Q000097	Riadiaci pracovník (manažér) služieb v poľnohospodárstve
Q000098	Riadiaci pracovník (manažér) poľnohospodárskej techniky
Q000099	Riaditeľ závodu v lesníctve
Q000100	Riadiaci pracovník (manažér) pre výrobu a technický rozvoj v lesníctve
Q000101	Riadiaci pracovník (manažér) útvaru lesníckej výroby
Q000102	Riadiaci pracovník (manažér) odboru v lesníctve
Q000103	Riadiaci pracovník (manažér) špecializovaného strediska v lesníctve
Q000104	Riadiaci pracovník (manažér) v poľnohospodárstve a lesníctve inde neuvedený
Q000105	Riadiaci pracovník (manažér) v potravinárskej výrobe
Q000106	Riadiaci pracovník (manažér) v textilnej a odevnej výrobe
Q000107	Riadiaci pracovník (manažér) v chemickej výrobe
Q000108	Riadiaci pracovník (manažér) v hutníckej výrobe
Q000109	Riadiaci pracovník (manažér) v odpadovom hospodárstve
Q000110	Riadiaci pracovník (manažér) v plynárenstve
Q000111	Riadiaci pracovník (manažér) v tepelnej energetike
Q000112	Riadiaci pracovník (manažér) vo vodnom hospodárstve
Q000113	Riadiaci pracovník (manažér) vo vodárenstve
Q000114	Riadiaci pracovník (manažér) v geologickom prieskume a výskume
Q000115	Riadiaci pracovník (manažér) výroby v stavebníctve
Q000116	Riaditeľ organizačnej jednotky (závodu, divízie) v stavebníctve
Q000117	Riadiaci pracovník (manažér) v stavebníctve inde neuvedený
Q000118	Riadiaci pracovník (manažér) v železničnej doprave
Q000119	Riadiaci pracovník (manažér) v železničnej infraštruktúre
Q000120	Riadiaci pracovník (manažér) v cestnej infraštruktúre
Q000121	Riadiaci pracovník (manažér) v logistike
Q000122	Riadiaci pracovník (manažér) v poštových službách
Q000123	Riadiaci pracovník (manažér) v doprave, logistike a poštových službách inde neuvedený
Q000124	Riadiaci pracovník (manažér) riešení IT
Q000125	Riadiaci pracovník (manažér) prevádzky IT
Q000126	Riadiaci pracovník (manažér) v telekomunikáciách
Q000127	Riadiaci pracovník (manažér) v oblasti IKT inde neuvedený
Q000128	Riadiaci zdravotnícky pracovník - lekár
Q000129	Riadiaci zdravotnícky pracovník - zubný lekár
Q000130	Riadiaci zdravotnícky pracovník - farmaceut
Q000131	Riadiaci zdravotnícky pracovník - pôrodná asistentka
Q000132	Riadiaci zdravotnícky pracovník - fyzioterapeut
Q000133	Riadiaci zdravotnícky pracovník - zdravotnícky laborant
Q000134	Riadiaci zdravotnícky pracovník - rádiologický technik
Q000135	Riadiaci zdravotnícky pracovník - zdravotnícky záchranár
Q000136	Riadiaci zdravotnícky pracovník - laboratórny diagnostik
Q000137	Riadiaci zdravotnícky pracovník - psychológ
Q000138	Riadiaci zdravotnícky pracovník - verejný zdravotník (hygienik)
Q000139	Riadiaci pracovník (manažér) v oblasti zdravotnej starostlivosti inde neuvedený
Q000140	Riaditeľ zariadenia sociálnych služieb pre starších ľudí
Q000141	Riadiaci pracovník (manažér) v oblasti starostlivosti o starších ľudí inde neuvedený
Q000142	Riaditeľ zariadenia sociálnoprávnej ochrany detí a sociálnej kurately a sociálnych služieb (okrem sociálnych služieb pre seniorov)
Q000143	Riadiaci pracovník (manažér) v oblasti sociálnej starostlivosti inde neuvedený
Q000144	Dekan
Q000145	Vedúci katedry
Q000146	Riaditeľ inštitúcie ďalšieho vzdelávania
Q000147	Prodekan
Q000148	Riadiaci pracovník (manažér) v oblasti politiky vzdelávania
Q000149	Riaditeľ školy a školského zariadenia
Q000150	Riadiaci pracovník vo výchove a vzdelávaní inde neuvedený
Q000151	Riadiaci pracovník (manažér) v bankovníctve
Q000152	Riadiaci pracovník (manažér) v poisťovníctve
Q000153	Riadiaci pracovník (manažér) v oblasti dôchodkového sporenia
Q000154	Riadiaci pracovník v oblasti sociálneho poistenia
Q000155	Riadiaci pracovník v oblasti zdravotného poistenia
Q000156	Riadiaci pracovník (manažér) v oblasti finančného sprostredkovania
Q000157	Riadiaci pracovník v oblasti správy a vymáhania pohľadávok
Q000158	Riadiaci pracovník (manažér) vo finančníctve a poisťovníctve inde neuvedený
Q000159	Riadiaci pracovník (manažér) v oblasti strážnych a detektívnych služieb (vedúci detektív)
Q000160	Riadiaci pracovník (manažér) záchranných zložiek
Q000161	Riadiaci pracovník (manažér) v právnych službách
Q000162	Riadiaci pracovník v cirkevnej oblasti
Q000163	Riadiaci pracovník (manažér) v oblasti obrany
Q000164	Riadiaci pracovník (manažér) v colnej oblasti
Q000165	Iný riadiaci pracovník (manažér) v špecializovaných službách inde neuvedený
Q000166	Riadiaci pracovník (manažér) hotela, botela a motela
Q000167	Riadiaci pracovník (manažér) penziónu
Q000168	Riadiaci pracovník (manažér) internátu, ubytovne a hostela
Q000169	Riadiaci pracovník (manažér) ubytovacieho zariadenia inde neuvedený
Q000170	Riadiaci pracovník (manažér) reštaurácie
Q000171	Riadiaci pracovník (manažér) kaviarne a baru
Q000172	Riadiaci pracovník (manažér) zariadenia školského stravovania
Q000173	Riadiaci pracovník (manažér) zariadenia závodného stravovania
Q000174	Riadiaci pracovník (manažér) cateringovej spoločnosti
Q000175	Riadiaci pracovník (manažér) reštauračného zariadenia inde neuvedený
Q000176	Riadiaci pracovník (manažér) obchodnej prevádzky
Q000177	Riadiaci pracovník (manažér) športového strediska
Q000178	Riadiaci pracovník (manažér) rekreačného strediska
Q000179	Riadiaci pracovník (manažér) divadla, kina
