Q000001	Kadrovski menedžer
Q000002	Upravljavec bioenergetskih naprav
Q000003	Upravljavec hidroenergetskih naprav
Q000004	Upravljavec plinskoenergetskih naprav
Q000005	Upravljavec termoenergetskih naprav
Q000006	Upravljavec energetskih naprav
Q000007	Upravljavec ogrevalnih naprav
Q000008	Upravljavec hladilnih naprav
Q000009	Upravljavec prezračevalnih naprav
Q000010	Upravljavec sežigalne peči za odpadke
Q000011	Upravljavec vodočistilnih naprav
Q000012	Kontrolor kemijskih procesnih strojev in naprav
Q000013	Delavski direktor
Q000014	Upravljavec naprav za proizvodnjo plina
Q000015	Upravljavec procesnih strojev in naprav za predelavo nafte in zemeljskega plina
Q000016	Upravljavec stroja za proizvodnjo biodizla
Q000017	Vodja pravne službe
Q000018	Tehnik robotov
Q000019	Kontrolor mineralurških procesov in izdelkov
Q000020	Laboratorijski tehnik za biomedicino
Q000021	Laboratorijski tehnik za biofiziologijo
Q000022	Laboratorijski tehnik biokemije
Q000023	Laboratorijski tehnik za biologijo
Q000024	Laboratorijski tehnik za ekologijo
Q000025	Laboratorijski tehnik za farmakologijo
Q000026	Laboratorijski tehnik mikrobiologije
Q000027	Laboratorijski tehnik radiokemije
Q000028	Laboratorijski tehnik za veterinarstvo
Q000029	Preparator živali in rastlin
Q000030	Laboratorijski tehnik za živinorejo
Q000031	Laboratorijski tehnik za agronomijo
Q000032	Tehnik za vrtnarsko tehnologijo
Q000033	Strokovni sodelavec za matične zadeve živali
Q000034	Gozdarski svetovalec, asistent
Q000035	Tehnik za gozdarsko tehnologijo
Q000036	Laboratorijski tehnik za gozdarstvo
Q000037	Upravitelj ladijskega stroja
Q000038	Menedžerji za splošne poslovne funkcije, d. n.
Q000039	Častnik ladijskega stroja
Q000040	Tehnični vodja marine
Q000041	Kapitan ladje
Q000042	Častnik krova
Q000043	Pomorski pilot
Q000044	Vodja službe kontrolinga
Q000045	Kapitan letala
Q000046	Inštruktor za letenje
Q000047	Navigator letala
Q000048	Pilot helikopterja
Q000049	Kontrolor letenja
Q000050	Letališki kontrolor
Q000051	Koordinator zračnega prometa
Q000052	Direktor za kakovost
Q000053	Operater opreme za zračno kontrolo
Q000054	Letalski dispečer
Q000055	Balanser letal
Q000056	Operater kardiopnevmografskih naprav
Q000057	Operater nuklearnih medicinskih naprav
Q000058	Operater rentgenskih naprav
Q000059	Operater medicinskih naprav
Q000060	Tehnik laboratorijske medicine
Q000061	Farmacevtski asistent
Q000062	Serviser ortopedskih in drugih zdravstvenih pripomočkov
Q000063	Tehnik za ortopedsko tehniko
Q000064	Zobozdravstveni tehnik
Q000065	Zdravstveni reševalec
Q000066	Zdravstveni tehnik (bolj zahtevna dela)
Q000067	Babičar (bolj zahtevna dela)
Q000068	Trženjski menedžer
Q000069	Refleksoterapevt
Q000070	Shiatsu praktik
Q000071	Zdravitelj z zelišči
Q000072	Zdravitelj z akupresuro
Q000073	Radiestezist
Q000074	Bioenergetik
Q000075	Veterinarski asistent
Q000076	Prodajni menedžer
Q000077	Veterinarski tehnik
Q000078	Zobozdravstveni asistent
Q000079	Zobozdravstveni higienik
Q000080	Očesni optik
Q000081	Strokovni sodelavec za komunalno infrastrukturo
Q000082	Strokovni sodelavec za okoljsko zdravstvo in higieno
Q000083	Strokovni sodelavec za varstvo okolja
Q000084	Terapevtski asistent za osebe s posebnimi potrebami
Q000085	Tržnik vzajemnih skladov
Q000086	Menedžer za oglaševanje in odnosi z javnostmi
Q000087	Referent za posojila
Q000088	Knjigovodja
Q000089	Strokovni sodelavec za računovodske izračune in prikaze
Q000090	Strokovni sodelavec za statistične izračune in prikaze
Q000091	Strokovni sodelavec za zavarovalniške izračune in prikaze
Q000092	Cenilec
Q000093	Davčni ocenjevalec
Q000094	Inšpektor zavarovalniških zahtevkov
Q000095	Zavarovalni posrednik
Q000096	Zavarovalni zastopnik
Q000097	Komercialist za prodajo
Q000098	Prodajni referent
Q000099	Svetovalec za prodajo
Q000100	Zastopnik za trgovino
Q000101	Nabavno-prodajni referent
Q000102	Nabavni referent
Q000103	Posrednik za prevozništvo
Q000104	Posrednik za trgovino
Q000105	Pomorski agent
Q000106	Ladijski agent
Q000107	Carinski deklarant
Q000108	Referent za izvoz in uvoz
Q000109	Špediter
Q000110	Referent v pomorski agenciji in špediciji
Q000111	Organizator športno-rekreacijskih prireditev in dogodkov
Q000112	Organizator kulturno-razvedrilnih prireditev in dogodkov
Q000113	Organizator kongresov
Q000114	Organizator sejmov
Q000115	Organizator porok
Q000116	Organizator za potovanja
Q000117	Organizator wellness storitev
Q000118	Vodja turistično informacijskega centra
Q000119	Kadrovski referent
Q000120	Posrednik za zaposlovanje
Q000121	Zastopnik za zaposlovanje
Q000122	Sindikalni zaupnik
Q000123	Upravitelj nepremičnin
Q000124	Posrednik za nepremičnine
Q000125	Posrednik za premičnine
Q000126	Strokovni sodelavec za logistiko
Q000127	Menedžer v kmetijstvu
Q000128	Tehnik za tehnologijo prometa
Q000129	Agent za literaturo
Q000130	Agent za šport
Q000131	Posrednik za storitvene dejavnosti
Q000132	Posrednik za poslovne dejavnosti
Q000133	Svetovalec za patente
Q000134	Posrednik za partnerske zveze
Q000135	Menedžer v gozdarstvu
Q000136	Vodja pisarne
Q000137	Poslovni sekretar
Q000138	Projektni tajnik
Q000139	Davkar izterjevalec
Q000140	Davkar
Q000141	Referent socialnega varstva
Q000142	Referent za nadomestila za brezposelnost
Q000143	Referent za zdravstveno zavarovanje
Q000144	Nadzornik uveljaviteljev socialnovarstvenih pravic
Q000145	Referent za izdajo koncesij
Q000146	Referent za izdajo osebnih dokumentov
Q000147	Referent za gradbena dovoljenja
Q000148	Detektiv
Q000149	Kriminalist
Q000150	Kriminalistični tehnik
Q000151	Referent za javnoupravne zadeve
Q000152	Strokovni sodelavec za pripravo in spremljanje programov v javni upravi
Q000153	Strokovni sodelavec za pripravo postopkov javnih naročil
Q000154	Menedžer v ribištvu
Q000155	Strokovni sodelavec protokolist
Q000156	Sodniški pomočnik
Q000157	Zasebni detektiv
Q000158	Strokovni sodelavec za socialno delo
Q000159	Menedžer v ribogojstvu
Q000160	Organizator socialne mreže
Q000161	Redovnik
Q000162	Misijonar
Q000163	Duhovnikov pomočnik
Q000164	Član samostanske skupnosti
Q000165	Športnik
Q000166	Delegat in kontrolor na športnih tekmovanjih
Q000167	Športni sodnik
Q000168	Športni trener
Q000169	Inštruktor jadranja
Q000170	Jamski inštruktor
Q000171	Inštruktor joge
Q000172	Inštruktor pilatesa
Q000173	Inštruktor aerobike
Q000174	Alpinistični inštruktor
Q000175	Gorski vodnik
Q000176	Jamski vodnik
Q000177	Vodnika rafta
Q000178	Učitelj nordijske hoje
Q000179	Osebni trener
Q000180	Učitelj smučanja (rekreativno učenje)
Q000181	Trener fitnesa
Q000182	Vodni animator
Q000183	Fotoreporter
Q000184	Fotograf
Q000185	Aranžer
Q000186	Dekorater
