C000001_sl_000	Vojaški poklici
C000002_sl_000	Častniki/častnice
C000003_sl_000	Častniki/častnice
C000004_sl_000	Častniki/častnice
C000005_sl_000	Podčastniki/podčastnice
C000006_sl_000	Podčastniki/podčastnice
C000007_sl_000	Podčastniki/podčastnice
C000008_sl_000	Vojaški poklici, drugi čini
C000009_sl_000	Vojaški poklici, drugi čini
C000010_sl_000	Vojaški poklici, drugi čini
C000011_sl_000	Menedžerji/menedžerke
C000012_sl_000	Zakonodajalci/zakonodajalke, visoki uradniki/visoke uradnice in člani/članice uprave družbe
C000013_sl_000	Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice
C000014_sl_000	Zakonodajalci/zakonodajalke
C000015_sl_000	Visoki vladni uradniki/visoke vladne uradnice
C000016_sl_000	Predsedniki/predsednice vaške skupnosti
C000017_sl_000	Visoki uradniki/visoke uradnice interesnih organizacij
C000018_sl_000	Generalni direktorji/generalne direktorice in člani/članice uprave družbe
C000019_sl_000	Generalni direktorji/generalne direktorice in člani/članice uprave družbe
C000020_sl_000	Menedžerji/menedžerke za splošne poslovne funkcije in komercialo
C000021_sl_000	Menedžerji/menedžerke za splošne poslovne funkcije
C000022_sl_000	Finančni menedžerji/finančne menedžerke
C000023_sl_000	Kadrovski menedžerji/kadrovske menedžerke
C000024_sl_000	Menedžerji/menedžerke za splošne zadeve in planiranje
C000025_sl_000	Upravno-administrativni in poslovni menedžerji, d. n.
C000026_sl_000	Menedžerji/menedžerke za trženje, prodajo in razvoj
C000027_sl_000	Menedžerji/menedžerke za trženje in prodajo
C000028_sl_000	Menedžerji/menedžerke za oglaševanje in odnose z javnostmi
C000029_sl_000	Menedžerji/menedžerke za raziskave in razvoj
C000030_sl_000	Menedžerji/menedžerke za proizvodnjo in specializirane storitve
C000031_sl_000	Menedžerji/menedžerke proizvodnje v kmetijstvu, gozdarstvu in ribištvu
C000032_sl_000	Menedžerji/menedžerke proizvodnje v kmetijstvu in gozdarstvu
C000033_sl_000	Menedžerji/menedžerke proizvodnje v ribištvu in ribogojstvu
C000034_sl_000	Menedžerji/menedžerke proizvodnje v rudarstvu, predelovalnih dejavnostih, gradbeništvu in distribuciji
C000035_sl_000	Menedžerji/menedžerke proizvodnje v predelovalnih dejavnostih
C000036_sl_000	Menedžerji/menedžerke proizvodnje v rudarski dejavnosti
C000037_sl_000	Menedžerji/menedžerke proizvodnje v gradbeništvu
C000038_sl_000	Menedžerji/menedžerke nabave, distribucije ipd.
C000039_sl_000	Menedžerji/menedžerke za informacijsko in komunikacijsko tehnologijo
C000040_sl_000	Menedžerji/menedžerke za informacijsko in komunikacijsko tehnologijo
C000041_sl_000	Menedžerji/menedžerke za strokovne storitve
C000042_sl_000	Menedžerji/menedžerke na področju varstva otrok
C000043_sl_000	Menedžerji/menedžerke na področju zdravstva
C000044_sl_000	Menedžerji/menedžerke na področju varstva starejših občanov
C000045_sl_000	Menedžerji/menedžerke na področju socialnega varstva
C000046_sl_000	Menedžerji/menedžerke na področju izobraževanja
C000047_sl_000	Direktorji/direktorice finančne in zavarovalniške podružnice
C000048_sl_000	Menedžerji/menedžerke za strokovne storitve, d. n.
C000049_sl_000	Menedžerji/menedžerke v gostinstvu, trgovini na drobno in drugih storitvah
C000050_sl_000	Menedžerji/menedžerke v gostinstvu
C000051_sl_000	Menedžerji/menedžerke v gostinstvu, hotel
C000052_sl_000	Menedžerji/menedžerke v gostinstvu, restavracija
C000053_sl_000	Menedžerji/menedžerke v trgovini na drobno in v trgovini na debelo
C000054_sl_000	Menedžerji/menedžerke v trgovini na drobno in trgovini na debelo
C000055_sl_000	Menedžerji/menedžerke na področju drugih storitev
C000056_sl_000	Menedžerji/menedžerke športnih, rekreativnih centrov in kulturnih zavodov
C000057_sl_000	Menedžerji/menedžerke na področju drugih storitev, d. n.
C000058_sl_000	Strokovnjaki/strokovnjakinje
C000059_sl_000	Strokovnjaki/strokovnjakinje matematično-naravoslovnih in tehnično-tehnoloških ved
C000060_sl_000	Strokovnjaki/strokovnjakinje fizikalnih in zemeljskih ved
C000061_sl_000	Fiziki/fizičarke in astronomi/astronomke
C000062_sl_000	Meteorologi/meteorologinje
C000063_sl_000	Kemiki/kemičarke
C000064_sl_000	Geologi/geologinje in geofiziki/geofizičarke
C000065_sl_000	Matematiki/matematičarke, aktuarji/aktuarke in statistiki/statističarke
C000066_sl_000	Matematiki/matematičarke, aktuarji/aktuarke in statistiki/statističarke
C000067_sl_000	Biologi/biologinje, agronomi/agronomke, ekologi/ekologinje ipd.
C000068_sl_000	Biologi/biologinje, ekologi/ekologinje ipd.
C000069_sl_000	Svetovalci/svetovalke v kmetijstvu, gozdarstvu in ribištvu
C000070_sl_000	Strokovnjaki/strokovnjakinje za varstvo okolja
C000071_sl_000	Strokovnjaki/strokovnjakinje tehnično-tehnoloških strok (razen elektrotehnike)
