C000001_sv_000	Militära yrken
C000002_sv_000	Arbete som officerare
C000003_sv_000	Officerare
C000004_sv_000	Officerare
C000005_sv_000	Specialistofficerare
C000006_sv_000	Specialistofficerare
C000007_sv_000	Specialistofficerare
C000008_sv_000	Övriga militära yrken
C000009_sv_000	Övriga militära yrken
C000010_sv_000	Övriga militära yrken
C000011_sv_000	Chefsyrken
C000012_sv_000	Politiskt arbete m.m.
C000013_sv_000	Högre ämbetsmän och politiker
C000014_sv_000	Politiker
C000015_sv_000	Högre ämbetsmän
C000016_sv_000	Traditionella byhövdingar
C000017_sv_000	Chefstjänstemän i intresseorganisationer
C000018_sv_000	Verkställande direktörer, verkschefer m.fl.
C000019_sv_000	Verkställande direktörer, verkschefer m.fl.
C000020_sv_000	Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.
C000021_sv_000	Chefer inom företagstjänster och administration
C000022_sv_000	Ekonomichefer
C000023_sv_000	Personalchefer
C000024_sv_000	Förvaltnings- och planeringschefer
C000025_sv_000	Övriga chefer inom företagstjänster och administration
C000026_sv_000	Försäljnings-, marknads- och utvecklingschefer
C000027_sv_000	Försäljnings- och marknadschefer
C000028_sv_000	Informations-, kommunikations- och pr-chefer
C000029_sv_000	Forsknings- och utvecklingschefer
C000030_sv_000	Driftchefer inom tillverkning, utbildning, vård m.m.
C000031_sv_000	Driftchefer inom jordbruk, skogsbruk och fiske
C000032_sv_000	Driftchefer inom jordbruk och skogsbruk
C000033_sv_000	Driftchefer inom vattenbruk och fiske
C000034_sv_000	Chefer inom tillverkning, gruvdrift, byggverksamhet och distribution distributionschefer
C000035_sv_000	Chefer inom tillverkning
C000036_sv_000	Chefer inom gruvdrift
C000037_sv_000	Chefer inom bygg och anläggning
C000038_sv_000	Inköps- och distributionschefer m.fl.
C000039_sv_000	Chefer inom informations- och kommunikationsteknik (IKT)
C000040_sv_000	Chefer inom informations- och kommunikationsteknik (IKT)
C000041_sv_000	Chefer inom utbildning, vård, omsorg och finansiell verksamhet
C000042_sv_000	Chefer inom barnomsorg
C000043_sv_000	Chefer inom hälso- och sjukvård
C000044_sv_000	Chefer inom äldrevård
C000045_sv_000	Chefer inom socialtjänst
C000046_sv_000	Chefer inom utbildning
C000047_sv_000	Bank- och försäkringschefer
C000048_sv_000	Övriga chefer inom utbildning, vård, omsorg och finansiell verksamhet
C000049_sv_000	Chefer inom hotell och restaurang, handel och andra servicenäringar
C000050_sv_000	Hotell- och restaurangchefer
C000051_sv_000	Hotellchefer
C000052_sv_000	Restaurangchefer
C000053_sv_000	Chefer inom handel
C000054_sv_000	Chefer inom handel
C000055_sv_000	Chefer inom andra servicenäringar
C000056_sv_000	Chefer för sport-, fritids- och kulturcenter
C000057_sv_000	Övriga chefer inom servicenäringar
C000058_sv_000	Yrken med krav på fördjupad högskolekompetens
C000059_sv_000	Yrken med krav på fördjupad högskolekompetens inom naturvetenskap och teknik
C000060_sv_000	Fysiker, geologer m.fl.
C000061_sv_000	Fysiker och astronomer
C000062_sv_000	Meteorologer
C000063_sv_000	Kemister
C000064_sv_000	Geologer, geofysiker m.fl.
C000065_sv_000	Matematiker, aktuarier och statistiker
C000066_sv_000	Matematiker, aktuarier och statistiker
C000067_sv_000	Specialister inom biologi, jord- och skogsbruk m.m.
C000068_sv_000	Biologer, botanister, zoologer m.fl.
C000069_sv_000	Rådgivare inom jordbruk, skogsbruk och fiske
C000070_sv_000	Specialister inom miljöskydd
C000071_sv_000	Civilingenjörer m.fl. (utom elektroteknik)
C000072_sv_000	Civilingenjörer m.fl., industri och produktion
C000073_sv_000	Civilingenjörer m.fl., bygg och anläggning
C000074_sv_000	Civilingenjörer m.fl., miljöteknik
C000075_sv_000	Civilingenjörer m.fl., maskin
C000076_sv_000	Civilingenjörer m.fl., kemi
C000077_sv_000	Civilingenjörer m.fl., gruvteknik och metallurgi
C000078_sv_000	Övriga civilingenjörer m.fl.
C000079_sv_000	Civilingenjörer m.fl., elektroteknik
C000080_sv_000	Civilingenjörer m.fl., elkraft
C000081_sv_000	Civilingenjörer m.fl., elektronik
C000082_sv_000	Civilingenjörer m.fl., teleteknik
