Q000001	Klottersanerare
Q000002	SFI-lärare
Q000003	Vävlagare
Q000004	2:e Fartygsingenjör/2:e Maskinist
Q000005	Modersmålspedagog
Q000006	Arkivutredare
Q000007	EU-handläggare
Q000008	Brygghusarbetare
Q000009	Juvelerare
Q000010	Klinikveterinär
Q000011	Glasetsare
Q000012	Arbetsledare, ventilation
Q000013	Hyreskonsulent
Q000014	Verkmakare
Q000015	Fotograf
Q000016	Scrum master
Q000017	Linjereparatör, elkraft
Q000018	Krematoriemästare/Krematorieföreståndare
Q000019	Väskmakare
Q000020	Mätningsingenjör/MBK-ingenjör
Q000021	Kontrollmätare, virke
Q000022	SOS-operatör
Q000023	Elverksmontör
Q000024	Regiassistent
Q000025	Riksbibliotekarie
Q000026	Turbinmontör
Q000027	Auktionskommissarie
Q000028	HR-strateg
Q000029	Trafikplanerare, offentlig förvaltning
Q000030	Verkstadsmekaniker/Verkstadstekniker
Q000031	HR-konsult/PA-konsult
Q000032	Fiskeriintendent
Q000033	Fastighetsmäklare
Q000034	Stationsvärd
Q000035	Hovrättsråd
Q000036	Bostadsförvaltare
Q000037	Projektledare, el
Q000038	Lagerkontorist
Q000039	Miljö- och klimatstrateg
Q000040	Sjukhuskemist
Q000041	Hållbarhetsutvecklare
Q000042	Försäkringsrådgivare/Försäkringssäljare
Q000043	Character artist
Q000044	Eventpersonal
Q000045	Pumpreparatör
Q000046	Sandwichman
Q000047	Hårdlödare
Q000048	Sångpedagog
Q000049	Relationsmarknadsförare
Q000050	Resehandläggare
Q000051	HR business partner
Q000052	Kostymmästare
Q000053	Värmare, valsverk
Q000054	Försäkringshandläggare, försäkringskassa
Q000055	Studiotekniker
Q000056	Marknadskonsult
Q000057	Musikhandledare
Q000058	Finansanalytiker
Q000059	Civilingenjör, produktion, elektronik
Q000060	Platschef, försäkringskassa/Områdeschef, försäkringskassa
Q000061	Strukturkemist
Q000062	Artistagent/Artistbokare/Artistförmedlare
Q000063	Social media manager/Social media specialist
Q000064	Bokförläggare
Q000065	Serviceingenjör, maskin
Q000066	Spa-terapeut
Q000067	Glas- och porslinsmålare
Q000068	Sjöfartskontrollant/Hamnskyddskontrollant
Q000069	Begravningsentreprenör
Q000070	Besiktningstekniker, bilprovning
Q000071	Metallurg
Q000072	Charterresesäljare
Q000073	Avsynare, elteknik
Q000074	Flexotryckare
Q000075	Grävmaskinförare, skogsbruk
Q000076	Textilvårdare
Q000077	Arborrare
Q000078	Fogarbetare, hus och anläggning
Q000079	Gjutgodsrensare
Q000080	Personbilsförare, persontransporter
Q000081	Statistikkontorist
Q000082	Miljöinspektör
Q000083	Laboratoriediskare
Q000084	Belysningsmästare
Q000085	Teknikinformatör
Q000086	Tunneltågförare
Q000087	Eltekniker, järnväg/Kontaktledningsmontör
Q000088	Fotografagent
Q000089	Maskinställare
Q000090	Maskinsnickare, trävaruindustri/Operatör, trävaruindustri
Q000091	Matros, inre fart
Q000092	Industristädare
Q000093	Trafikledare, vägtrafik
Q000094	Skulptör
Q000095	Förvaltningsekonom
Q000096	Besiktningsingenjör, försäkring
Q000097	Forensiker, kemist
Q000098	Jurist, allmän domstol
Q000099	Fabrikselektriker
Q000100	Spaltmästare, garveri
Q000101	Sjöbevakningsassistent
Q000102	Repslagare
Q000103	Skolkurator
Q000104	Produktutvecklare
Q000105	Hårdvarukonstruktör
Q000106	Customer success manager
Q000107	Maskinskötare, mejeri
Q000108	Maskinoperatör, rökning
Q000109	Naprapat
Q000110	Barnmorska, ungdomsmottagning
Q000111	UI-designer
Q000112	Utvecklingschef
Q000113	Malmletare
Q000114	Forskare, trafiksäkerhet
Q000115	Tulltjänsteman
Q000116	Instrumentelektriker/Instrumenttekniker
Q000117	Kostymtekniker/Påklädare
Q000118	Djurskötare, djurpark
Q000119	Bankdirektör
Q000120	Bergsprängare
Q000121	Biträdande jurist
Q000122	Polissekreterare
Q000123	Turistbyråchef
Q000124	Museilektor
Q000125	Hjullastarförare, godshantering
Q000126	Linbaneskötare
Q000127	Bildproducent
Q000128	Verksamhetskonsult
Q000129	Infografiker/Nyhetsgrafiker
Q000130	Marknadskoordinator
Q000131	Kvalitetsingenjör, textil, trä, glas, förpackningar
Q000132	Limnolog
Q000133	Forskare, historia
Q000134	Arrendator, växtodling
Q000135	Hydrobiolog
Q000136	Mopedbud
Q000137	Blockgjutare
Q000138	Försäkringshandläggare
Q000139	Medlemsvärvare, intresseorganisation/Telefonkommunikatör
Q000140	Hotellreceptionist
Q000141	Landsbygdsutvecklare
Q000142	Fakir
Q000143	Arkivråd
Q000144	Processkemist
Q000145	Värmare, glas
Q000146	Gipsgjutare
Q000147	Grovarbetare, bygg och anläggning
Q000148	Ljudmixeroperatör
Q000149	Organisationsutvecklare
Q000150	Mättekniker, metallprodukter
Q000151	Länsjurist
Q000152	Forskare, cell- och molekylärbiologi
Q000153	Boutredningsman
Q000154	Designer
Q000155	Trädgårdsmästare, odling
Q000156	Marinbiolog
Q000157	Konstruktör, tillverkningsindustri
Q000158	Ljusdesigner
Q000159	Områdesförvaltare, fastighet
Q000160	Kvalitetsingenjör, elektronik/Kvalitetstekniker, elektronik
Q000161	Sjukhusdiakon
Q000162	Forskare, filosofi
Q000163	Scripta
Q000164	Ventilationsplåtslagare
Q000165	Larmoperatör
Q000166	Skadereglerare
Q000167	Rättstolk
Q000168	Trafiksamordnare
Q000169	Låssmed/Låstekniker
Q000170	Forskare, filmvetenskap
Q000171	Organisationschef
Q000172	Efterbearbetningsredaktör
Q000173	Excerpist
Q000174	Hovmästare
Q000175	Livsmedelstekniker
Q000176	Förman, snickeri
Q000177	Projekteringsingenjör, el-tele och elektronik
Q000178	Lingvist
Q000179	Lastare
Q000180	Produktutvecklingschef
