Mapping project name,ESCO – BE NOC,Unnamed: 2,Mapping project name.1,ESCO – BE NOC.1,,,,,,
Mapping project author,Nalantis nv,,Mapping project author,Nalantis nv,,,,,,
Mapping project version,V1.0,,Mapping project version,V1.0,,,,,,
Mapping project version date,2021-09-30,,Mapping project version date,2021-09-30,,,,,,
Classification 1 Name,Professions ESCO,,Classification 1 Name,Professions ESCO,,,,,,
Classification 1 Concept type,Occupation,,Classification 1 Concept type,Occupation,,,,,,
Classification 1 Version,1.0.3,,Classification 1 Version,1.0.3,,,,,,
Classification 1 Language,nl,,Classification 1 Language,nl,,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,,
Classification 2 Name,Competent2.0,,Classification 2 Name,Competent2.0,,,,,,
Classification 2 Concept type,occupation,,Classification 2 Concept type,occupation,,,,,,
Classification 2 Version,"3,8",,Classification 2 Version,3.8,,,,,,
Classification 2 Language,nl/fr,,Classification 2 Language,nl/fr,,,,,,
Classification 2 Landing page,https://competent.vdab.be/competent/#/,,Classification 2 Landing page,https://competent.vdab.be/competent/#/,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Classification 1 URI,Classification 1 ID,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 ID,Classification 2 PrefLabel NL,Classification 2 PrefLabel FR,Classification 2 URL,Mapping relation,Editorial Note,Classification 2 PrefLabel
00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166.4.7,inspiciënt,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,06e9b608-c338-4109-a2e0-01034dd89baa,OP-410,Productieverantwoordelijke podium/audiovisueel,Responsable production et technique en spectacle et l'audiovisuelle (h/f/x),,skos:narrowMatch,,Productieverantwoordelijke podium/audiovisueel
00030d09-2b3a-4efd-87cc-c4ea39d27c34,2166.4.7,inspiciënt,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,06e9b608-c338-4109-a2e0-01034dd89baa,OP-410,Productieverantwoordelijke podium/audiovisueel,Responsable production et technique en spectacle et l'audiovisuelle (h/f/x),,skos:narrowMatch,,Responsable production et technique en spectacle et l'audiovisuelle (h/f/x)
0019b951-c699-4191-8208-9822882d150c,7543.10.3,inspecteur precisie-instrumenten,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,9120ae69-1303-41b4-8c80-9a8ca2c4385a,OP-129,Technisch inspecteur industrie,Inspecteur de conformité (h/f/x),,skos:narrowMatch,,Technisch inspecteur industrie
0019b951-c699-4191-8208-9822882d150c,7543.10.3,inspecteur precisie-instrumenten,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,9120ae69-1303-41b4-8c80-9a8ca2c4385a,OP-129,Technisch inspecteur industrie,Inspecteur de conformité (h/f/x),,skos:narrowMatch,,Inspecteur de conformité (h/f/x)
0022f466-426c-41a4-ac96-a235c945cf97,3155.1,monteur veiligheidssystemen luchtvaart,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,f0cf1be6-f89b-42dd-9467-a3607ec3e5fb,OP-491,Technicus elektronische installaties,Technicien de maintenance en électronique industrielle (h/f/x),,skos:narrowMatch,,Technicus elektronische installaties
0022f466-426c-41a4-ac96-a235c945cf97,3155.1,monteur veiligheidssystemen luchtvaart,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,f0cf1be6-f89b-42dd-9467-a3607ec3e5fb,OP-491,Technicus elektronische installaties,Technicien de maintenance en électronique industrielle (h/f/x),,skos:narrowMatch,,Technicien de maintenance en électronique industrielle (h/f/x)
0044c991-c26f-4261-a213-4bd1c0564a4c,3212.2,biomedisch laboratoriummedewerker,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,fbb0d241-7b36-4751-acc5-4c2b4c593a05,OP-168,Medisch laboratorium technoloog,Technologue de laboratoire médical (h/f/x),,skos:narrowMatch,,Medisch laboratorium technoloog
0044c991-c26f-4261-a213-4bd1c0564a4c,3212.2,biomedisch laboratoriummedewerker,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,fbb0d241-7b36-4751-acc5-4c2b4c593a05,OP-168,Medisch laboratorium technoloog,Technologue de laboratoire médical (h/f/x),,skos:narrowMatch,,Technologue de laboratoire médical (h/f/x)
