Mapping project name,ESCO - CS NOC [1.0.9]
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-11-25
Classification 1 Name,Povolání ESCO
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.9
Classification 1 Language,cs
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Klasifikace zaměstnání CZ-ISCO
Classification 2 Concept type,unknown
Classification 2 Version,2020
Classification 2 Language,cs
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation,Editorial note
http://data.europa.eu/esco/occupation/351a0eb0-a1d0-49bd-a2f8-6dc447ddf316,projektový environmentální manažer pro potrubní dopravu/projektová environmentální manažerka pro potrubní dopravu,http://data.europa.eu/esco/occupation/351a0eb0-a1d0-49bd-a2f8-6dc447ddf316,2133.0,Specialisté v oblasti ochrany životního prostředí (kromě průmyslové ekologie),,skos:broadMatch,
http://data.europa.eu/esco/occupation/ceb1a21b-a6d5-49eb-a3f3-d53fec25d5f8,velkoobchodník s oděvy a obuví/velkoobchodnice s oděvy a obuví,http://data.europa.eu/esco/occupation/ceb1a21b-a6d5-49eb-a3f3-d53fec25d5f8,3324.0,Obchodní makléři,,skos:broadMatch,
http://data.europa.eu/esco/occupation/4b536ea7-ebac-4f75-8356-94eb639f1ecc,vedoucí tiskového studia,http://data.europa.eu/esco/occupation/4b536ea7-ebac-4f75-8356-94eb639f1ecc,3122.5,"Mistři a příbuzní pracovníci v dřevařství, papírenství a polygrafii",,skos:broadMatch,
http://data.europa.eu/esco/occupation/310ad9e0-ffc9-4980-b47c-1e856a404eff,obsluha destilačních zařízení v ropném průmyslu,http://data.europa.eu/esco/occupation/310ad9e0-ffc9-4980-b47c-1e856a404eff,8131.2,Obsluha strojů a zařízení pro zpracování ropy a zemního plynu,,skos:broadMatch,
http://data.europa.eu/esco/occupation/c5902c47-0c2e-45aa-94dd-951ad641449c,slévárenský formíř/slévárenská formířka,http://data.europa.eu/esco/occupation/c5902c47-0c2e-45aa-94dd-951ad641449c,7211.2,Formíři a jádraři ve slévárnách,,skos:broadMatch,
http://data.europa.eu/esco/occupation/b4c6d1b0-929e-48be-9f67-47bd8c30658b,pokrývač/pokrývačka,http://data.europa.eu/esco/occupation/b4c6d1b0-929e-48be-9f67-47bd8c30658b,7121.0,Pokrývači,,skos:exactMatch,
http://data.europa.eu/esco/occupation/bcc21c63-7eee-4520-8fa7-43eefd389668,technik v průmyslovém inženýrství/technička v průmyslovém inženýrství,http://data.europa.eu/esco/occupation/bcc21c63-7eee-4520-8fa7-43eefd389668,3119.4,"Technici přípravy a realizace investic, inženýringu v ostatních průmyslových oborech",,skos:narrowMatch,
http://data.europa.eu/esco/occupation/836f0a96-7546-4003-9fc8-714fc79199d4,externí inženýr/externí inženýrka,http://data.europa.eu/esco/occupation/836f0a96-7546-4003-9fc8-714fc79199d4,2149.4,"Inženýři přípravy a realizace investic, inženýringu v ostatních oborech",,skos:broadMatch,
http://data.europa.eu/esco/occupation/3d190639-90f8-4402-b1b3-a104a17e0d67,databázový integrátor/databázová integrátorka,http://data.europa.eu/esco/occupation/3d190639-90f8-4402-b1b3-a104a17e0d67,2521.0,Návrháři a správci databází,,skos:broadMatch,
http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,finanční manažer/finanční manažerka,http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,1211.1,Ekonomičtí a finanční náměstci (ředitelé),,skos:narrowMatch,
