,,,,,
Mapping project name,ESCO - Kompetenzenzsystematik,,,,
Mapping project author,Bundesagentur für Arbeit,,,,
Mapping project version,20220518,,,,
Mapping project version date,2022-05-18,,,,
Classification 1 Name,ESCO,,,,
Classification 1 Concept type,skill,,,,
Classification 1 Version,1.0.3,,,,
Classification 1 Language,de,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/skill,,,,
Classification 2 Name,Kompetenzsystematik,,,,
Classification 2 Concept type,skill,,,,
Classification 2 Version,20220518,,,,
Classification 2 Language,de,,,,
Classification 2 Landing page,,,,,
,,,,,
,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 2 ID,Classification 2 PrefLabel,Mapping relation,Editorial note
http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,"Strafvollzugsverfahren beaufsichtigen","K 030401-022","Strafvollzug",skos:narrowMatch,
http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,"Einhaltung von Vorschriften von Eisenbahnfahrzeugen überprüfen","K 0812-007","Schienenfahrzeugtechnik",skos:closeMatch,
http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,"verfügbare Dienste ermitteln","K 090003-005","Bewährungshilfe",skos:narrowMatch,
http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,"verfügbare Dienste ermitteln","K 090206-060","Rehabilitation",skos:narrowMatch,
http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,"toxologische Studien durchführen","K 090200-043","Klinische Pharmakologie und Toxikologie",skos:narrowMatch,
http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,"Einheitlichkeit von Kokillen gewährleisten","K 011102-024","Kokillengießen",skos:narrowMatch,
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,"Haskell","K 0705-117","Programmiersprache Haskell",skos:exactMatch,
http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,"Grundsätze der Diplomatie anwenden","K 0805-004","Außenpolitik",skos:closeMatch,
http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,"polizeiliche Ermittlungen leiten","K 030401-004","Ermitteln, Recherchieren (Rechtsverstöße)",skos:closeMatch,
http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,"mit den Abfällen der Fischernte umgehen","K 0008-000","Aquakultur",skos:narrowMatch,
http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,"mit den Abfällen der Fischernte umgehen","K 0008-006","Fischwirtschaft, Fischzucht",skos:narrowMatch,
http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,"mit den Abfällen der Fischernte umgehen","K 0609-014","Gewerbe-, Industriemüll",skos:closeMatch,
http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,"mit den Abfällen der Fischernte umgehen","K 0609-025","Tierkörperverwertung",skos:narrowMatch,
http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,"Energiesparkonzepte entwickeln","K 0610-003","Energieberatung",skos:narrowMatch,
http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,"Energiesparkonzepte entwickeln","K 0610-005","Energiemanagement",skos:narrowMatch,
