Mapping project name,ESCO - ESCOSTAR OCCs
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-21
Classification 1 Name,ESCO - stillingsbetegnelser
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,da
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,ESCOSTAR
Classification 2 Concept type,unknown
Classification 2 Version,09.06.2021
Classification 2 Language,da
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/c3fc5265-6333-483f-9339-b4b860efa08d,fiskeriobservatør,http://data.europa.eu/esco/occupation/c3fc5265-6333-483f-9339-b4b860efa08d,http://data.europa.eu/esco/concept/danish-occupations/3359.3,Fiskeribetjent,http://data.star.dk/esco/occupation/6d484bfe-0117-44db-b9fb-b9a2d6a37f0f,skos:exactMatch
http://data.europa.eu/esco/occupation/26087cc4-6226-41b0-9f97-9564ebe90dce,garderobepasser,http://data.europa.eu/esco/occupation/26087cc4-6226-41b0-9f97-9564ebe90dce,http://data.europa.eu/esco/concept/danish-occupations/9629.4,Garderobeassistent,http://data.star.dk/esco/occupation/3f8c0170-40c9-4c00-ac54-8b40d13eed75,skos:exactMatch
http://data.europa.eu/esco/occupation/4a375b68-88a0-4e5f-99ce-9b01341dfb81,materialetekniker,http://data.europa.eu/esco/occupation/4a375b68-88a0-4e5f-99ce-9b01341dfb81,http://data.europa.eu/esco/concept/danish-occupations/2149.9,Materialetekniker,http://data.star.dk/esco/occupation/bcfeffa0-3ca4-4d51-bd53-4c9cd9065fc4,skos:exactMatch
http://data.europa.eu/esco/occupation/680831bb-64fc-4fc8-ae58-c450327d9700,Leder med ansvar for bygninger og materiel,http://data.europa.eu/esco/occupation/680831bb-64fc-4fc8-ae58-c450327d9700,http://data.europa.eu/esco/concept/danish-occupations/1219.5,Facility manager,http://data.star.dk/esco/occupation/b666cfa5-8c3c-42a0-b073-1ef5dd5e3689,skos:exactMatch
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,serviceøkonom,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,http://data.europa.eu/esco/concept/danish-occupations/2431.9,Serviceøkonom,http://data.star.dk/esco/occupation/1861463b-0297-4586-83d9-2778c76e9afa,skos:exactMatch
http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,specialsygeplejerske,http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,http://data.europa.eu/esco/concept/danish-occupations/2221.3,Specialsygeplejerske,http://data.star.dk/esco/occupation/6e9d1841-8590-4624-9a1f-0817539e03ef,skos:exactMatch
http://data.europa.eu/esco/occupation/1aadb308-432a-4d01-b54b-b4f7f76dd419,bager,http://data.europa.eu/esco/occupation/1aadb308-432a-4d01-b54b-b4f7f76dd419,http://data.europa.eu/esco/concept/danish-occupations/7512.1,Bager,http://data.star.dk/esco/occupation/5171aa33-a3e2-4152-8cb6-9fb876bdddc0,skos:exactMatch
http://data.europa.eu/esco/occupation/cd94def5-3442-4c2e-ae3d-0761a3008bcb,lagerekspedient,http://data.europa.eu/esco/occupation/cd94def5-3442-4c2e-ae3d-0761a3008bcb,http://data.europa.eu/esco/concept/danish-occupations/9333.8.1,Lagerekspedient,http://data.star.dk/esco/occupation/be09b32b-b3d9-4cd7-bf34-d694d9debac1,skos:exactMatch
http://data.europa.eu/esco/occupation/082c234c-0dda-490a-b5af-757c3e48da90,professionel atlet,http://data.europa.eu/esco/occupation/082c234c-0dda-490a-b5af-757c3e48da90,http://data.europa.eu/esco/concept/danish-occupations/3421.1,"Sportsudøver, prof.",http://data.star.dk/esco/occupation/a7c6d492-02ef-4eb4-9c23-efbde9a0215b,skos:exactMatch
http://data.europa.eu/esco/occupation/a1c9f8b7-c4ce-4b15-ac3c-3378c300d8f2,fræser,http://data.europa.eu/esco/occupation/a1c9f8b7-c4ce-4b15-ac3c-3378c300d8f2,http://data.europa.eu/esco/concept/danish-occupations/7223.4.6,Fræser,http://data.star.dk/esco/occupation/60c470f8-40d9-40ac-9033-dd9e21e36327,skos:exactMatch
