Mapping project name,ESCO - EE NOC v.3
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-22
Classification 1 Name,ESCO ametirühmad ja ametid
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,et
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Töötukassa ametite klassifikaator
Classification 2 Concept type,unknown
Classification 2 Version,07.21
Classification 2 Language,et
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2,müügiesindaja,http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2,http://data.europa.eu/esco/concept/estonian-occupations/3322.0001,"müügiesindaja, müügikonsultant (va tehnika)",,skos:exactMatch
http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2,leitnant,http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2,http://data.europa.eu/esco/concept/estonian-occupations/0110.0000,"ohvitser, major vm kõrgem kaitseväelane",,skos:broadMatch
http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90,mereväeohvitser,http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90,http://data.europa.eu/esco/concept/estonian-occupations/0110.0000,"ohvitser, major vm kõrgem kaitseväelane",,skos:broadMatch
http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7,eskadrilliülem,http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7,http://data.europa.eu/esco/concept/estonian-occupations/0110.0000,"ohvitser, major vm kõrgem kaitseväelane",,skos:broadMatch
http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505,õhuväeohvitser,http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505,http://data.europa.eu/esco/concept/estonian-occupations/0110.0000,"ohvitser, major vm kõrgem kaitseväelane",,skos:broadMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,sõjaväeohvitser,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,http://data.europa.eu/esco/concept/estonian-occupations/0110.0000,"ohvitser, major vm kõrgem kaitseväelane",,skos:broadMatch
http://data.europa.eu/esco/occupation/9bf4c8ea-e814-4772-ae31-0f29672dc497,sõjaväekapten,http://data.europa.eu/esco/occupation/9bf4c8ea-e814-4772-ae31-0f29672dc497,http://data.europa.eu/esco/concept/estonian-occupations/0110.0000,"ohvitser, major vm kõrgem kaitseväelane",,skos:broadMatch
http://data.europa.eu/esco/occupation/c6e5e0e7-fa99-4f71-9fc1-9889d85282a5,sõjaväekindral,http://data.europa.eu/esco/occupation/c6e5e0e7-fa99-4f71-9fc1-9889d85282a5,http://data.europa.eu/esco/concept/estonian-occupations/0110.0000,"ohvitser, major vm kõrgem kaitseväelane",,skos:broadMatch
http://data.europa.eu/esco/occupation/e4c915ff-6c9c-4fa9-a8fb-09d0c67e30d4,sõjaväemajor,http://data.europa.eu/esco/occupation/e4c915ff-6c9c-4fa9-a8fb-09d0c67e30d4,http://data.europa.eu/esco/concept/estonian-occupations/0110.0000,"ohvitser, major vm kõrgem kaitseväelane",,skos:broadMatch
http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3,suurtükiväeohvitser,http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3,http://data.europa.eu/esco/concept/estonian-occupations/0110.0000,"ohvitser, major vm kõrgem kaitseväelane",,skos:broadMatch
