Mapping project name,ESCO - CO-SISPE
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-30
Classification 1 Name,Ocupaciones ESCO
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,es
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,CO-SISPE 2011
Classification 2 Concept type,occupations
Classification 2 Version,1
Classification 2 Language,es
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/93e4e70b-aae4-4fdc-8037-e48e7077564e,responsable de regulación del tráfico vial,http://data.europa.eu/esco/occupation/93e4e70b-aae4-4fdc-8037-e48e7077564e,24531012,INGENIEROS PLANIFICADORES DE TRÁFICO,,skos:exactMatch
http://data.europa.eu/esco/occupation/0dd7e6cd-2e5a-4fae-9ce0-6a3622d4019f,supervisor general de construcción/supervisora general de construcción,http://data.europa.eu/esco/occupation/0dd7e6cd-2e5a-4fae-9ce0-6a3622d4019f,32021062,JEFES DE TALLER Y/O ENCARGADOS DE TRABAJADORES DE ACABADO DE EDIFICIOS,,skos:narrowMatch
http://data.europa.eu/esco/occupation/8ba8acb8-c0f2-4679-ae15-3a4f6e876c6f,operador de laminador de plásticos/operadora de laminador de plásticos,http://data.europa.eu/esco/occupation/8ba8acb8-c0f2-4679-ae15-3a4f6e876c6f,81421037,OPERADORES DE MÁQUINA CALANDRADORA DE PLÁSTICO,,skos:closeMatch
http://data.europa.eu/esco/occupation/68d973df-bf10-4bf7-9a1b-fbd9f604b9db,bioinformático/bioinformática,http://data.europa.eu/esco/occupation/68d973df-bf10-4bf7-9a1b-fbd9f604b9db,24211224,BIOINFORMÁTICOS,,skos:exactMatch
http://data.europa.eu/esco/occupation/cbdb80db-c760-4b68-b074-88c397650ef5,redactor jefe/redactora jefa,http://data.europa.eu/esco/occupation/cbdb80db-c760-4b68-b074-88c397650ef5,29221053,"REDACTORES DE PRENSA, RADIO Y TELEVISIÓN",,skos:broadMatch
http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f,director de tecnología/directora de tecnología,http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f,13211026,"DIRECTORES DE DEPARTAMENTO DE SERVICIOS INFORMÁTICOS, EN GENERAL",,skos:broadMatch
http://data.europa.eu/esco/occupation/6565dc02-14e4-4819-b99c-44c352000f43,montador de equipos electrónicos/montadora de equipos electrónicos,http://data.europa.eu/esco/occupation/6565dc02-14e4-4819-b99c-44c352000f43,75311119,INSTALADORES DE EQUIPOS Y SISTEMAS ELECTRÓNICOS,,skos:closeMatch
http://data.europa.eu/esco/occupation/60528794-1a68-4440-a141-2df011be98be,gerente de tienda de antigüedades,http://data.europa.eu/esco/occupation/60528794-1a68-4440-a141-2df011be98be,14321030,GERENTES DE EMPRESA DE COMERCIO AL POR MENOR CON MENOS DE 10 ASALARIADOS,,skos:narrowMatch
http://data.europa.eu/esco/occupation/d051a141-92cd-4800-b0ee-6c8c31ea5838,operador de grúa/operadora de grúa,http://data.europa.eu/esco/occupation/d051a141-92cd-4800-b0ee-6c8c31ea5838,83321063,"CONDUCTORES-OPERADORES DE GRÚA FIJA, EN GENERAL",,skos:narrowMatch
http://data.europa.eu/esco/occupation/d36b66f8-c08a-4416-953b-62c271ca7509,gestor de cultivos hortícolas/gestora de cultivos hortícolas,http://data.europa.eu/esco/occupation/d36b66f8-c08a-4416-953b-62c271ca7509,61101102,TRABAJADORES AGRÍCOLAS DE TUBÉRCULOS Y RAÍCES,,skos:broadMatch
