Mapping project name,ESCO - ROME
Mapping project author,Pôle emploi - France
Mapping project version,V1.4
Mapping project version date,13/07/2022
Classification 1 Name,ESCO
Classification 1 Concept type,occupation
Classification 1 Version,1.1
Classification 1 Language,fr
Classification 1 Landing page,https://esco.ec.europa.eu/fr/classification/occupation_main
Classification 2 Name,ROME 
Classification 2 Concept type,occupation
Classification 2 Version,V3.0
Classification 2 Language,fr
Classification 2 Landing page,https://www.pole-emploi.fr/employeur/vos-recrutements/le-rome-et-les-fiches-metiers.html


classification 1 ID,classification 1 prefered label,classification 2 ID,classification 2 prefered label,mapping relation
http://data.europa.eu/esco/occupation/699057b7-7aeb-4b5c-bb90-01d935ff32c1,conducteur d'engins forestiers/conductrice d'engins forestiers,12862,Conducteur / Conductrice d'abatteuses,skos:broadMatch
http://data.europa.eu/esco/occupation/699057b7-7aeb-4b5c-bb90-01d935ff32c1,conducteur d'engins forestiers/conductrice d'engins forestiers,13197,Conducteur / Conductrice de tête d'abattage,skos:broadMatch
http://data.europa.eu/esco/occupation/1b8c75a9-407b-4554-a7d6-df391672c6b1,conducteur d'engins agricoles/conductrice d'engins agricoles,11987,Chauffeur / Chauffeuse de machines agricoles,skos:exactMatch
http://data.europa.eu/esco/occupation/1b8c75a9-407b-4554-a7d6-df391672c6b1,conducteur d'engins agricoles/conductrice d'engins agricoles,13201,Conducteur / Conductrice de tracteur,skos:broadMatch
http://data.europa.eu/esco/occupation/1b8c75a9-407b-4554-a7d6-df391672c6b1,conducteur d'engins agricoles/conductrice d'engins agricoles,13232,Conducteur / Conductrice de machines à vendanger,skos:broadMatch
http://data.europa.eu/esco/occupation/699057b7-7aeb-4b5c-bb90-01d935ff32c1,conducteur d'engins forestiers/conductrice d'engins forestiers,13248,Conducteur / Conductrice d'engins de débardage,skos:broadMatch
http://data.europa.eu/esco/occupation/1b8c75a9-407b-4554-a7d6-df391672c6b1,conducteur d'engins agricoles/conductrice d'engins agricoles,13254,Conducteur / Conductrice d'engins d'exploitation agricole,skos:exactMatch
http://data.europa.eu/esco/occupation/699057b7-7aeb-4b5c-bb90-01d935ff32c1,conducteur d'engins forestiers/conductrice d'engins forestiers,13255,Conducteur / Conductrice d'engins d'exploitation forestière,skos:exactMatch
http://data.europa.eu/esco/occupation/699057b7-7aeb-4b5c-bb90-01d935ff32c1,conducteur d'engins forestiers/conductrice d'engins forestiers,13256,Conducteur / Conductrice d'engins forestiers,skos:exactMatch
http://data.europa.eu/esco/occupation/699057b7-7aeb-4b5c-bb90-01d935ff32c1,conducteur d'engins forestiers/conductrice d'engins forestiers,13886,Débardeur / Débardeuse,skos:broadMatch
http://data.europa.eu/esco/occupation/699057b7-7aeb-4b5c-bb90-01d935ff32c1,conducteur d'engins forestiers/conductrice d'engins forestiers,13887,Débardeur forestier / Débardeuse forestière,skos:broadMatch
