Mapping project name,ESCO - HR NOC
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-21
Classification 1 Name,ESCO zanimanja
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.3
Classification 1 Language,hr
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Nacionalna klasifikacija zanimanja(NKZ)
Classification 2 Concept type,unknown
Classification 2 Version,NKZ98-SVE
Classification 2 Language,hr
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/16605833-c196-48d7-a6f5-bbdebdc353df,inženjer/inženjerka IKT pretprodaje,http://data.europa.eu/esco/occupation/16605833-c196-48d7-a6f5-bbdebdc353df,http://data.europa.eu/esco/concept/croatian-occupations/2131.71.7,Diplomirani inženjer/diplomirana inženjerka računalstva,,skos:broadMatch
http://data.europa.eu/esco/occupation/c7c3f05b-319b-4aa7-891e-78106f875de2,rukovatelj /rukovateljica strojem za dobivanje krutih sapuna,http://data.europa.eu/esco/occupation/c7c3f05b-319b-4aa7-891e-78106f875de2,http://data.europa.eu/esco/concept/croatian-occupations/8221.17.2,pomoćni rukovatelj/pomoćna rukovateljica strojem za peraća sredstva,,skos:exactMatch
http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,predavač/predavačica ekonomije,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,http://data.europa.eu/esco/concept/croatian-occupations/2441.51.8,Istraživač/istraživačica ekonomskih znanosti,,skos:closeMatch
http://data.europa.eu/esco/occupation/1aadb308-432a-4d01-b54b-b4f7f76dd419,pekar/pekarica,http://data.europa.eu/esco/occupation/1aadb308-432a-4d01-b54b-b4f7f76dd419,http://data.europa.eu/esco/concept/croatian-occupations/7412.12.5,"pekar, majstor/pekarica, majstorica",,skos:closeMatch
http://data.europa.eu/esco/occupation/4be03a63-0423-4e50-acbf-aec405bb0741,službenik/službenica za zrakoplovne informacije,http://data.europa.eu/esco/occupation/4be03a63-0423-4e50-acbf-aec405bb0741,http://data.europa.eu/esco/concept/croatian-occupations/4221.11.4,Šalterski službenik/šalterska službenica putničke agencije,,skos:broadMatch
http://data.europa.eu/esco/occupation/929b5c9d-2fbf-44f2-980d-2ac6c0dc212f,protetičar i ortotičar / protetičarka i ortotičarka,http://data.europa.eu/esco/occupation/929b5c9d-2fbf-44f2-980d-2ac6c0dc212f,http://data.europa.eu/esco/concept/croatian-occupations/7311.35.3,izrađivač/izrađivačica ortopedskih pomagala,,skos:closeMatch
http://data.europa.eu/esco/occupation/26e1add0-da3f-4ed6-aa91-791cb550146f,tehničar/tehničarka za mikrosustave,http://data.europa.eu/esco/occupation/26e1add0-da3f-4ed6-aa91-791cb550146f,http://data.europa.eu/esco/concept/croatian-occupations/3113.71.4,Elektrotehničar/elektrotehničarka,,skos:broadMatch
http://data.europa.eu/esco/occupation/84931290-ad27-45ad-b611-9556c5facbdb,asistent/asistentica organizatora konferencija i drugih događanja,http://data.europa.eu/esco/occupation/84931290-ad27-45ad-b611-9556c5facbdb,http://data.europa.eu/esco/concept/croatian-occupations/2419.15.7,Organizator/organizatorica poslovnih priredaba,,skos:closeMatch
http://data.europa.eu/esco/occupation/92df4ee3-bce3-45f6-a693-597df1b96f43,socijalni radnik/socijalna radnica za telefonsko savjetovanje,http://data.europa.eu/esco/occupation/92df4ee3-bce3-45f6-a693-597df1b96f43,http://data.europa.eu/esco/concept/croatian-occupations/2446.11.7,Diplomirani socijalni radnik/diplomirana socijalna radnica u centru,,skos:narrowMatch
http://data.europa.eu/esco/isco/C8181,Rukovatelji/rukovateljice staklarskim i keramičarskim strojevima i uređajima,http://data.europa.eu/esco/isco/C8181,http://data.europa.eu/esco/concept/croatian-occupations/8139.51.2,rukovatelj/rukovateljica strojem za miješanje abrazivne smjese,,skos:narrowMatch
http://data.europa.eu/esco/occupation/b680251e-b3c7-4029-9849-66a95081801c,financijski direktor banke/financijska direktorica banke,http://data.europa.eu/esco/occupation/b680251e-b3c7-4029-9849-66a95081801c,http://data.europa.eu/esco/concept/croatian-occupations/1227.11.0,Direktor/direktorica direkcije banke,,skos:closeMatch
http://data.europa.eu/esco/occupation/be0e6189-46a5-4b90-8622-2d1988efba1a,sastavljač/sastavljačica alatnih strojeva,http://data.europa.eu/esco/occupation/be0e6189-46a5-4b90-8622-2d1988efba1a,http://data.europa.eu/esco/concept/croatian-occupations/7233.42.5,"mehaničar/mehaničarka alatnih strojeva, majstor/majstorica",,skos:broadMatch
http://data.europa.eu/esco/occupation/09a9a956-db70-436f-8398-d85a17f6cdfe,najavljivač/najavljivačica programa,http://data.europa.eu/esco/occupation/09a9a956-db70-436f-8398-d85a17f6cdfe,http://data.europa.eu/esco/concept/croatian-occupations/3472.11.6,Najavljivač/najavljivačica programa,,skos:exactMatch
http://data.europa.eu/esco/occupation/db4057de-0c5a-4f68-8f81-2c0765978afb,voditelj/voditeljica osoblja za prijam i koordinaciju gostiju,http://data.europa.eu/esco/occupation/db4057de-0c5a-4f68-8f81-2c0765978afb,http://data.europa.eu/esco/isco/C1439,Direktori/direktorice uslužnih djelatnosti d. n.,,skos:broadMatch
