Mapping project name,ESCO - HU NOC
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-22
Classification 1 Name,ESCO foglalkozások
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,hu
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,"Foglalkozások Egységes Osztályozási Rendszere, 2008"
Classification 2 Concept type,unknown
Classification 2 Version,01.01.2011
Classification 2 Language,hu
Classification 2 Landing page,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/feorlista.html


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/isco/C2434,Információs és kommunikációs technológiák értékesítői,http://data.europa.eu/esco/isco/C2434,http://data.europa.eu/esco/concept/hungarian-occupations/2534,"Informatikai és telekommunikációs technológiai termékek értékesítését tervező, szervező",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/2/2534.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C1431,"Sport-, rekreációs és kulturális központok vezetői",http://data.europa.eu/esco/isco/C1431,http://data.europa.eu/esco/concept/hungarian-occupations/1336,Sport- és rekreációs tevékenységet folytató egység vezetője,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/1/1336.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C5164,Hobbiállat-gondozók és -kozmetikusok,http://data.europa.eu/esco/isco/C5164,http://data.europa.eu/esco/concept/hungarian-occupations/5292,"Hobbiállat-gondozó, -kozmetikus",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/5/5292.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C3433,"Kiállítótermi, múzeumi és könyvtári technikusok",http://data.europa.eu/esco/isco/C3433,http://data.europa.eu/esco/concept/hungarian-occupations/3717,Kulturális intézményi szaktechnikus,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/3/3717.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C7523,Famegmunkáló gépek beállítói és üzemeltetői,http://data.europa.eu/esco/isco/C7523,http://data.europa.eu/esco/concept/hungarian-occupations/7222,Faesztergályos,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/7/7222.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C3116,Vegyésztechnikusok,http://data.europa.eu/esco/isco/C3116,http://data.europa.eu/esco/concept/hungarian-occupations/3115,Vegyésztechnikus,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/3/3115.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C8342,Földmozgató és hasonló gépek kezelői,http://data.europa.eu/esco/isco/C8342,http://data.europa.eu/esco/concept/hungarian-occupations/8422,Földmunkagép és hasonló könnyű- és nehézgép kezelője,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/8/8422.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C5152,Házvezetők,http://data.europa.eu/esco/isco/C5152,http://data.europa.eu/esco/concept/hungarian-occupations/5242,Házvezető,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/5/5242.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C3354,Hatósági engedélyezési ügyintézők,http://data.europa.eu/esco/isco/C3354,http://data.europa.eu/esco/concept/hungarian-occupations/3654,Hatósági engedélyek kiadásával foglalkozó ügyintéző,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/3/3654.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C3121,Bányászati irányítók,http://data.europa.eu/esco/isco/C3121,http://data.europa.eu/esco/concept/hungarian-occupations/3211,"Bányászati szakmai irányító, felügyelő",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/3/3211.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C8155,Szőrme- és bőrkikészítő gépek kezelői,http://data.europa.eu/esco/isco/C8155,http://data.europa.eu/esco/concept/hungarian-occupations/8123,Bőrkikészítő és -feldolgozó gép kezelője és gyártósor mellett dolgozó,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/8/8123.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C7312,Hangszergyártók és hangolók,http://data.europa.eu/esco/isco/C7312,http://data.europa.eu/esco/concept/hungarian-occupations/7415,Hangszerkészítő,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/7/7415.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C3139,Folyamatirányító rendszerek máshová nem sorolható kezelő technikusai,http://data.europa.eu/esco/isco/C3139,http://data.europa.eu/esco/concept/hungarian-occupations/3159,"Egyéb folyamatirányító berendezés vezérlője ",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/3/3159.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C7224,"Fémcsiszolók, köszörűsök és szerszámköszörűsök",http://data.europa.eu/esco/isco/C7224,http://data.europa.eu/esco/concept/hungarian-occupations/7324,"Fémcsiszoló, köszörűs, szerszámköszörűs",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/7/7324.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C7515,Élelmiszer- és italkóstolók és -osztályozók,http://data.europa.eu/esco/isco/C7515,http://data.europa.eu/esco/concept/hungarian-occupations/7919,"Egyéb, máshova nem sorolható ipari és építőipari foglalkozású",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/7/7919.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C5241,Manökenek és egyéb modellek,http://data.europa.eu/esco/isco/C5241,http://data.europa.eu/esco/concept/hungarian-occupations/5122,Áru- és divatbemutató,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/5/5122.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C1112,Országos közigazgatási vezetők,http://data.europa.eu/esco/isco/C1112,http://data.europa.eu/esco/concept/hungarian-occupations/1123,Helyi önkormányzat kinevezett vezetője,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/1/1123.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C3154,Légiirányítók,http://data.europa.eu/esco/isco/C3154,http://data.europa.eu/esco/concept/hungarian-occupations/3173,Légiforgalmi irányító,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/3/3173.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C5153,Épületgondnokok,http://data.europa.eu/esco/isco/C5153,http://data.europa.eu/esco/concept/hungarian-occupations/5243,"Épületgondnok ",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/5/5243.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C3332,Konferencia- és rendezvényszervezők,http://data.europa.eu/esco/isco/C3332,http://data.europa.eu/esco/concept/hungarian-occupations/3631,Konferencia- és rendezvényszervező,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/3/3631.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C2330,Középiskolai tanárok,http://data.europa.eu/esco/isco/C2330,http://data.europa.eu/esco/concept/hungarian-occupations/2421,Középiskolai tanár,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/2/2421.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C4323,Szállítmányozási nyilvántartók,http://data.europa.eu/esco/isco/C4323,http://data.europa.eu/esco/concept/hungarian-occupations/4132,"Szállítási, szállítmányozási nyilvántartó",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/4/4132.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C9211,Képesítést nem igénylő növénytermesztési foglalkozásúak,http://data.europa.eu/esco/isco/C9211,http://data.europa.eu/esco/concept/hungarian-occupations/9331,Egyszerű mezőgazdasági foglalkozású,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/9/9331.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C1221,Értékesítési és marketingvezetők,http://data.europa.eu/esco/isco/C1221,http://data.europa.eu/esco/concept/hungarian-occupations/1415,Értékesítési és marketingtevékenységet folytató egység vezetője,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/1/1415.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C2353,Egyéb nyelvtanárok,http://data.europa.eu/esco/isco/C2353,http://data.europa.eu/esco/concept/hungarian-occupations/2492,Nyelvtanár (iskolarendszeren kívül),https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/2/2492.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C2310,Egyetemek és egyéb felsőoktatási intézmények oktatói,http://data.europa.eu/esco/isco/C2310,http://data.europa.eu/esco/concept/hungarian-occupations/2410,"Egyetemi, főiskolai oktató, tanár",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/2/2410.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C6122,Baromfitenyésztők,http://data.europa.eu/esco/isco/C6122,http://data.europa.eu/esco/concept/hungarian-occupations/6122,Baromfitartó és -tenyésztő,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/6/6122.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C3155,Légiközlekedés-biztonsági elektrotechnikusok,http://data.europa.eu/esco/isco/C3155,http://data.europa.eu/esco/concept/hungarian-occupations/3174,Légiforgalmi irányítástechnikai berendezések üzemeltetője,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/3/3174.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C2342,Óvodapedagógusok,http://data.europa.eu/esco/isco/C2342,http://data.europa.eu/esco/concept/hungarian-occupations/2432,"Csecsemő- és kisgyermeknevelő, óvodapedagógus",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/2/2432.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C8114,Cement- és más ásványitermék-gyártó gépek kezelői,http://data.europa.eu/esco/isco/C8114,http://data.europa.eu/esco/concept/hungarian-occupations/8143,"Cement-, kő- és egyéb ásványianyag-feldolgozó gép kezelője",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/8/8143.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C1321,Feldolgozóipari vezetők,http://data.europa.eu/esco/isco/C1321,http://data.europa.eu/esco/concept/hungarian-occupations/1312,Ipari tevékenységet folytató egység vezetője,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/1/1312.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C2519,"Máshová nem sorolható szoftver- és alkalmazásfejlesztők, -elemzők",http://data.europa.eu/esco/isco/C2519,http://data.europa.eu/esco/concept/hungarian-occupations/2149,"Egyéb szoftver- és alkalmazásfejlesztő, -elemző",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/2/2149.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C9312,Mélyépítő segédmunkások,http://data.europa.eu/esco/isco/C9312,http://data.europa.eu/esco/concept/hungarian-occupations/9321,Kubikos,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/9/9321.html,skos:narrowMatch
http://data.europa.eu/esco/occupation/f489b1ec-3d6c-44b1-b1d7-c6c97db7df30,erdőőr,http://data.europa.eu/esco/occupation/f489b1ec-3d6c-44b1-b1d7-c6c97db7df30,http://data.europa.eu/esco/concept/hungarian-occupations/6211,Erdészeti foglalkozású,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/6/6211.html,skos:broadMatch
http://data.europa.eu/esco/isco/C5230,Pénztárosok és jegyárusítók,http://data.europa.eu/esco/isco/C5230,http://data.europa.eu/esco/concept/hungarian-occupations/5117,"Bolti pénztáros, jegypénztáros",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/5/5117.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C3256,Orvosi asszisztensek,http://data.europa.eu/esco/isco/C3256,http://data.europa.eu/esco/concept/hungarian-occupations/3321,Általános egészségügyi asszisztens,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/3/3321.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C7113,"Kőfaragók, -vágók és -törők",http://data.europa.eu/esco/isco/C7113,http://data.europa.eu/esco/concept/hungarian-occupations/7536,"Kőfaragó, műköves",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/7/7536.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C2514,Alkalmazásfejlesztők,http://data.europa.eu/esco/isco/C2514,http://data.europa.eu/esco/concept/hungarian-occupations/2144,Alkalmazásprogramozó,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/2/2144.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C8182,Gőzgép- és kazánkezelők,http://data.europa.eu/esco/isco/C8182,http://data.europa.eu/esco/concept/hungarian-occupations/8323,Kazángépkezelő,https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/8/8323.html,skos:narrowMatch
http://data.europa.eu/esco/isco/C3434,Konyhafőnökök,http://data.europa.eu/esco/isco/C3434,http://data.europa.eu/esco/concept/hungarian-occupations/3222,"Konyhafőnök, séf",https://www.ksh.hu/docs/szolgaltatasok/hun/feor08/3/3222.html,skos:narrowMatch
