Mapping project name,ESCO - Lithuanian Classification of Occupations,,,,,
Mapping project author,Ministry of the Economy and Innovation of the Republic of Lithuania,,,,,
Mapping project version,V1.0,,,,,
Mapping project version date,2021-03-15,,,,,
Classification 1 Name,Profesijos ESCO,,,,,
Classification 1 Concept type,occupation,,,,,
Classification 1 Version,1.0.8,,,,,
Classification 1 Language,lt,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Lietuvos profesijų klasifikatorius,,,,,
Classification 2 Concept type,occupation,,,,,
Classification 2 Version,ESCO LPK,,,,,
Classification 2 Language,lt,,,,,
Classification 2 Landing page,http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011001,Generolas leitenantas {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011001,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011002,Generolas majoras {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011002,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011003,Brigados generolas {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011003,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011004,Pulkininkas {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011004,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011005,Pulkininkas leitenantas {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011005,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011006,Majoras {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011006,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011007,Kapitonas {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011007,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011008,Vyresnysis leitenantas {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011008,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011009,Leitenantas {karinės sausumos pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011009,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011010,Generolas leitenantas {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011010,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011011,Generolas majoras {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011011,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011012,Brigados generolas {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011012,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011013,Pulkininkas {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011013,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011014,Pulkininkas leitenantas {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011014,skos:narrowMatch
http://data.europa.eu/esco/isco/C0110,Ginkluotųjų pajėgų karininkai,http://data.europa.eu/esco/isco/C0110,011015,Majoras {karinės oro pajėgos},http://www.profesijuklasifikatorius.lt/?q=lt%2Fprofesijos_list&code=011015,skos:narrowMatch
