Mapping project name,ESCO - LV NOC v.2
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-30
Classification 1 Name,ESCO profesijas
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,lv
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Latvian - Latvijas Profesiju klasifikators
Classification 2 Concept type,unknown
Classification 2 Version,10.02.2021
Classification 2 Language,lv
Classification 2 Landing page,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/47c27a07-4657-42b7-adee-d805902c1ff8,bagarēšanas mašīnu operators,http://data.europa.eu/esco/occupation/47c27a07-4657-42b7-adee-d805902c1ff8,8342.01,Bagarēšanas mašīnu OPERATORS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=8342.01,skos:exactMatch
http://data.europa.eu/esco/occupation/985400a7-362f-4f91-941a-2e149d94ac2a,aluszinis,http://data.europa.eu/esco/occupation/985400a7-362f-4f91-941a-2e149d94ac2a,5131,Viesmīļi,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=5131,skos:broadMatch
http://data.europa.eu/esco/occupation/e6a3ce2e-c0f2-47a7-937a-61ae9abfe1fa,metroloģijas tehniķis,http://data.europa.eu/esco/occupation/e6a3ce2e-c0f2-47a7-937a-61ae9abfe1fa,3111.09,Metroloģijas TEHNIĶIS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=3111.09,skos:exactMatch
http://data.europa.eu/esco/occupation/b2dab4fb-b7f7-4f57-94b2-9c0f0848564a,izolētājs,http://data.europa.eu/esco/occupation/b2dab4fb-b7f7-4f57-94b2-9c0f0848564a,7124.03,Ēku SILTINĀTĀJS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=7124.03,skos:narrowMatch
http://data.europa.eu/esco/occupation/1b38a27d-ef98-4d9f-b1b2-8c109bf47e79,pasākumu vadītājs,http://data.europa.eu/esco/occupation/1b38a27d-ef98-4d9f-b1b2-8c109bf47e79,3435.23,Kultūras projektu VADĪTĀJS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=3435.23,skos:narrowMatch
http://data.europa.eu/esco/occupation/5a16dff6-ca31-4a39-85dd-4b5aa0f45419,vilcienu sastādītājs,http://data.europa.eu/esco/occupation/5a16dff6-ca31-4a39-85dd-4b5aa0f45419,8312.02,Vilcienu SASTĀDĪTĀJS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=8312.02,skos:exactMatch
http://data.europa.eu/esco/occupation/715b902f-b1b6-4366-afc6-ddb8ab715229,lauksaimniecības inspektors,http://data.europa.eu/esco/occupation/715b902f-b1b6-4366-afc6-ddb8ab715229,3359,Citur neklasificēti valsts varas īstenošanas speciālisti,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=3359,skos:broadMatch
http://data.europa.eu/esco/occupation/9c57263e-a38f-4c45-9265-a3c3e7cc2c5c,otu un suku izgatavotājs,http://data.europa.eu/esco/occupation/9c57263e-a38f-4c45-9265-a3c3e7cc2c5c,7317,"Koka, pinumu un tiem radniecīgu materiālu mākslas priekšmetu izgatavotāji",https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=7317,skos:broadMatch
http://data.europa.eu/esco/occupation/3b46ee4d-a220-4c83-ad90-937456596889,košļājamo gumiju ražošanas operators,http://data.europa.eu/esco/occupation/3b46ee4d-a220-4c83-ad90-937456596889,8160,Pārtikas un līdzīgu produktu ražošanas iekārtu operatori,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=8160,skos:broadMatch
http://data.europa.eu/esco/occupation/bcc2c1db-f969-4355-bebf-4878ff6c2a94,pakalpojumu vadītājs,http://data.europa.eu/esco/occupation/bcc2c1db-f969-4355-bebf-4878ff6c2a94,1219.12,Klientu apkalpošanas struktūrvienības VADĪTĀJA VIETNIEKS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=1219.12,skos:broadMatch
http://data.europa.eu/esco/occupation/ebff4fcf-6b69-4290-a55c-9bfe4cc7a1ef,zvejas rīku izgatavotājs,http://data.europa.eu/esco/occupation/ebff4fcf-6b69-4290-a55c-9bfe4cc7a1ef,6222.05,Zvejas rīku IZGATAVOTĀJS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=6222.05,skos:exactMatch
http://data.europa.eu/esco/occupation/a47f82d3-4cf7-4abf-bb36-2c8cbad28234,žurnālists,http://data.europa.eu/esco/occupation/a47f82d3-4cf7-4abf-bb36-2c8cbad28234,2642,Žurnālisti,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=2642,skos:broadMatch
http://data.europa.eu/esco/isco/C2145,Ķīmijas inženieri,http://data.europa.eu/esco/isco/C2145,2145.21,Suņu un kaķu barības ražošanas TEHNOLOGS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=2145.21,skos:narrowMatch
http://data.europa.eu/esco/occupation/4c313f2a-704e-4d3c-a7c2-98e1b93c9e94,biroja mēbeļu importa un eksporta vadītājs,http://data.europa.eu/esco/occupation/4c313f2a-704e-4d3c-a7c2-98e1b93c9e94,2431.06,Eksporta VADĪTĀJS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=2431.06,skos:narrowMatch
http://data.europa.eu/esco/occupation/3b6d4443-4518-4fb3-ae44-188a958e328d,investīciju starpnieks,http://data.europa.eu/esco/occupation/3b6d4443-4518-4fb3-ae44-188a958e328d,3311.03,Investīciju STARPNIEKS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=3311.03,skos:exactMatch
http://data.europa.eu/esco/occupation/8d703e8f-1e57-4246-8a6b-cb87a760d4ab,sociālais aprūpētājs,http://data.europa.eu/esco/occupation/8d703e8f-1e57-4246-8a6b-cb87a760d4ab,3412.01,Sociālais APRŪPĒTĀJS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=3412.01,skos:exactMatch
http://data.europa.eu/esco/occupation/0dae04a4-fa4c-40d3-8518-122cc0f7bfcf,tablešu granulēšanas iekārtas operators,http://data.europa.eu/esco/occupation/0dae04a4-fa4c-40d3-8518-122cc0f7bfcf,8131.14,Farmaceitiskās produkcijas ražošanas OPERATORS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=8131.14,skos:broadMatch
http://data.europa.eu/esco/isco/C3257,Vides un arodveselības inspektori un radniecīgu profesiju speciālisti,http://data.europa.eu/esco/isco/C3257,3257.05,Higiēnas DEZINFEKTORS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=3257.05,skos:narrowMatch
http://data.europa.eu/esco/isco/C3155,Gaisa satiksmes drošības elektronikas speciālisti,http://data.europa.eu/esco/isco/C3155,3155.17,Aviācijas mobilo sakaru INŽENIERIS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=3155.17,skos:narrowMatch
http://data.europa.eu/esco/occupation/f56e33a3-01bb-46ba-98f4-d47aa242b983,autotransporta nodaļas vadītājs,http://data.europa.eu/esco/occupation/f56e33a3-01bb-46ba-98f4-d47aa242b983,1324.08,Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (transporta jomā),https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=1324.08,skos:broadMatch
http://data.europa.eu/esco/occupation/211716b7-2857-40c8-a078-da983c78c70a,auto stiklu uzstādītājs,http://data.europa.eu/esco/occupation/211716b7-2857-40c8-a078-da983c78c70a,7125.01,STIKLINIEKS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=7125.01,skos:broadMatch
http://data.europa.eu/esco/occupation/b3b79192-f6e0-4aa0-92d1-f876508e05b3,kostīmu meistars,http://data.europa.eu/esco/occupation/b3b79192-f6e0-4aa0-92d1-f876508e05b3,7531.05,Kostīmu MEISTARS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=7531.05,skos:exactMatch
http://data.europa.eu/esco/occupation/5318abf2-2e7b-4d09-ae57-6bd500689ebc,veidņu izgatavotājs,http://data.europa.eu/esco/occupation/5318abf2-2e7b-4d09-ae57-6bd500689ebc,7211.01,Veidņu IZGATAVOTĀJS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=7211.01,skos:exactMatch
http://data.europa.eu/esco/occupation/632e61c8-4e4b-44c7-b213-6dd5a174b143,izplatīšanas vadītājs,http://data.europa.eu/esco/occupation/632e61c8-4e4b-44c7-b213-6dd5a174b143,1324.39,Loģistikas struktūrvienības VADĪTĀJS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=1324.39,skos:broadMatch
http://data.europa.eu/esco/occupation/8f9b20ff-86b3-478c-8054-73a220973d6f,automatizēto trošu ceļu iekārtu dispečers,http://data.europa.eu/esco/occupation/8f9b20ff-86b3-478c-8054-73a220973d6f,8343,Autoceltņu un citu kraušanas iekārtu operatori,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=8343,skos:broadMatch
http://data.europa.eu/esco/isco/C1213,Politikas un plānošanas vadītāji,http://data.europa.eu/esco/isco/C1213,1213.18,Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS (sabiedrības pārvaldes jomā),https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=1213.18,skos:narrowMatch
http://data.europa.eu/esco/isco/C4222,Apkalpošanas un informācijas centru darbinieki,http://data.europa.eu/esco/isco/C4222,4222.09,Telefonbankas OPERATORS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=4222.09,skos:narrowMatch
http://data.europa.eu/esco/isco/C1213,Politikas un plānošanas vadītāji,http://data.europa.eu/esco/isco/C1213,1213.05,Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (valsts pārvaldes jomā),https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=1213.05,skos:narrowMatch
http://data.europa.eu/esco/occupation/dbc88790-a8c1-4dc4-9507-8f9dcff9c990,dzinēju projektētājs,http://data.europa.eu/esco/occupation/dbc88790-a8c1-4dc4-9507-8f9dcff9c990,2144.09,Iekšdedzes dzinēju INŽENIERIS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=2144.09,skos:narrowMatch
http://data.europa.eu/esco/occupation/9729c0f3-c9bc-482e-ac59-a82ec3b67ba3,datu centra operators,http://data.europa.eu/esco/occupation/9729c0f3-c9bc-482e-ac59-a82ec3b67ba3,3522.06,Tālsakaru OPERATORS,https://www.lm.gov.lv/lv/klasifikacija/profesiju-klasifikators/profesiju-klasifikators-aktualizets-2021gada-22februari?search=3522.06,skos:narrowMatch
