Mapping project name,ESCO to Dutch NOC,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Mapping project author,default-author,,,,,
Mapping project version,,,,,,
Mapping project version date,22-8-2021,,,,,
Classification 1 Name,ESCO mapping,,,,,
Classification 1 Concept type,Occupation,,,,,
Classification 1 Version,1.0.3,,,,,
Classification 1 Language,nl,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation,,,,,
Classification 2 Name,Dutch NOC,,,,,
Classification 2 Concept type,occupations,,,,,
Classification 2 Version,21.1,,,,,
Classification 2 Language,nl,,,,,
Classification 2 Landing page,,,,,,
,,,,,,
,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/b87a7a27-ee74-4e5e-b274-84a3cab27bf4,import export manager,http://data.europa.eu/esco/occupation/b87a7a27-ee74-4e5e-b274-84a3cab27bf4,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/916d989e-0c5b-4c35-8d43-62ba65bebd30,import export specialist in agricultural machinery and equipment,http://data.europa.eu/esco/occupation/916d989e-0c5b-4c35-8d43-62ba65bebd30,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/e763dfa6-924d-493b-892a-6435e0cffe70,import export specialist in electrical household appliances,http://data.europa.eu/esco/occupation/e763dfa6-924d-493b-892a-6435e0cffe70,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/d694b54f-208a-4154-9fe1-d3d335992467,import export specialist in electronic and telecommunications equipment,http://data.europa.eu/esco/occupation/d694b54f-208a-4154-9fe1-d3d335992467,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/b789dae6-6c77-4f46-9253-098c424c92f2,"import export specialist in  fish, crustaceans and molluscs",http://data.europa.eu/esco/occupation/b789dae6-6c77-4f46-9253-098c424c92f2,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/3f2e63fb-dc50-4370-9f6a-85ddc338dcde,import export specialist in flowers and plants,http://data.europa.eu/esco/occupation/3f2e63fb-dc50-4370-9f6a-85ddc338dcde,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/39b4e367-94b5-49fe-bcd7-4b116865ca59,import export specialist in fruit and vegetables,http://data.europa.eu/esco/occupation/39b4e367-94b5-49fe-bcd7-4b116865ca59,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/99d97310-29ea-443e-96a1-892c8d86ce54,"import export specialist in furniture, carpets and lighting equipment",http://data.europa.eu/esco/occupation/99d97310-29ea-443e-96a1-892c8d86ce54,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/3ae7c42b-7929-402f-bcbc-882b8679abf4,"import export specialist in hardware, plumbing and heating equipment",http://data.europa.eu/esco/occupation/3ae7c42b-7929-402f-bcbc-882b8679abf4,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/f97dedb0-da68-4fc3-8bcc-3f4025ccacd3,"import export specialist in hides, skins and leather products",http://data.europa.eu/esco/occupation/f97dedb0-da68-4fc3-8bcc-3f4025ccacd3,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/64421dde-df97-4c42-a25a-b3bc55b39ad6,import export specialist in household goods,http://data.europa.eu/esco/occupation/64421dde-df97-4c42-a25a-b3bc55b39ad6,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/8099a96a-753b-49fc-a36a-d70b8aa9fdcf,import export specialist in live animals,http://data.europa.eu/esco/occupation/8099a96a-753b-49fc-a36a-d70b8aa9fdcf,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/322635c9-3d93-4280-a359-0b693df21e93,"import export specialist in agricultural raw materials, seeds and animal feeds",http://data.europa.eu/esco/occupation/322635c9-3d93-4280-a359-0b693df21e93,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/b53209fa-ba54-4a7a-b71c-bcc8014053ec,"import export specialist in machinery, industrial equipment, ships and aircraft",http://data.europa.eu/esco/occupation/b53209fa-ba54-4a7a-b71c-bcc8014053ec,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/ef937393-3382-438d-b570-399d44b5a41c,import export specialist in machine tools,http://data.europa.eu/esco/occupation/ef937393-3382-438d-b570-399d44b5a41c,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/33cd8ff4-62f2-4a3f-b053-6e009ecef6da,import export specialist in meat and meat products,http://data.europa.eu/esco/occupation/33cd8ff4-62f2-4a3f-b053-6e009ecef6da,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/e7117cdc-ee3d-45b0-9680-6b3a60c7c9b3,import export specialist in metals and metal ores,http://data.europa.eu/esco/occupation/e7117cdc-ee3d-45b0-9680-6b3a60c7c9b3,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/ba1e5427-46e0-4b6c-b196-5312d136dd3b,"import export specialist in mining, construction, civil engineering machinery",http://data.europa.eu/esco/occupation/ba1e5427-46e0-4b6c-b196-5312d136dd3b,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/621b7aa1-b678-49ee-8caa-91b496f8bc5b,import export specialist in office furniture,http://data.europa.eu/esco/occupation/621b7aa1-b678-49ee-8caa-91b496f8bc5b,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/c143d51a-5267-41a8-a73b-9022cf74c495,import export specialist in office machinery and equipment,http://data.europa.eu/esco/occupation/c143d51a-5267-41a8-a73b-9022cf74c495,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/ddac39cf-5d8b-416a-b24b-9ce3a8a4a668,import export specialist in perfume and cosmetics,http://data.europa.eu/esco/occupation/ddac39cf-5d8b-416a-b24b-9ce3a8a4a668,1000409808,Exportmanager,,skos:narrowMatch
http://data.europa.eu/esco/occupation/98588703-5f5c-41c6-a240-3411b6518b83,import export specialist in pharmaceutical goods,http://data.europa.eu/esco/occupation/98588703-5f5c-41c6-a240-3411b6518b83,1000409808,Exportmanager,,skos:narrowMatch
