Mapping project name,ESCO - PL NOC
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-30
Classification 1 Name,ESCO – filar zawodów
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.3
Classification 1 Language,pl
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Klasyfikacja zawodów I specjalności na potrzeby rynku pracy
Classification 2 Concept type,occupations
Classification 2 Version,2014
Classification 2 Language,pl
Classification 2 Landing page,http://psz.praca.gov.pl/documents/10240/6488358/Zal_KZiS%202014%20tekst%20jednolity%20Dz_U_z%202018%20poz_227.pdf/d4ce5442-1949-48b1-be05-021810ea9963


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/631e504f-0db4-4e03-bf90-3f00d550170f,technik technologii sensorów,http://data.europa.eu/esco/occupation/631e504f-0db4-4e03-bf90-3f00d550170f,311410,Technik mechatronik,,skos:broadMatch
http://data.europa.eu/esco/occupation/a1c9f8b7-c4ce-4b15-ac3c-3378c300d8f2,frezer,http://data.europa.eu/esco/occupation/a1c9f8b7-c4ce-4b15-ac3c-3378c300d8f2,722308,Operator obrabiarek sterowanych numerycznie,,skos:broadMatch
http://data.europa.eu/esco/occupation/2b318e09-1a5d-4d7f-85a7-fe78945fe917,brygadzista instalator sieci wodno-kanalizacyjnej,http://data.europa.eu/esco/occupation/2b318e09-1a5d-4d7f-85a7-fe78945fe917,312304,Mistrz produkcji w budownictwie ogólnym,,skos:broadMatch
http://data.europa.eu/esco/occupation/22f86890-f68b-402f-a711-3e6df4913271,maszynistka,http://data.europa.eu/esco/occupation/22f86890-f68b-402f-a711-3e6df4913271,413103,Operator edytorów tekstu,,skos:exactMatch
http://data.europa.eu/esco/occupation/949bccd9-e1d2-4c57-b787-53b451aa1354,wykonawca mebli wyplatanych,http://data.europa.eu/esco/occupation/949bccd9-e1d2-4c57-b787-53b451aa1354,818903,Operator maszyn i urządzeń wikliniarskich,,skos:closeMatch
http://data.europa.eu/esco/occupation/a950e88b-cb5e-4a7d-8a94-3f9460b487d7,inżynier ds. zgodności,http://data.europa.eu/esco/occupation/a950e88b-cb5e-4a7d-8a94-3f9460b487d7,214109,Specjalista kontroli jakości,,skos:broadMatch
http://data.europa.eu/esco/occupation/81f8d141-3f67-4fb0-a349-db0147ef7b3a,nauczyciel kształcenia zawodowego/nauczycielka kształcenia zawodowego,http://data.europa.eu/esco/occupation/81f8d141-3f67-4fb0-a349-db0147ef7b3a,232005,Nauczyciel przedmiotów zawodowych rolniczych i leśnych,,skos:narrowMatch
http://data.europa.eu/esco/occupation/2dcb5dad-1902-4051-9023-d725485479a7,akupunkturzysta/akupunkturzystka,http://data.europa.eu/esco/occupation/2dcb5dad-1902-4051-9023-d725485479a7,323001,Akupunkturzysta,,skos:exactMatch
http://data.europa.eu/esco/occupation/08984bec-31d8-4bb0-aa2f-d557761ff029,weterynarz specjalista,http://data.europa.eu/esco/occupation/08984bec-31d8-4bb0-aa2f-d557761ff029,225201,Lekarz weterynarii – specjalista chirurgii weterynaryjnej,,skos:narrowMatch
http://data.europa.eu/esco/occupation/af2f3615-63ab-44dc-957d-c9660410d336,monter konstrukcji stalowych,http://data.europa.eu/esco/occupation/af2f3615-63ab-44dc-957d-c9660410d336,722305,Operator maszyn i urządzeń do produkcji łożysk tocznych,,skos:narrowMatch
http://data.europa.eu/esco/occupation/aa9c6416-6a17-4e2f-a7c4-6d47c205d480,sprzedawca leków,http://data.europa.eu/esco/occupation/aa9c6416-6a17-4e2f-a7c4-6d47c205d480,228203,Farmaceuta – specjalista farmacji aptecznej,,skos:broadMatch
http://data.europa.eu/esco/occupation/21a33619-1959-42e6-8478-64a930f7f225,operator urządzeń do mieszania farb do skór,http://data.europa.eu/esco/occupation/21a33619-1959-42e6-8478-64a930f7f225,815502,Operator maszyn i urządzeń chemicznej obróbki skór,,skos:broadMatch
http://data.europa.eu/esco/occupation/a9c7a04d-807a-41b5-b441-87c73c73c9c5,filolog,http://data.europa.eu/esco/occupation/a9c7a04d-807a-41b5-b441-87c73c73c9c5,264302,Filolog języka nowożytnego,,skos:narrowMatch
http://data.europa.eu/esco/occupation/f20d3ae6-baeb-482c-b68d-c2fb115e5dde,asystent lotu steward,http://data.europa.eu/esco/occupation/f20d3ae6-baeb-482c-b68d-c2fb115e5dde,511101,Stewardesa / Steward,,skos:exactMatch
http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,główny księgowy,http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,121102,Kierownik biura rachunkowego,,skos:closeMatch
