Mapping project name,ESCO - RO NOC
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-30
Classification 1 Name,Ocupații ESCO
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,ro
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Classification of Occupations in Romania COR
Classification 2 Concept type,unknown
Classification 2 Version,ISCO 08
Classification 2 Language,ro
Classification 2 Landing page,http://data.europa.eu/esco/concept/romanian-occupation/http://www.mmuncii.ro/j33/index.php/ro/2014-domenii/munca/c-o-r/20-munca/c-o-r/46-cor-isco-08


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/bc659adc-f42c-4ef6-89fe-fd030033f446,cosmolog/cosmoloagă,http://data.europa.eu/esco/occupation/bc659adc-f42c-4ef6-89fe-fd030033f446,http://data.europa.eu/esco/concept/romanian-occupation/211101,fizician,,skos:exactMatch
http://data.europa.eu/esco/isco/C3512,Tehnicieni pentru asigurarea suportului tehnic pentru utilizatori,http://data.europa.eu/esco/isco/C3512,http://data.europa.eu/esco/concept/romanian-occupation/351201,programator ajutor,,skos:narrowMatch
http://data.europa.eu/esco/isco/C3512,Tehnicieni pentru asigurarea suportului tehnic pentru utilizatori,http://data.europa.eu/esco/isco/C3512,http://data.europa.eu/esco/concept/romanian-occupation/351202,analist ajutor,,skos:narrowMatch
http://data.europa.eu/esco/occupation/53ed8787-3423-4843-8c63-7be1877d29e2,ospătar șef/ospătăriță șefă,http://data.europa.eu/esco/occupation/53ed8787-3423-4843-8c63-7be1877d29e2,http://data.europa.eu/esco/concept/romanian-occupation/343401,sef de sala restaurant,,skos:exactMatch
http://data.europa.eu/esco/occupation/1009be17-7efd-45f1-a033-566bf179c588,bucătar șef/ bucătăreasă șefă,http://data.europa.eu/esco/occupation/1009be17-7efd-45f1-a033-566bf179c588,http://data.europa.eu/esco/concept/romanian-occupation/343403,bucatar - sef,,skos:exactMatch
http://data.europa.eu/esco/occupation/8f10ea9b-bfdf-4a4c-9fa7-b6e02daa93e5,patiser șef,http://data.europa.eu/esco/occupation/8f10ea9b-bfdf-4a4c-9fa7-b6e02daa93e5,http://data.europa.eu/esco/concept/romanian-occupation/343404,cofetar - sef,,skos:exactMatch
http://data.europa.eu/esco/occupation/2f5e38a0-6578-4665-bdbd-e2ab505be140,barman,http://data.europa.eu/esco/occupation/2f5e38a0-6578-4665-bdbd-e2ab505be140,http://data.europa.eu/esco/concept/romanian-occupation/343402,barman - sef,,skos:narrowMatch
http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,bucătar/bucătăreasă,http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,http://data.europa.eu/esco/concept/romanian-occupation/512001,bucatar,,skos:exactMatch
http://data.europa.eu/esco/occupation/a02a1117-212f-4a49-b21a-d3b971e00e48,bucătar preparare pizza/bucătăreasă preparare pizza,http://data.europa.eu/esco/occupation/a02a1117-212f-4a49-b21a-d3b971e00e48,http://data.europa.eu/esco/concept/romanian-occupation/512002,pizzar,,skos:closeMatch
http://data.europa.eu/esco/occupation/9ab80ce6-504f-474f-bb91-98163e9d45fd,bucătar dietetician,http://data.europa.eu/esco/occupation/9ab80ce6-504f-474f-bb91-98163e9d45fd,http://data.europa.eu/esco/concept/romanian-occupation/512003,bucatar specialist/ vegetarian/ dietetician,,skos:exactMatch
http://data.europa.eu/esco/occupation/d5db9d5c-2ebf-4a54-a79a-1b7e7ff70471,ospătar/ospătăriță,http://data.europa.eu/esco/occupation/d5db9d5c-2ebf-4a54-a79a-1b7e7ff70471,http://data.europa.eu/esco/concept/romanian-occupation/513101,ajutor ospatar,,skos:narrowMatch
http://data.europa.eu/esco/occupation/d5db9d5c-2ebf-4a54-a79a-1b7e7ff70471,ospătar/ospătăriță,http://data.europa.eu/esco/occupation/d5db9d5c-2ebf-4a54-a79a-1b7e7ff70471,http://data.europa.eu/esco/concept/romanian-occupation/513102,ospatar (chelner),,skos:exactMatch
http://data.europa.eu/esco/occupation/499f80e3-860c-48ef-8286-be929a93e254,somelier,http://data.europa.eu/esco/occupation/499f80e3-860c-48ef-8286-be929a93e254,http://data.europa.eu/esco/concept/romanian-occupation/513103,somelier,,skos:exactMatch
http://data.europa.eu/esco/occupation/2f5e38a0-6578-4665-bdbd-e2ab505be140,barman,http://data.europa.eu/esco/occupation/2f5e38a0-6578-4665-bdbd-e2ab505be140,http://data.europa.eu/esco/concept/romanian-occupation/513201,barman,,skos:exactMatch
http://data.europa.eu/esco/occupation/2f5e38a0-6578-4665-bdbd-e2ab505be140,barman,http://data.europa.eu/esco/occupation/2f5e38a0-6578-4665-bdbd-e2ab505be140,http://data.europa.eu/esco/concept/romanian-occupation/513202,barman preparator,,skos:narrowMatch
http://data.europa.eu/esco/occupation/e00c46c4-bd3c-4d88-8d30-fc6f951554bd,cofetar,http://data.europa.eu/esco/occupation/e00c46c4-bd3c-4d88-8d30-fc6f951554bd,http://data.europa.eu/esco/concept/romanian-occupation/751202,cofetar,,skos:exactMatch
http://data.europa.eu/esco/occupation/e1cf6897-158d-4b48-a39e-2a3a8cac216c,ajutor de bucătar/ajutoare de bucătar,http://data.europa.eu/esco/occupation/e1cf6897-158d-4b48-a39e-2a3a8cac216c,http://data.europa.eu/esco/concept/romanian-occupation/941101,ajutor bucatar,,skos:exactMatch
http://data.europa.eu/esco/occupation/f756fdab-7726-4c48-bfcc-94ff8810fc08,lucrător în bucătărie/lucrătoare în bucătărie,http://data.europa.eu/esco/occupation/f756fdab-7726-4c48-bfcc-94ff8810fc08,http://data.europa.eu/esco/concept/romanian-occupation/941201,lucrator bucatarie (spalator vase mari),,skos:narrowMatch
http://data.europa.eu/esco/occupation/79f8f68c-5509-4119-9373-8bef1c364d31,agent de voiaj/agentă de voiaj,http://data.europa.eu/esco/occupation/79f8f68c-5509-4119-9373-8bef1c364d31,http://data.europa.eu/esco/concept/romanian-occupation/422102,agent de turism,,skos:exactMatch
http://data.europa.eu/esco/occupation/5b9a678a-7c35-4c50-a804-754b82652ee6,agent de turism tour-operator,http://data.europa.eu/esco/occupation/5b9a678a-7c35-4c50-a804-754b82652ee6,http://data.europa.eu/esco/concept/romanian-occupation/422103,agent de turism tour-operator,,skos:exactMatch
http://data.europa.eu/esco/occupation/bdf2dd9d-6c92-46f4-a8e7-76c12302d3e7,agent de vânzare bilete de transport/agentă de vânzare bilete de transport,http://data.europa.eu/esco/occupation/bdf2dd9d-6c92-46f4-a8e7-76c12302d3e7,http://data.europa.eu/esco/concept/romanian-occupation/422104,agent de transport turistic intern,,skos:closeMatch
http://data.europa.eu/esco/occupation/bdf2dd9d-6c92-46f4-a8e7-76c12302d3e7,agent de vânzare bilete de transport/agentă de vânzare bilete de transport,http://data.europa.eu/esco/occupation/bdf2dd9d-6c92-46f4-a8e7-76c12302d3e7,http://data.europa.eu/esco/concept/romanian-occupation/422105,agent de transport international,,skos:closeMatch
http://data.europa.eu/esco/occupation/b5d76ddd-f59a-491a-9543-f6c0e2d8a950,consultant într-o agenție de turism touroperatoare/consultantă într-o agenție de turism touroperatoare,http://data.europa.eu/esco/occupation/b5d76ddd-f59a-491a-9543-f6c0e2d8a950,http://data.europa.eu/esco/concept/romanian-occupation/422106,agent de asistenta turistica,,skos:exactMatch
http://data.europa.eu/esco/occupation/79f8f68c-5509-4119-9373-8bef1c364d31,agent de voiaj/agentă de voiaj,http://data.europa.eu/esco/occupation/79f8f68c-5509-4119-9373-8bef1c364d31,http://data.europa.eu/esco/concept/romanian-occupation/422107,agent turism de afaceri,,skos:narrowMatch
http://data.europa.eu/esco/occupation/79f8f68c-5509-4119-9373-8bef1c364d31,agent de voiaj/agentă de voiaj,http://data.europa.eu/esco/occupation/79f8f68c-5509-4119-9373-8bef1c364d31,http://data.europa.eu/esco/concept/romanian-occupation/422111,agent de turism pentru circuite tematice,,skos:narrowMatch
http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,ghid,http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,http://data.europa.eu/esco/concept/romanian-occupation/511301,ghid de turism,,skos:closeMatch
http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,ghid,http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,http://data.europa.eu/esco/concept/romanian-occupation/511302,ghid de turism intern (local),,skos:closeMatch
http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,ghid,http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,http://data.europa.eu/esco/concept/romanian-occupation/511303,ghid national de turism (tour-operator),,skos:narrowMatch
http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,ghid,http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,http://data.europa.eu/esco/concept/romanian-occupation/511304,"ghid de turism montan, drumetie montana",,skos:narrowMatch
http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,ghid,http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,http://data.europa.eu/esco/concept/romanian-occupation/511306,"ghid habitat natural flora, fauna",,skos:narrowMatch
http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,ghid,http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,http://data.europa.eu/esco/concept/romanian-occupation/511307,ghid turism ornitologic,,skos:narrowMatch
http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,ghid,http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,http://data.europa.eu/esco/concept/romanian-occupation/511308,ghid turism speologic,,skos:narrowMatch
http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,ghid,http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,http://data.europa.eu/esco/concept/romanian-occupation/511309,ghid turism ecvestru,,skos:narrowMatch
http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,ghid,http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,http://data.europa.eu/esco/concept/romanian-occupation/511310,ghid de turism sportiv (alpinism si catarari pe stanci/ schi/ bob/ inot/canotaj/ iahting/ zbor cu aparate ultrausoare),,skos:narrowMatch
