Mapping project name,ESCO - SE NSC;
Mapping project author,default-author;
Mapping project version,N/A;
Mapping project version date,45243;
Classification 1 Name,Esco - kompetenser;
Classification 1 Concept type,Skills;
Classification 1 Version,1.0.9;
Classification 1 Language,sv;
Classification 1 Landing page,https://ec.europa.eu/esco/portal/skill;
Classification 2 Name,Swedish skills;
Classification 2 Concept type,Skill;
Classification 2 Version,21;
Classification 2 Language,sv;
Classification 2 Landing page,https://atlas.jobtechdev.se/;
,;
,;
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 PrefLabel,Classification 2 URL,Mapping relation,Editorial note;
http://data.europa.eu/esco/skill/6e53fd99-b646-4327-9580-ac062ab21188,3D-belysning,,http://data.jobtechdev.se/taxonomy/concept/yQcc_fTn_JL5,3D-modellering,,skos:broadMatch,;
http://data.europa.eu/esco/skill/6e53fd99-b646-4327-9580-ac062ab21188,3D-belysning,,http://data.jobtechdev.se/taxonomy/concept/dwm2_1V3_MpP,Animering,,skos:broadMatch,;
http://data.europa.eu/esco/skill/97965983-0da4-4902-9daf-d5cd2693ef73,3D-modellering,,http://data.jobtechdev.se/taxonomy/concept/AjDN_1rp_vzp,Tillverkningsindustri-CATIA,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/97965983-0da4-4902-9daf-d5cd2693ef73,3D-modellering,,http://data.jobtechdev.se/taxonomy/concept/yQcc_fTn_JL5,3D-modellering,,skos:exactMatch,;
http://data.europa.eu/esco/skill/3e7516dc-0f7c-4686-8b2f-fade4e5d21be,3D-texturering,,http://data.jobtechdev.se/taxonomy/concept/epWu_eeX_MJw,Texturering,,skos:broadMatch,;
http://data.europa.eu/esco/skill/2afb2b59-c9a3-4cf3-b1dd-1a2fad51e583,3D-utskriftsprocess,,http://data.jobtechdev.se/taxonomy/concept/XCdg_UJK_w2q,3D-printning,,skos:exactMatch,;
"http://data.europa.eu/esco/skill/eb0e5615-1575-4a86-a1a2-7d39595033c5,ABAP,,http://data.jobtechdev.se/taxonomy/concept/mQ42_W6G_AH5,""Abap, programmeringsspråk"",,skos:exactMatch,";
http://data.europa.eu/esco/skill/9a35cb50-8106-45f9-8aba-2df99dd6f913,ABBYY FineReader,,http://data.jobtechdev.se/taxonomy/concept/uic8_7Ar_HEA,Numerisk dataregistrering,,skos:broadMatch,;
http://data.europa.eu/esco/skill/9a35cb50-8106-45f9-8aba-2df99dd6f913,ABBYY FineReader,,http://data.jobtechdev.se/taxonomy/concept/5WVG_LVw_ZgL,Alfabetisk dataregistrering,,skos:broadMatch,;
"http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (lärplattform),,http://data.jobtechdev.se/taxonomy/concept/7Y6d_qDZ_Eyt,""Lärplattformar, erfarenhet"",,skos:broadMatch,";
http://data.europa.eu/esco/skill/f90d4810-8bac-4e5e-b870-3e35a4138ff7,acceptera eget ansvar,,,,,no relation,;
http://data.europa.eu/esco/skill/5e1ae060-3827-403b-b875-2f45a054ce03,acklimatisera trä,,http://data.jobtechdev.se/taxonomy/concept/kPkd_Eqr_TQV,Acklimatisera trä,,skos:exactMatch,;
http://data.europa.eu/esco/skill/da7d55a6-e768-4cfa-bb56-46a3eed5388d,adjuvant behandlings påverkan på strålbehandling,,http://data.jobtechdev.se/taxonomy/concept/hCoN_BA4_Vie,Radioterapi/Strålbehandling,,skos:broadMatch,;
http://data.europa.eu/esco/skill/49ef9f4c-3577-4780-ba2f-d068d1cde7bb,administrativa uppgifter i en medicinsk miljö,,http://data.jobtechdev.se/taxonomy/concept/Xw3d_9qU_TAj,Patientadministration,,skos:narrowMatch,;
http://data.europa.eu/esco/skill/468e27bb-d5fa-4062-9d22-97e0d7546717,administrera bedövningsmedel till patienter,,http://data.jobtechdev.se/taxonomy/concept/Xk3A_N4V_aAK,Anestesisjukvård,,skos:broadMatch,;
"http://data.europa.eu/esco/skill/21c5790c-0930-4d74-b3b0-84caf5af12ea,administrera budgetar,,http://data.jobtechdev.se/taxonomy/concept/7xQ7_Waf_rdY,""Driftansvar, bioraffinaderi"",,skos:broadMatch,";
"http://data.europa.eu/esco/skill/21c5790c-0930-4d74-b3b0-84caf5af12ea,administrera budgetar,,http://data.jobtechdev.se/taxonomy/concept/fF3d_pwB_naQ,""Verksamhetsledning, verkstad"",,skos:broadMatch,";
