Mapping project name,ESCO - SE NOC v.2
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-30
Classification 1 Name,Esco - yrken
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,sv
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Swedish Standard Classification of Occupations
Classification 2 Concept type,unknown
Classification 2 Version,05.21
Classification 2 Language,sv
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/23e692a9-a242-4d4f-988f-ed562f757864,tolk,http://data.europa.eu/esco/occupation/23e692a9-a242-4d4f-988f-ed562f757864,SNvc_SeK_9aH,Sjukvårdstolk,,skos:narrowMatch
http://data.europa.eu/esco/isco/C1343,Chefer inom äldrevård,http://data.europa.eu/esco/isco/C1343,J9hX_byC_fkn,Servicehusföreståndare,,skos:narrowMatch
http://data.europa.eu/esco/isco/C2269,Övriga hälso- och sjukvårdsspecialister,http://data.europa.eu/esco/isco/C2269,3EeV_kzS_zag,Naprapat,,skos:narrowMatch
http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,specialistsjuksköterska,http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,t3qY_aWP_PJB,Stomiterapeut,,skos:narrowMatch
http://data.europa.eu/esco/isco/C2636,Präster,http://data.europa.eu/esco/isco/C2636,nJLf_hR9_Rnp,Pastorsadjunkt,,skos:narrowMatch
http://data.europa.eu/esco/occupation/574f3232-1d07-4034-8cac-c57ddbfff192,analytisk kemist,http://data.europa.eu/esco/occupation/574f3232-1d07-4034-8cac-c57ddbfff192,KZsj_HrG_iKS,Analytisk kemist,,skos:exactMatch
http://data.europa.eu/esco/isco/C2635,Socialsekreterare och kuratorer,http://data.europa.eu/esco/isco/C2635,NzUp_Gcr_4Hw,Familjehemssekreterare,,skos:narrowMatch
http://data.europa.eu/esco/occupation/11833a96-fc27-4b03-a53d-892ac891a2bb,produktionstekniker,http://data.europa.eu/esco/occupation/11833a96-fc27-4b03-a53d-892ac891a2bb,rBpK_cfG_2v9,"Produktionsingenjör, bygg",,skos:exactMatch
http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,kemist,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,2HAP_3Fe_duM,Strukturkemist,,skos:narrowMatch
http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97,företagskonsult,http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97,yc4h_BH7_yq6,Företagskonsult,,skos:exactMatch
http://data.europa.eu/esco/occupation/6140be85-2d45-44b2-b0ba-412aadcead1e,genetiker,http://data.europa.eu/esco/occupation/6140be85-2d45-44b2-b0ba-412aadcead1e,Dhyj_JLZ_JA6,Ärftlighetsforskare,,skos:narrowMatch
http://data.europa.eu/esco/isco/C1343,Chefer inom äldrevård,http://data.europa.eu/esco/isco/C1343,iqE3_kXw_wPM,"Enhetschef, hemtjänst/Områdeschef, hemtjänst",,skos:narrowMatch
http://data.europa.eu/esco/occupation/21af40bb-2ae3-4fc7-9b28-d2cdd8308912,marknadskoordinator,http://data.europa.eu/esco/occupation/21af40bb-2ae3-4fc7-9b28-d2cdd8308912,3abF_Jyu_WtS,Marknadskoordinator,,skos:exactMatch
http://data.europa.eu/esco/isco/C2266,Audiologer och logopeder,http://data.europa.eu/esco/isco/C2266,hEZU_XUN_X3b,Audionom,,skos:narrowMatch
http://data.europa.eu/esco/isco/C2432,"Informatörer, kommunikatörer och PR-specialister",http://data.europa.eu/esco/isco/C2432,64i5_ex4_BP9,Kommunikationsstrateg,,skos:narrowMatch
http://data.europa.eu/esco/isco/C1112,Högre ämbetsmän,http://data.europa.eu/esco/isco/C1112,1YZp_JJt_Nen,Riksbibliotekarie,,skos:narrowMatch
http://data.europa.eu/esco/occupation/9703fe09-51fd-4d00-a2a1-99ba809521ac,"butikschef, idrotts- och fritidsutrustning",http://data.europa.eu/esco/occupation/9703fe09-51fd-4d00-a2a1-99ba809521ac,WWVG_4sM_faC,Butikschef,,skos:broadMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,husdjursagronom,http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,6FK9_Dya_PEL,Husdjursrådgivare/Husdjurskonsulent,,skos:exactMatch
http://data.europa.eu/esco/occupation/b1c80369-067e-4041-84c8-dbe65640a5d8,IKT-konsult,http://data.europa.eu/esco/occupation/b1c80369-067e-4041-84c8-dbe65640a5d8,6CfM_iwp_hDJ,"Verksamhetskonsult, IT",,skos:exactMatch
http://data.europa.eu/esco/occupation/d1b1dfdf-7d60-430a-b569-7dd71b2ebeaa,kostymdesigner,http://data.europa.eu/esco/occupation/d1b1dfdf-7d60-430a-b569-7dd71b2ebeaa,PhYb_nma_zEu,Kostymdesigner/Kostymtecknare,,skos:exactMatch
http://data.europa.eu/esco/isco/C3123,Arbetsledare inom bygg och anläggning,http://data.europa.eu/esco/isco/C3123,k7aW_toR_PPm,"Arbetsledare, husbyggnad",,skos:narrowMatch
http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505,flygvapenofficer,http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505,fsDP_fPf_xfC,Officer,,skos:broadMatch
http://data.europa.eu/esco/occupation/cc844eb8-c81d-40ff-af3d-119700e60f23,kostymör,http://data.europa.eu/esco/occupation/cc844eb8-c81d-40ff-af3d-119700e60f23,PhYb_nma_zEu,Kostymdesigner/Kostymtecknare,,skos:closeMatch
http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,riksdagsledamot,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,ejV5_Uzv_U6k,Riksdagsledamot,,skos:exactMatch
http://data.europa.eu/esco/isco/C2153,"Civilingenjörer m.fl., teleteknik",http://data.europa.eu/esco/isco/C2153,Fy1A_qaK_t5R,"Besiktningsingenjör, el-tele",,skos:narrowMatch
http://data.europa.eu/esco/occupation/de80bbf0-447d-4a6a-845a-fdba4e0dc30c,varumärkeschef,http://data.europa.eu/esco/occupation/de80bbf0-447d-4a6a-845a-fdba4e0dc30c,zLyw_T7R_jsv,Marknadsundersökare,,skos:exactMatch
http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,universitets- och högskolelektor,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,9kWY_X1U_RyC,Universitets- och högskolelektor,,skos:exactMatch
http://data.europa.eu/esco/occupation/93e4e70b-aae4-4fdc-8037-e48e7077564e,trafikplanerare,http://data.europa.eu/esco/occupation/93e4e70b-aae4-4fdc-8037-e48e7077564e,1awg_QKB_bkw,"Trafikplanerare, offentlig förvaltning",,skos:exactMatch
http://data.europa.eu/esco/isco/C2511,Systemutvecklare och analytiker,http://data.europa.eu/esco/isco/C2511,WoBk_fWz_nrt,GIS-utvecklare,,skos:narrowMatch
http://data.europa.eu/esco/occupation/a79e7622-2307-44e2-94cc-d1ff1caf655a,"direktör, ungdomsprogram",http://data.europa.eu/esco/occupation/a79e7622-2307-44e2-94cc-d1ff1caf655a,fDGH_PER_r6n,Chefer inom socialtjänst,,skos:broadMatch
