Mapping project name,ESCO - SI NOC
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-06-03
Classification 1 Name,Poklici ESCO
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,sl
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Slovenščina poklice
Classification 2 Concept type,Occupation
Classification 2 Version,07.2021
Classification 2 Language,sl
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,5,Častnik,,skos:exactMatch
http://data.europa.eu/esco/occupation/bbd1fe06-1b55-4937-9317-fc162311ab38,brigadir/brigadirka,http://data.europa.eu/esco/occupation/bbd1fe06-1b55-4937-9317-fc162311ab38,5,Častnik,,skos:broadMatch
http://data.europa.eu/esco/occupation/e4c915ff-6c9c-4fa9-a8fb-09d0c67e30d4,major/majorka,http://data.europa.eu/esco/occupation/e4c915ff-6c9c-4fa9-a8fb-09d0c67e30d4,5,Častnik,,skos:broadMatch
http://data.europa.eu/esco/occupation/b864c9a3-ef6e-46a0-a40c-66188f74dfa7,polkovnik/polkovnica,http://data.europa.eu/esco/occupation/b864c9a3-ef6e-46a0-a40c-66188f74dfa7,5,Častnik,,skos:broadMatch
http://data.europa.eu/esco/occupation/9bf4c8ea-e814-4772-ae31-0f29672dc497,stotnik/stotnica,http://data.europa.eu/esco/occupation/9bf4c8ea-e814-4772-ae31-0f29672dc497,5,Častnik,,skos:broadMatch
http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2,poročnik/poročnica,http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2,5,Častnik,,skos:broadMatch
http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3,artilerijski častnik/artilerijska častnica,http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3,2380,Častnik artilerije,,skos:exactMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2381,Častnik informatike,,skos:narrowMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2382,Častnik inženirstva,,skos:narrowMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2383,Častnik JRKBO,,skos:narrowMatch
http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505,častnik/častnica letalstva,http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505,2384,Častnik letalstva,,skos:exactMatch
http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7,poveljnik/poveljnica eskadrilje,http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7,2384,Častnik letalstva,,skos:broadMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2385,Častnik nadzora zračnega prostora,,skos:narrowMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,vojaški častnik/vojaška častnica,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,2386,Častnik oklepnih enot,,skos:narrowMatch
