Mapping project name,ESCO - SK NOC
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-06-07
Classification 1 Name,Povolania ESCO
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.8
Classification 1 Language,sk
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Klasifikácia zamestnaní SK ISCO-08
Classification 2 Concept type,unknown
Classification 2 Version,2020
Classification 2 Language,sk
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
http://data.europa.eu/esco/occupation/319f9864-7f13-4b0c-a827-d50295e239ad,technik/technička vykonávajúca prenos zvieracieho embrya,http://data.europa.eu/esco/occupation/319f9864-7f13-4b0c-a827-d50295e239ad,3240.003,Inseminačný technik,,skos:broadMatch
http://data.europa.eu/esco/occupation/96514fed-b9a9-4df3-ab0b-20676369297d,operátor/operátorka lisu na plasty,http://data.europa.eu/esco/occupation/96514fed-b9a9-4df3-ab0b-20676369297d,8142.000,Operátor stroja na výrobu výrobkov z plastov,,skos:broadMatch
http://data.europa.eu/esco/occupation/0da75680-fbf9-44d8-802a-ac12eb425a34,biotechnik/biotechnička,http://data.europa.eu/esco/occupation/0da75680-fbf9-44d8-802a-ac12eb425a34,3141,Technici v oblasti biologických vied (okrem medicíny),,skos:broadMatch
http://data.europa.eu/esco/occupation/3a4c4e33-ee34-4abe-ba5c-26f9037d292f,regionálny obchodný manažér/regionálna obchodná manažérka,http://data.europa.eu/esco/occupation/3a4c4e33-ee34-4abe-ba5c-26f9037d292f,1420,Riadiaci pracovníci (manažéri) vo veľkoobchode a maloobchode,,skos:broadMatch
http://data.europa.eu/esco/occupation/2a22ff9e-de3b-408d-b312-5034896cc4f4,tesár/tesárka,http://data.europa.eu/esco/occupation/2a22ff9e-de3b-408d-b312-5034896cc4f4,7522.003,"Stolár, výrobca drevených konštrukcií",,skos:closeMatch
http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8,odborný referent/odborná referentka,http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8,2635.014,Špecialista v oblasti politiky zamestnanosti a ochrany práce,,skos:narrowMatch
http://data.europa.eu/esco/occupation/974d4eab-fbee-4c52-b16e-73bdd8c25b53,právnik/právnička,http://data.europa.eu/esco/occupation/974d4eab-fbee-4c52-b16e-73bdd8c25b53,2611.010,Špecialista v oblasti medzinárodného práva,,skos:narrowMatch
http://data.europa.eu/esco/occupation/4ac3c3a0-eb56-491f-8d21-1e5539a05b54,cvičiteľ/cvičiteľka koní,http://data.europa.eu/esco/occupation/4ac3c3a0-eb56-491f-8d21-1e5539a05b54,5164.004,Tréner koní,,skos:exactMatch
http://data.europa.eu/esco/occupation/aaf732b5-ee19-4c82-a08f-700fb98f5ca7,úradník/úradníčka výdaja cestovných dokladov,http://data.europa.eu/esco/occupation/aaf732b5-ee19-4c82-a08f-700fb98f5ca7,3354,Odborní pracovníci v oblasti udeľovania licencií a iných oprávnení,,skos:broadMatch
http://data.europa.eu/esco/occupation/41a51397-089d-459d-9b7e-f1cdee5ad6bb,dekoratívny maliar/dekoratívna maliarka,http://data.europa.eu/esco/occupation/41a51397-089d-459d-9b7e-f1cdee5ad6bb,7316.002,Dekoratér skla,,skos:narrowMatch
http://data.europa.eu/esco/occupation/574f46e2-e48d-4cde-a7b1-877004ea4c52,vedúci/vedúca predajne železiarskeho tovaru a farieb,http://data.europa.eu/esco/occupation/574f46e2-e48d-4cde-a7b1-877004ea4c52,1420.000,Riadiaci pracovník (manažér) obchodnej prevádzky,,skos:broadMatch
http://data.europa.eu/esco/occupation/99ebf2c2-1811-4c77-b2e6-7008cba29ea0,veterinárny technik/veterinárna technička,http://data.europa.eu/esco/occupation/99ebf2c2-1811-4c77-b2e6-7008cba29ea0,3240.002,Úradný veterinárny asistent,,skos:narrowMatch
http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,poradca/poradkyňa v oblasti chovu hospodárskych zvierat,http://data.europa.eu/esco/occupation/e1fdca51-a0e1-4bea-822f-82a090ece780,2132.013,Špecialista v oblasti plemenárskej práce a šľachtenia zvierat,,skos:narrowMatch
http://data.europa.eu/esco/occupation/53d2052f-edc0-4f44-8be1-164526412bfe,priemyselný inžinier/priemyselná inžinierka,http://data.europa.eu/esco/occupation/53d2052f-edc0-4f44-8be1-164526412bfe,2141.037,Špecialista technológ vo výrobe stavebných materiálov,,skos:narrowMatch
http://data.europa.eu/esco/occupation/fcf9024e-277c-43c7-8ec8-8903e5c9c576,špecialista/špecialistka v oblasti vodných stavieb a vodného hospodárstva,http://data.europa.eu/esco/occupation/fcf9024e-277c-43c7-8ec8-8903e5c9c576,3132.014,"Hrádzny, hatiar",,skos:closeMatch
http://data.europa.eu/esco/occupation/823db06f-25e1-4658-b063-d6ef956b41f5,manažér/manažérka logistiky a distribúcie,http://data.europa.eu/esco/occupation/823db06f-25e1-4658-b063-d6ef956b41f5,1324.009,Riadiaci pracovník (manažér) v poštových službách,,skos:closeMatch
