Mapping project name,ESCO - VDAB Competences,,,,,,,,,
Mapping project author,Nalantis nv,,,,,,,,,
Mapping project version,V1.0,,,,,,,,,
Mapping project version date,44355,,,,,,,,,
Classification 1 Name,ESCO competences,,,,,,,,,
Classification 1 Concept type,Competence,,,,,,,,,
Classification 1 Version,V1.0.3,,,,,,,,,
Classification 1 Language,nl,,,,,,,,,
Classification 1 Landing page,https://ec.europa.eu/esco/portal/skill,,,,,,,,,
Classification 2 Name,VDAB competences,,,,,,,,,
Classification 2 Concept type,competence,,,,,,,,,
Classification 2 Version,Competent 3.8,,,,,,,,,
Classification 2 Language,fr/nl,,,,,,,,,
Classification 2 Landing page,https://competent.vdab.be/competent,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Classification 1 URI,Classification 1 ID,Classification 1 PrefLabel,Classification 1 URL,Classification 2 URI,Classification 2 ID,Classification 2 PrefLabel FR,Classification 2 PrefLabel NL,Classification 2 URL,Mapping Relation,Editorial Note
60e0ed61-6340-4372-984a-416d1fe0010c,,fysiologie van dieren,http://data.europa.eu/esco/skill/60e0ed61-6340-4372-984a-416d1fe0010c,4c176557-f62f-4317-9da0-5a582cf5913c,KN-10,Physiologie animale,Dierlijke fysiologie,,skos:exactMatch,
e2bb641f-f647-4229-a48e-9a5ef3526c23,,zorgen voor de veiligheid van bedreigde soorten en beschermde gebieden,http://data.europa.eu/esco/skill/e2bb641f-f647-4229-a48e-9a5ef3526c23,356b3ac3-23a5-40c0-8c54-9baf987be436,KN-100,Réglementation des espaces et espèces protégés,Reglementering van beschermde gebieden en soorten,,skos:narrowMatch,
138aecdf-1b02-4ffc-81c4-0a0461b4f3c0,,metallurgische structurele analyse uitvoeren,http://data.europa.eu/esco/skill/138aecdf-1b02-4ffc-81c4-0a0461b4f3c0,509b36be-3b8e-4300-abc3-97e6c158c8b3,KN-1000,Métallographie,Metallografie,,skos:closeMatch,
19858dd3-a5fe-4855-b644-6ecfefd1c384,,timmerwerk,http://data.europa.eu/esco/skill/19858dd3-a5fe-4855-b644-6ecfefd1c384,06579993-cc75-4f32-8b0e-b28d26849b7e,KN-10001,Menuiserie intérieure,Binnenschrijnwerk,,skos:broadMatch,
989dc903-5838-4d84-8e04-e5b7a2ba97c5,,veiligheidsbeheer toepassen,http://data.europa.eu/esco/skill/989dc903-5838-4d84-8e04-e5b7a2ba97c5,ae6b0d07-7449-4da5-bf17-9cf51592ee28,KN-10021,Procédures de démarrage et d'arrêt,Start- en stopprocedures,,skos:broadMatch,
1f857013-3fbc-4205-b904-fe6506744687,,fabricageprocessen van lederwaren,http://data.europa.eu/esco/skill/1f857013-3fbc-4205-b904-fe6506744687,1cf046cb-f818-4399-b63d-1854fe6a44c2,KN-1004,"Formules de mélanges de produits (tannage végétal, nourriture, ...)","Formules voor productmenging (plantaardige looiing, voeding, ...)",,skos:broadMatch,
705f5906-9b08-4562-9544-46f6ab944a7e,,bosbehoud,http://data.europa.eu/esco/skill/705f5906-9b08-4562-9544-46f6ab944a7e,15d7ac5b-bbdd-4cf9-80e3-10a906491997,KN-10041,Gestion durable des forêts et la certification,Duurzaam bosbeheer en certificering,,skos:broadMatch,
269b7ddb-f615-470b-998f-07940725c72e,,leertechnologie,http://data.europa.eu/esco/skill/269b7ddb-f615-470b-998f-07940725c72e,5d275c77-53dd-4a2c-8d29-4b861cc47366,KN-1006,Echarnage manuel,Manueel ontvlezen,,skos:broadMatch,
089ddb19-1c7a-43ff-ba64-070f7ce4787a,,opslagactiviteiten,http://data.europa.eu/esco/skill/089ddb19-1c7a-43ff-ba64-070f7ce4787a,4dd37f2c-8714-46de-83b9-1af85421904e,KN-10061,Technique de stockage et d'empilage,Opslag- en stapeltechnieken,,skos:narrowMatch,
88b406d0-72e2-4087-be19-d5992d259473,,personeelsbeheer,http://data.europa.eu/esco/skill/88b406d0-72e2-4087-be19-d5992d259473,77f9768f-d6f3-48e2-8fa1-a8253e34ea42,KN-1007,Gestion administrative du personnel,Personeelsadministratie,,skos:exactMatch,
8c245dab-8890-47be-adfc-c85fc3be634e,,dieren villen,http://data.europa.eu/esco/skill/8c245dab-8890-47be-adfc-c85fc3be634e,8566c9a0-c6d9-46da-9c19-eed0c6aa3122,KN-1008,Utilisation d'écharneuse hydraulique,Een hydraulische ontvleesmachine,,skos:closeMatch,
43ea53b0-65a8-4c23-a0ef-b95389e7548e,,lading vastmaken,http://data.europa.eu/esco/skill/43ea53b0-65a8-4c23-a0ef-b95389e7548e,7af53e9f-9879-4f45-a334-3889c4d2bd01,KN-10081,Techniques de charge et fusible,Laad- en zekeringstechnieken,,skos:closeMatch,
5332d4e9-8604-4e69-9c7f-deae00d6cfe6,,materiaal voor veilige stuwage gebruiken,http://data.europa.eu/esco/skill/5332d4e9-8604-4e69-9c7f-deae00d6cfe6,7af53e9f-9879-4f45-a334-3889c4d2bd01,KN-10081,Techniques de charge et fusible,Laad- en zekeringstechnieken,,skos:narrowMatch,
0d254d2f-f6c7-49ac-be0d-a2651c222f7a,,edelmetalen,http://data.europa.eu/esco/skill/0d254d2f-f6c7-49ac-be0d-a2651c222f7a,0295c133-d491-44fd-b8bb-e68e0139a645,KN-101,Propriétés des métaux précieux,Eigenschappen van edelmetalen,,skos:broadMatch,
69683c43-af05-4691-bb6c-9d71bf363bd7,,eigenschappen van edelmetalen,http://data.europa.eu/esco/skill/69683c43-af05-4691-bb6c-9d71bf363bd7,0295c133-d491-44fd-b8bb-e68e0139a645,KN-101,Propriétés des métaux précieux,Eigenschappen van edelmetalen,,skos:exactMatch,
16504009-552d-46b8-bfc3-b8dcaf556c9d,,waterstraalsnijmachines bedienen,http://data.europa.eu/esco/skill/16504009-552d-46b8-bfc3-b8dcaf556c9d,63024890-3e10-4b63-a379-b68af98c178c,KN-1010,Utilisation de machine de coupe à jet d'eau,Waterstraalsnijders,,skos:closeMatch,
a36de838-7fd3-474a-8391-492354b47fc1,,houtkwaliteit onderscheiden,http://data.europa.eu/esco/skill/a36de838-7fd3-474a-8391-492354b47fc1,fa800dba-8c46-4dbd-a689-d198ff1bcc0d,KN-10101,Classes de qualité du bois,Kwaliteitsklassen voor hout,,skos:closeMatch,
44e2906f-48f2-48ee-88f8-351ecdb53f18,,hout bewerken,http://data.europa.eu/esco/skill/44e2906f-48f2-48ee-88f8-351ecdb53f18,1ea33003-9312-4f9a-925a-255cd0c9eb04,KN-10102,Tri du bois selon sa résistance,Sterktesortering voor hout,,skos:broadMatch,
55027efb-dea4-469c-87f6-8508bd50807f,,machines om steen te kloven bedienen,http://data.europa.eu/esco/skill/55027efb-dea4-469c-87f6-8508bd50807f,bcd865c0-3be9-4d7d-ac0f-26945909e51a,KN-1012,Utilisation de machine à refendre,Een splijtmachine,,skos:closeMatch,
1177c6f5-09c5-4c35-873c-afd22d170ad3,,procedures voor kwaliteitscontrole,http://data.europa.eu/esco/skill/1177c6f5-09c5-4c35-873c-afd22d170ad3,397b264f-f3dc-4225-8fe5-6ff3f6ce9052,KN-10121,Marquage CE,CE-markering,,skos:closeMatch,
