Mapping project name,ESCO-O*NET Crosswalk,,,,,
Mapping project author,ESCO Secretariat in collaboration with the U.S. Department of Labor/Employment and Training Administration,,,,,
Mapping project version,1,,,,,
Mapping project version date,Sep-22,,,,,
Classification 1 Name,O*NET,,,,,
Classification 1 Concept type,Occupation,,,,,
Classification 1 Version,O*NET-SOC 2019,,,,,
Classification 1 Language,English,,,,,
Classification 1 Landing page,https://www.onetonline.org/,,,,,
Classification 2 Name,ESCO,,,,,
Classification 2 Concept type,Occupation,,,,,
Classification 2 Version,v1.1.0,,,,,
Classification 2 Language,English,,,,,
Classification 2 Landing page,https://esco.ec.europa.eu/en,,,,,
,,,,,,
,,,,,,
O*NET Id,O*NET Title,O*NET Description,ESCO or ISCO URI,ESCO or ISCO Title,ESCO or ISCO Description,Type of Match
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",http://data.europa.eu/esco/occupation/5c5b153e-4bf8-4f3d-973d-12fabf306d12,secretary general,"Secretaries general head international governmental or nongovernmental organisations. They supervise staff, direct policy and strategy development, and function as main representative of the organisation.",closeMatch
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer,"Chief executive officers hold the highest ranking in a pyramidal corporate structure. They are able to hold a complete idea of the functioning of the business, its departments, risks, and stakeholders. They analyse different kinds of information and create links among them for decision-making purposes. They serve as aÂ  communication link with the board of directors for reporting and implementation of the overall strategy.",exactMatch
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,"Chief operating officers are the right hand and second in command of a company's chief executive officer. They ensure that the daily operations of the company run smoothly. Chief operating officers also develop company policies, rules and goals.",broadMatch
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,airport chief executive,Airport chief executives lead a group of airport directors who are responsible for all areas of the airport. They envision and make decisions on the strategic direction of the airport based on the information provided by their team of managers.,broadMatch
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",http://data.europa.eu/esco/occupation/73b10c97-b003-45dc-a36d-c1d585c04be1,social entrepreneur,"Social entrepreneurs create innovative products or service models to tackle social and environmental challenges, pursuing through their profits a social mission that benefits a wider community or the environment. They often use a more democratic decision-making system by involving closely their stakeholders, and strive to achieve change at a systems level, by influencing policies, market evolutions and even mentalities.",broadMatch
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",http://data.europa.eu/esco/occupation/1313aeea-63a9-4b4d-82d1-dbe00ff9ed10,corporate social responsibility manager,"Corporate social responsibility managers monitor the practices of organisations and companies with regard to ethics and impact on the larger community. They advise on social responsibility and sustainability matters depending on the company's needs. Corporate social responsibility managers promote actions that are environmentally conscious, philanthropic or related to human rights.",exactMatch
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",http://data.europa.eu/esco/occupation/2cf2b905-3308-4b5d-8e8d-633fc7a3f3ce,sustainability manager,"Sustainability managers are responsible for ensuring the sustainability of business processes. They provide assistance in the design and implementation of plans and measures to ensure that the manufacturing processes and products comply with given environmental regulations and social responsibility standards and they monitor and report on the implementation of sustainability strategies within the company supply chain and business process. They analyse issues linked to manufacturing processes, use of materials, waste reduction, energy efficiency and products traceability to improve environmental and social impacts and integrate sustainability aspects into the company culture.",closeMatch
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",http://data.europa.eu/esco/occupation/59883630-45f9-40e7-9732-9e5ff9758d2b,environmental programme coordinator,Environmental programme coordinators develop programmes for the improvement of environmental sustainability and efficiency within a organisation or institution. They inspect sites in order to monitor an organisation's or institution's compliance with environmental legislation. They also ensure education for the public on environmental concerns.,closeMatch
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",http://data.europa.eu/esco/occupation/a7358961-46d4-4715-ac1e-6148fd042510,environmental expert,Environmental experts search for technological solutions to tackle environmental problems. They detect and analyse environmental issues and develop new technological production processes to counter these problematic issues. They research the effect of their technological innovations and present their findings in scientific reports.,closeMatch
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",http://data.europa.eu/esco/occupation/c6bd511a-d966-4df9-a48e-4f800354f268,operations manager,"Operations managers plan, oversee and coordinate the daily operations of production of goods and provision of services. They also formulate and implement company policies and plan the use of human resources and materials.",broadMatch
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",http://data.europa.eu/esco/occupation/24d39e12-e104-49d3-8224-8b7a5f9b99d1,library manager,Library managers supervise the correct usage of library equipment and items. They manage the provided services of a library and the operation of the departments within a library. Library managers also provide training for new staff members and manage the budget of the library.,broadMatch
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,business manager,"Business managers are responsible for setting the objectives of the business unit of a company, creating a plan for the operations, and facilitating the achievement of the objectives and implementation of the plan together with employees of the segment and stakeholders. They keep an overview of the business, understand detailed information of the business unit and support the department, and make decisions based on the information at hand.",broadMatch
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,public administration manager,"Public administration managers direct, monitor and evaluate the implementation of government policies. They supervise staff and manage resources used for implementation, and write reports on the implementation process. They also communicate with government officials and the public to inform them on the policies. Public administration managers may also participate in the design and creation of public policies.",closeMatch
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,chief operating officer,"Chief operating officers are the right hand and second in command of a company's chief executive officer. They ensure that the daily operations of the company run smoothly. Chief operating officers also develop company policies, rules and goals.",exactMatch
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",http://data.europa.eu/esco/occupation/fc35b7ca-ecec-40d7-91b5-5065f662d955,airport director,"Airport directors oversee a group of managers who lead or supervise a particular area of the airport, programme or a project.
",broadMatch
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",http://data.europa.eu/esco/occupation/4f49df98-98b8-4a9e-98ad-9c5557817eba,strategic planning manager,"Strategic planning managers create, together with a team of managers, the strategic plans of the company as a whole, and provide coordination in the implementation per department. They help to interpret the overall plan and create a detailed plan for each one of the departments and branches. They ensure consistency in the implementation.",broadMatch
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",http://data.europa.eu/esco/occupation/518348e6-0095-4f37-ad46-5ef1b8b5ee2f,textile operations manager,Textile operations managers schedule orders and delivery times in order to assure the efficient flow of the production system.,broadMatch
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",http://data.europa.eu/esco/occupation/6ce3c372-408b-4c46-86d8-ad6b9255d686,tourism product manager,"Tourism product managers analyse the market, research potential offers, develop products, plan and organise the distribution and marketing processes.",broadMatch
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",http://data.europa.eu/esco/occupation/b633af32-c8c0-4481-9971-7932ea4b16b5,wood factory manager,"Wood factory managers realise planning, commercial and advisory tasks of wood factory and timber trade. They also manage purchasing, sales, customer service and marketing of wood and wood products.",broadMatch
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",http://data.europa.eu/esco/occupation/73c3f018-71ce-4dc1-abdd-14cea7873717,senator,"Senators perform legislative duties on a central government level, such as working on constitutional reforms, negotiating on bills of law, and settling conflicts between other governmental institutions.",broadMatch
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,member of parliament,"Members of parliament represent their political party's interests in parliaments. They perform legislative duties, developing and proposing new laws, and communicate with government officials to assess current issues and government operations. They oversee the implementation of laws and policies and function as government representatives to the public to ensure transparency.",broadMatch
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,city councillor,"City councillors represent residents of a city in the city's council and perform local legislative duties. They examine the concerns of the residents and respond to them in an appropriate manner, and represent their political party's policies and programs in the city council as well. They communicate with governmental officials to ensure the city and its agenda are represented and supervise all operations which fall under the city council's responsibility.",broadMatch
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",http://data.europa.eu/esco/occupation/6cee3765-2b3b-48b0-af2b-1eb512d071fd,mayor,"Mayors chair their jurisdiction's council meetings and act as main supervisor of the local government's administrative and operational policies. They also represent their jurisdiction in ceremonial and official events and promote activities and events. They, together with the council, hold the local or regional legislative power and oversee development and implementation of policies. They also supervise staff and perform administrative duties.",broadMatch
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",http://data.europa.eu/esco/occupation/d63789ac-74b5-40e3-b890-685513c38e12,governor,"Governors are the main legislators of a nation's unit such as a state or province. They supervise staff, perform administrative and ceremonial duties, and function as the main representative for their governed region. They regulate local governments in their region.",broadMatch
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",http://data.europa.eu/esco/occupation/404a50e9-61ce-448d-a695-bbfc697a0727,government minister,"Government ministers function as decision-makers in national or regional governments, and head government ministries. They perform legislative duties and supervise the operation of their department.",closeMatch
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",http://data.europa.eu/esco/occupation/0ee67d5e-8de9-48f0-97c5-ba23d486b1e9,secretary of state,"Secretaries of state assist heads of government departments, such as ministers, and aid in the supervision of proceedings in the department. They assist in the direction of policies, operations, and department staff, and perform planning, resource allocation, and decision-making duties.",closeMatch
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",http://data.europa.eu/esco/isco/C1111,Legislators,"Legislators determine, formulate and direct policies of national, state, regional or local governments and international governmental agencies, and make, ratify, amend or repeal laws, public rules and regulations. They include elected and non-elected members of parliaments, councils and governments.
Tasks include -
(a)  presiding over or participating in the proceedings of legislative bodies and administrative councils of national, state, regional or local governments or legislative assemblies;
(b)  determining, formulating and directing policies of national, state, regional or local governments;
(c)  making, ratifying, amending or repealing laws, public rules and regulations within a statutory or constitutional framework;
(d)  serving on government administrative boards or official committees;
(e)  investigating matters of concern to the public and promoting the interests of the constituencies which they represent;
(f)  attending community functions and meetings to provide service to the community, understand public opinion and provide information on government plans;
(g)  negotiating with other legislators and representatives of interest groups in order to reconcile differing interests, and to create policies and agreements;
(h)  as members of the government, directing senior administrators and officials of government departments and agencies in the interpretation and implementation of government policies.
Examples of the occupations classified here:
-  City councillor
-  Government minister
-  Mayor
-  Member of parliament
-  President (government)
-  Secretary of state
-  Senator
-  State governor
",exactISCO
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",http://data.europa.eu/esco/occupation/4ebf2dae-c326-4627-befe-fbc91410f432,advertising manager,"Advertising managers perform the implementation of the advertising initiatives planned in the strategic marketing plan. They organise and prepare the resources needed to launch advertising campaigns and operations in advertising agencies. They prepare and align the communication channels, negotiate contracts, and ensure that operations adhere to budgets.",closeMatch
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",http://data.europa.eu/esco/occupation/d954fd71-0e2f-4cf9-85f0-c040fa6cbda9,promotion manager,"Promotion managers plan and implement promotional programs in the point-of-sale of products. They coordinate all efforts from personnel, below-the-line (BTL) advertising material, and conventional advertising efforts in order to raise awareness of a specific promotion.",exactMatch
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",http://data.europa.eu/esco/occupation/e01719f4-d7dd-42fe-b504-93128520f84a,advertising specialist,"Advertising specialists provide advice to companies and organisations about the development of their advertising strategies and on advertising-related topics covering a more general strategic approach. They combine knowledge of marketing, budgets, and psychology with a creative mind to develop advertising campaigns. They propose alternatives to clients that promote their organisations, products, or projects.",closeMatch
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321,chief marketing officer,"Chief marketing officers manage the high level marketing operations in a company. They coordinate all the efforts related to the marketing, promotional, and advertising activities across units or geographical areas. They make sure that different activities aimed at creating awareness of products are profitable for the company. They take decisions and prepare reports on marketing projects and the costs they entail.",closeMatch
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c,marketing manager,"Marketing managers carry out the implementation of efforts related to the marketing operations in a company. They develop marketing strategies and plans by detailing cost and resources needed. They analyse the profitability of these plans, develop pricing strategies, and strive to raise awareness on products and companies among targeted customers.",exactMatch
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",http://data.europa.eu/esco/occupation/dc97adbe-f807-4ad8-8f3c-c24b3416cdef,digital marketing manager,"Digital marketing managers are responsible for the elaboration of the company's digital marketing strategy with the goal of improving brand recognition and brand awareness, in line with the company's mission and vision. They oversee the execution of digital marketing and communication strategies involving the use of social media, email marketing, marketing automation, search engine optimisation, online events and online advertisement through data driven methodologies and by measuring and monitoring digital marketing KPIs in order to promptly implement corrective action plan. They manage and interpret competitors and consumers' data and conduct research on market conditions.",closeMatch
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,clothing development manager,"Clothing development managers define product concepts that are consistent with target consumers and overall marketing strategy. They receive scientific findings and specifications in order to lead the briefing and implementation of all relevant seasonal and strategic concepts, including distribution by channel, product, colour introductions, and merchandised assortments. They ensure realisation and execution within budget. They manage and execute the product line and category life cycle from concept determination through sales and distribution, contribution in market research and industry trends to influence category concepts and products.",broadMatch
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",http://data.europa.eu/esco/occupation/4ae470fc-bcf8-4704-abd5-e086ebb1552c,membership manager,"Membership managers oversee and coordinate the membership plan, support existing members and engage with possible new members. They analyse the market trend reports and develop marketing plans accordingly. Membership managers monitor and ensure the efficiency of processes, systems and strategies.",broadMatch
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",http://data.europa.eu/esco/occupation/a7594892-ff23-4e2a-aedf-2f967ebca15c,sales manager,"Sales managers develop sales and targeting strategies for a company. They manage sales teams, allocate sales resources based on the plans, prioritise and follow up on critical leads, develop sales pitches and adjust them over time, and maintain a sales platform to track all leads and sales.",exactMatch
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",http://data.europa.eu/esco/occupation/3a4c4e33-ee34-4abe-ba5c-26f9037d292f,trade regional manager,"Trade regional managers are responsible for activities and staff in an assigned region for a specific chain of stores.
",broadMatch
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",http://data.europa.eu/esco/occupation/d954fd71-0e2f-4cf9-85f0-c040fa6cbda9,promotion manager,"Promotion managers plan and implement promotional programs in the point-of-sale of products. They coordinate all efforts from personnel, below-the-line (BTL) advertising material, and conventional advertising efforts in order to raise awareness of a specific promotion.",closeMatch
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",http://data.europa.eu/esco/occupation/1dd7c3cb-2d58-4dad-ae15-c9081174ab7e,online sales channel manager,"Online sales channel managers define the sales programme for e-commerce such as goods sold via e-mail, internet and social media. They also assist in planning the online sales strategy and identifying marketing opportunities. Online sales channel managers also analyse competitor sites, review the site performance and analytics.",closeMatch
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",http://data.europa.eu/esco/occupation/2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d,sales account manager,"Sales account managers serve as intermediators between clients and the organisation, managing both sales and long term relations with the client. They have knowledge about products and services and develop contracts with customers.",closeMatch
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",http://data.europa.eu/esco/occupation/04b52c04-0620-4558-8f89-e252de2963ff,auction house manager,"Auction house managers are responsible for the staff and activities in an auction house. Moreover, they manage the finances and marketing aspects of the auction house.",broadMatch
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",http://data.europa.eu/esco/occupation/dab60fc6-c16e-4de7-b969-b323784f5a49,category manager,"Category managers define the sales programme for specific product groups. They research market demands and newly supplied products. 
 
",broadMatch
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",http://data.europa.eu/esco/occupation/1663e9d9-857b-4efa-9ab6-886c7fc763f6,motor vehicle aftersales manager,"Motor vehicle aftersales managers maximise sales by closing business on an ongoing basis. They negotiate with existing clients for contract renewals. They maintain contracts, deal with claims, manage warranty, and investigate damages on products.",broadMatch
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",http://data.europa.eu/esco/occupation/3530b443-d2bf-4741-b771-12c77e7c6232,movie distributor,"Movie distributors are responsible for the coordination of the distribution of motion pictures and television series. They also oversee the sale of these movies on DVD, Blu ray and on other media.",broadMatch
11-2032.00,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2,public relations manager,"Public relations managers strive to convey and maintain a desired image or reputation of a company, individual, governmental institution, or organisation in general to the public and stakeholders at large. They use all sorts of media and events to promote the positive image of products, humanitarian causes or organisations. They attempt to ensure that all public communications portray clients the way they want to be perceived.",exactMatch
