ESCO/ISCO Code,ESCO/ISCO Title,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title
0110.10,lieutenant,33-1011.00,First-Line Supervisors of Correctional Officers
0110.10,lieutenant,33-1012.00,First-Line Supervisors of Police and Detectives
0110.10,lieutenant,33-3012.00,Correctional Officers and Jailers
0110.10,lieutenant,33-3021.00,Detectives and Criminal Investigators
0110.10,lieutenant,33-3051.00,Police and Sheriff's Patrol Officers
0110.2,armed forces officer,33-3021.06,Intelligence Analysts
0110.4,army general,33-3021.06,Intelligence Analysts
0110.6,artillery officer,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
0110.7,brigadier,33-3021.06,Intelligence Analysts
0210.2,sergeant,33-1011.00,First-Line Supervisors of Correctional Officers
0210.2,sergeant,33-1012.00,First-Line Supervisors of Police and Detectives
0210.3,special forces officer,33-3021.06,Intelligence Analysts
0210.4,warfare specialist,33-3021.06,Intelligence Analysts
0310.1,air force pilot,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
0310.1,air force pilot,53-2012.00,Commercial Pilots
0310.2,bomb disposal technician,33-3021.06,Intelligence Analysts
0310.2,bomb disposal technician,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
0310.4,intelligence communications interceptor,33-3021.06,Intelligence Analysts
0310.4,intelligence communications interceptor,43-5031.00,Public Safety Telecommunicators
1111,Legislators,11-1031.00,Legislators
1111.1,city councillor,11-1031.00,Legislators
1111.2,government minister,11-1031.00,Legislators
1111.3,governor,11-1011.00,Chief Executives
1111.3,governor,11-1031.00,Legislators
1111.4,mayor,11-1011.00,Chief Executives
1111.4,mayor,11-1031.00,Legislators
1111.5,member of parliament,11-1031.00,Legislators
1111.6,secretary of state,11-1011.00,Chief Executives
1111.6,secretary of state,11-1031.00,Legislators
1111.7,senator,11-1031.00,Legislators
1112,Senior government officials,33-1012.00,First-Line Supervisors of Police and Detectives
1112.1,central bank governor,43-3071.00,Tellers
1112.2,consul,11-9199.00,"Managers, All Other"
1112.3,diplomat,13-1111.00,Management Analysts
1112.3.1,ambassador,11-9199.00,"Managers, All Other"
1112.3.2,embassy counsellor,13-1111.00,Management Analysts
1112.4,fire commissioner,11-1021.00,General and Operations Managers
1112.4,fire commissioner,11-9161.00,Emergency Management Directors
1112.4,fire commissioner,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
1112.4,fire commissioner,33-2011.00,Firefighters
1112.4,fire commissioner,33-2021.00,Fire Inspectors and Investigators
1112.4,fire commissioner,33-2022.00,Forest Fire Inspectors and Prevention Specialists
1112.5,police commissioner,33-1011.00,First-Line Supervisors of Correctional Officers
1112.5,police commissioner,33-1012.00,First-Line Supervisors of Police and Detectives
1112.5,police commissioner,33-3021.00,Detectives and Criminal Investigators
1112.5,police commissioner,33-3021.02,Police Identification and Records Officers
1112.5,police commissioner,33-3041.00,Parking Enforcement Workers
1112.5,police commissioner,33-3051.00,Police and Sheriff's Patrol Officers
1112.5,police commissioner,33-3052.00,Transit and Railroad Police
1112.5,police commissioner,43-5031.00,Public Safety Telecommunicators
1112.6,public administration manager,11-1011.00,Chief Executives
1112.6,public administration manager,11-1021.00,General and Operations Managers
1112.7,secretary general,11-1011.00,Chief Executives
1114.1,special-interest groups' official,13-1075.00,Labor Relations Specialists
1120,Managing directors and chief executives,11-1011.00,Chief Executives
1120,Managing directors and chief executives,11-1021.00,General and Operations Managers
1120.1,animal facility manager,11-9199.00,"Managers, All Other"
1120.2,business manager,11-1021.00,General and Operations Managers
1120.2,business manager,11-3013.00,Facilities Managers
1120.2.1,branch manager,11-1011.00,Chief Executives
1120.2.1,branch manager,11-1021.00,General and Operations Managers
1120.2.1,branch manager,13-1071.00,Human Resources Specialists
1120.3,chief executive officer,11-1011.00,Chief Executives
1120.3.1,airport chief executive,11-1011.00,Chief Executives
1120.4,chief operating officer,11-1011.00,Chief Executives
1120.4,chief operating officer,11-1021.00,General and Operations Managers
1120.5,public employment service manager,11-3121.00,Human Resources Managers
1120.5,public employment service manager,13-1075.00,Labor Relations Specialists
1120.5,public employment service manager,21-1015.00,Rehabilitation Counselors
1120.6,social entrepreneur,11-1011.00,Chief Executives
1211,Finance managers,11-3031.00,Financial Managers
1211,Finance managers,11-3031.01,Treasurers and Controllers
1211.1,financial manager,11-3031.00,Financial Managers
1211.1,financial manager,11-3031.01,Treasurers and Controllers
1211.1.1,accounting manager,11-3031.01,Treasurers and Controllers
1211.1.2,bank treasurer,11-3031.00,Financial Managers
1211.1.2,bank treasurer,11-3031.01,Treasurers and Controllers
1211.1.2,bank treasurer,43-3071.00,Tellers
1211.1.3,budget manager,11-3031.01,Treasurers and Controllers
1211.1.3,budget manager,13-2031.00,Budget Analysts
1211.1.3,budget manager,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
